name;ans_freq;report_id
ESS101 Modelling and simulation 2013/2014 LP1-LP1;57 (47,50%);2160
ESS101 Modelling and simulation 2014/2015 LP1-LP1;80 (57,97%);3869
ESS101 Modelling and simulation 2015/2016 LP1-LP1;87 (51,48%);6515
ESS101 Modelling and simulation 2016/2017 LP1-LP1;90 (50,56%);8747
ESS101 Modelling and simulation 2017/2018 LP1-LP1;119 (54,59%);10773
FKA116 Biological physics 2013/2014 LP2-LP2;12 (66,67%);730
FKA116 Biological physics 2014/2015 LP2-LP2;16 (76,19%);4769
FKA116 Biological physics 2015/2016 LP2-LP2;9 (64,29%);7092
FKA116 Biological physics 2016/2017 LP2-LP2;3 (33,33%);9025
FKA116 Biological physics 2017/2018 LP2-LP2;11 (57,89%);11674
FTF225 Tissue engineering II 2013/2014 LP4-LP4;3 (23,08%);3572
FTF225 Tissue engineering II 2014/2015 LP4-LP4;12 (70,59%);5786
FTF225 Tissue engineering II 2015/2016 LP4-LP4;13 (59,09%);7960
FTF225 Tissue engineering II 2016/2017 LP4-LP4;7 (31,82%);10347
KLI011 Food chemistry 2013/2014 LP1-LP1;12 (70,59%);2072
KLI011 Food chemistry 2014/2015 LP1-LP1;13 (59,09%);3793
KLI011 Food chemistry 2015/2016 LP1-LP1;7 (58,33%);6301
KLI011 Food chemistry 2016/2017 LP1-LP1;9 (47,37%);8703
KLI011 Food chemistry 2017/2018 LP2-LP2;11 (57,89%);11352
KLI041 Nutrition and health 2013/2014 LP1-LP1;9 (45,00%);2266
KLI041 Nutrition and health 2014/2015 LP1-LP1;9 (56,25%);3949
KLI041 Nutrition and health 2015/2016 LP1-LP1;4 (57,14%);6157
KLI041 Nutrition and health 2016/2017 LP1-LP1;13 (59,09%);8551
KLI042 Nutrition, health and sustainable diets 2017/2018 LP4-LP4;7 (43,75%);12871
KPO045 Biological materials 2013/2014 LP3-LP3;6 (54,55%);1789
KPO045 Biological materials 2014/2015 LP3-LP3;9 (56,25%);5215
KPO045 Biological materials 2015/2016 LP3-LP3;9 (45,00%);7400
KPO045 Biological materials 2016/2017 LP3-LP3;9 (50,00%);9783
KPO045 Biological materials 2017/2018 LP3-LP3;14 (42,42%);11905
KPO065 Tissue engineering 2017/2018 LP3-LP3;20 (55,56%);12273
KPO065 Tissue engineering I 2013/2014 LP3-LP3;9 (45,00%);1721
KPO065 Tissue engineering I 2014/2015 LP3-LP3;18 (69,23%);5201
KPO065 Tissue engineering I 2015/2016 LP3-LP3;11 (39,29%);7388
KPO065 Tissue engineering I 2016/2017 LP3-LP3;19 (57,58%);9723
MCC020 Nanobioscience for information processing 2015/2016 LP4-LP4;4 (66,67%);7880
MCC020 Nanobioscience for information processing 2016/2017 LP4-LP4;6 (85,71%);10253
MCC020 Nanobioscience for information processing 2017/2018 LP4-LP4;6 (54,55%);12749
MMF062 Vehicle dynamics 2013/2014 LP2-LP2;22 (42,31%);2614
MMF062 Vehicle dynamics 2014/2015 LP2-LP2;22 (40,00%);4321
MMF062 Vehicle dynamics 2015/2016 LP2-LP2;31 (49,21%);6898
MMF062 Vehicle dynamics 2016/2017 LP2-LP2;28 (38,89%);9297
MMF062 Vehicle dynamics 2017/2018 LP2-LP2;27 (47,37%);11338
MVE155 Statistical inference 2013/2014 LP3-LP3;23 (28,05%);1727
MVE155 Statistical inference 2014/2015 LP3-LP3;32 (36,78%);5365
MVE155 Statistical inference 2015/2016 LP3-LP3;33 (31,13%);7532
MVE155 Statistical inference 2016/2017 LP3-LP3;31 (31,31%);9751
MVE155 Statistical inference 2017/2018 LP3-LP3;30 (31,58%);11887
RRY025 Image processing 2013/2014 LP1-LP1;30 (65,22%);2188
RRY025 Image processing 2014/2015 LP1-LP1;46 (67,65%);3893
RRY025 Image processing 2015/2016 LP1-LP1;44 (80,00%);6101
