programme;course_tag;report_id
MPCAS;ENM140;4889
MPCAS;ENM140;7010
MPCAS;ENM140;8973
MPCAS;ENM140;11608
MPCAS;FFR105;362
MPCAS;FFR105;3861
MPCAS;FFR105;6507
MPCAS;FFR105;8739
MPCAS;FFR105;10767
MPCAS;FFR110;818
MPCAS;FFR110;4705
MPCAS;FFR110;7720
MPCAS;FFR110;9907
MPCAS;FFR110;11993
MPCAS;FFR115;1475
MPCAS;FFR115;5277
MPCAS;FFR115;8284
MPCAS;FFR115;10309
MPCAS;FFR115;12455
MPCAS;FFR120;1004
MPCAS;FFR120;4431
MPCAS;FFR120;7152
MPCAS;FFR120;9357
MPCAS;FFR120;11380
MPCAS;FFR125;3228
MPCAS;FFR125;5844
MPCAS;FFR125;8286
MPCAS;FFR135;1994
MPCAS;FFR135;4053
MPCAS;FFR135;6543
MPCAS;FFR135;8769
MPCAS;FFR135;10785
MPCAS;FFR141;3546
MPCAS;FFR141;5764
MPCAS;FFR141;7946
MPCAS;FFR141;10293
MPCAS;FFR141;12445
MPCAS;FKA081;2052
MPCAS;FKA081;3775
MPCAS;FKA081;6281
MPCAS;FKA081;8687
MPCAS;FKA081;10741
MPCAS;FKA121;1024
MPCAS;FKA121;4451
MPCAS;FKA121;6646
MPCAS;FKA121;9071
MPCAS;FKA121;11718
MPCAS;KMG036;2206
MPCAS;KMG037;6429
MPCAS;KMG037;8451
MPCAS;KMG060;2512
MPCAS;KMG060;4291
MPCAS;KMG060;6866
MPCAS;KMG060;9273
MPCAS;KMG060;10727
MPCAS;MTF072;2506
MPCAS;MTF072;4287
MPCAS;MTF072;6862
MPCAS;MTF072;9269
MPCAS;MTF072;11588
MPCAS;MTF270;12487
MPCAS;MVE080;2424
MPCAS;MVE080;4745
MPCAS;MVE095;3496
MPCAS;MVE095;5944
MPCAS;MVE095;8108
MPCAS;MVE095;9527
MPCAS;MVE095;11548
MPCAS;MVE155;11887
MPCAS;MVE165;3150
MPCAS;MVE165;5884
MPCAS;MVE165;7818
MPCAS;MVE165;10211
MPCAS;MVE165;12797
MPCAS;MVE220;1194
MPCAS;MVE220;4585
MPCAS;MVE220;6758
MPCAS;MVE220;10297
MPCAS;MVE220;12449
MPCAS;MVE440;12747
MPCAS;RRY025;2188
MPCAS;RRY025;3893
MPCAS;RRY025;6101
MPCAS;RRY025;8527
MPCAS;RRY025;11071
MPCAS;TDA206;5109
MPCAS;TDA206;7682
MPCAS;TDA206;9885
MPCAS;TDA206;11981
MPCAS;TDA231;5213
MPCAS;TDA231;7398
MPCAS;TDA231;9781
MPCAS;TDA231;12477
MPCAS;TDA251;11594
MPCAS;TDA351;2732
MPCAS;TDA351;4435
MPCAS;TDA352;7238
MPCAS;TDA352;9445
MPCAS;TDA352;11494
MPCAS;TDA507;11540
MPCAS;TIF035;1629
MPCAS;TIF035;5129
MPCAS;TIF035;7328
MPCAS;TIF035;9703
MPCAS;TIF035;12261
MPCAS;TIF106;3490
MPCAS;TIF106;5940
MPCAS;TIF106;8104
MPCAS;TIF106;10555
MPCAS;TIF106;12697
MPCAS;TIF150;1653
MPCAS;TIF150;5149
MPCAS;TIF150;7344
MPCAS;TIF150;9713
MPCAS;TIF150;12029
MPCAS;TIF155;3534
MPCAS;TIF155;5964
MPCAS;TIF155;7052
MPCAS;TIF155;9003
MPCAS;TIF155;11656
MPCAS;TIF160;2054
MPCAS;TIF160;3777
MPCAS;TIF160;6283
MPCAS;TIF160;8689
MPCAS;TIF160;10817
MPCAS;TIF180;2154
MPCAS;TIF180;3863
MPCAS;TIF180;6509
MPCAS;TIF180;8741
MPCAS;TIF180;10813
MPCAS;TIN093;4241
MPCAS;TIN093;6443
MPCAS;TIN093;8455
MPCAS;TIN093;11021
MPCAS;TIN172;3662
MPCAS;TIN172;5497
MPCAS;TIN173;7836
MPCAS;TIN174;10077
MPCAS;TIN175;12331
MPCAS;TMA285;12213
MPCAS;TMA947;11698
MPCAS;TME285;10029
MPCAS;TME285;12163
MPCAS;TME290;10595
MPCAS;TME290;12729
MPCAS;TMS016;3364
MPCAS;TMS016;5750
MPCAS;TMS016;7792
MPCAS;TMS016;10275
MPCAS;TMS016;12425
MPCAS;TMS088;12401
MPCAS;TMS165;11023
MPCAS;EEN020;14113
MPCAS;EEN020;16187
MPCAS;EEN020;18375
MPCAS;EEN020;20513
MPCAS;ENM140;13751
MPCAS;ENM140;15975
MPCAS;ENM140;18475
MPCAS;ENM140;20667
MPCAS;FFR105;13016
MPCAS;FFR105;15260
MPCAS;FFR105;17629
MPCAS;FFR105;19762
MPCAS;FFR105;22546
MPCAS;FFR110;14505
MPCAS;FFR110;16822
MPCAS;FFR110;18875
MPCAS;FFR110;21115
MPCAS;FFR115;15019
MPCAS;FFR120;13591
MPCAS;FFR120;15813
MPCAS;FFR120;18251
MPCAS;FFR120;20327
MPCAS;FFR135;13028
MPCAS;FFR135;15296
MPCAS;FFR135;17567
MPCAS;FFR135;20170
MPCAS;FFR135;22670
MPCAS;FFR141;15159
MPCAS;FFR141;17383
MPCAS;FKA081;13000
MPCAS;FKA121;13839
MPCAS;FKA121;15839
MPCAS;FKA121;18313
MPCAS;FKA121;20431
MPCAS;KMG060;12992
MPCAS;KMG060;15476
MPCAS;KMG060;17461
MPCAS;KMG060;20028
MPCAS;KMG060;22304
MPCAS;MTF072;13731
MPCAS;MTF072;15961
MPCAS;MTF073;18679
MPCAS;MTF073;20527
MPCAS;MTF270;14755
MPCAS;MTF270;17141
MPCAS;MTF271;19680
MPCAS;MTF271;21865
MPCAS;MVE095;14041
MPCAS;MVE095;16079
MPCAS;MVE095;18627
MPCAS;MVE095;20795
MPCAS;MVE155;14445
MPCAS;MVE155;16674
MPCAS;MVE155;19075
MPCAS;MVE155;21325
MPCAS;MVE165;14951
MPCAS;MVE165;17077
MPCAS;MVE165;19346
MPCAS;MVE165;22097
MPCAS;MVE220;15061
MPCAS;MVE220;17221
MPCAS;MVE220;19240
MPCAS;MVE220;21907
MPCAS;MVE440;14913
MPCAS;MVE440;17229
MPCAS;MVE441;19710
MPCAS;MVE441;21839
MPCAS;RRY025;13232
MPCAS;RRY025;15482
MPCAS;RRY025;17897
MPCAS;RRY025;20092
MPCAS;RRY025;22360
MPCAS;SSY340;13250
