name;ans_freq;report_id
ENM140 Game theory and rationality 2014/2015 LP2-LP2;9 (75,00%);4889
ENM140 Game theory and rationality 2015/2016 LP2-LP2;11 (68,75%);7010
ENM140 Game theory and rationality 2016/2017 LP2-LP2;17 (42,50%);8973
ENM140 Game theory and rationality 2017/2018 LP2-LP2;16 (61,54%);11608
FFR105 Stochastic optimization algorithms 2013/2014 LP1-LP1;48 (48,98%);362
FFR105 Stochastic optimization algorithms 2014/2015 LP1-LP1;61 (70,11%);3861
FFR105 Stochastic optimization algorithms 2015/2016 LP1-LP1;71 (55,47%);6507
FFR105 Stochastic optimization algorithms 2016/2017 LP1-LP1;65 (50,78%);8739
FFR105 Stochastic optimization algorithms 2017/2018 LP1-LP1;75 (47,17%);10767
FFR110 Computational biology 1 2013/2014 LP2-LP2;26 (45,61%);818
FFR110 Computational biology 1 2014/2015 LP2-LP2;30 (54,55%);4705
FFR110 Computational biology 1 2015/2016 LP3-LP3;21 (33,87%);7720
FFR110 Computational biology 1 2016/2017 LP3-LP3;27 (40,30%);9907
FFR110 Computational biology 1 2017/2018 LP3-LP3;24 (28,92%);11993
FFR115 Computational biology 2 2013/2014 LP3-LP3;5 (41,67%);1475
FFR115 Computational biology 2 2014/2015 LP3-LP3;10 (83,33%);5277
FFR115 Computational biology 2 2015/2016 LP4-LP4;6 (66,67%);8284
FFR115 Computational biology 2 2016/2017 LP4-LP4;6 (46,15%);10309
FFR115 Computational biology 2 2017/2018 LP4-LP4;6 (37,50%);12455
FFR120 Simulation of complex systems 2013/2014 LP2-LP2;22 (41,51%);1004
FFR120 Simulation of complex systems 2014/2015 LP2-LP2;40 (67,80%);4431
FFR120 Simulation of complex systems 2015/2016 LP2-LP2;31 (44,93%);7152
FFR120 Simulation of complex systems 2016/2017 LP2-LP2;28 (35,00%);9357
FFR120 Simulation of complex systems 2017/2018 LP2-LP2;28 (31,82%);11380
FFR125 Autonomous agents 2013/2014 LP3-LP4;39 (59,09%);3228
FFR125 Autonomous agents 2014/2015 LP3-LP4;20 (50,00%);5844
FFR125 Autonomous agents 2015/2016 LP3-LP4;20 (36,36%);8286
FFR135 Artificial neural networks 2013/2014 LP1-LP1;43 (45,26%);1994
FFR135 Artificial neural networks 2014/2015 LP1-LP1;51 (64,56%);4053
FFR135 Artificial neural networks 2015/2016 LP1-LP1;70 (50,36%);6543
FFR135 Artificial neural networks 2016/2017 LP1-LP1;69 (44,81%);8769
FFR135 Artificial neural networks 2017/2018 LP1-LP1;92 (41,07%);10785
FFR141 Complex systems seminar 2013/2014 LP1-LP4;23 (52,27%);3546
FFR141 Complex systems seminar 2014/2015 LP1-LP4;19 (54,29%);5764
FFR141 Complex systems seminar 2015/2016 LP1-LP4;19 (32,76%);7946
FFR141 Complex systems seminar 2016/2017 LP1-LP4;23 (38,98%);10293
FFR141 Complex systems seminar 2017/2018 LP1-LP4;17 (27,87%);12445
FKA081 Quantum mechanics 2013/2014 LP1-LP1;18 (45,00%);2052
FKA081 Quantum mechanics 2014/2015 LP1-LP1;24 (70,59%);3775
FKA081 Quantum mechanics 2015/2016 LP1-LP1;18 (47,37%);6281
FKA081 Quantum mechanics 2016/2017 LP1-LP1;10 (62,50%);8687
FKA081 Quantum mechanics 2017/2018 LP1-LP1;15 (48,39%);10741
FKA121 Computational physics 2013/2014 LP2-LP2;30 (65,22%);1024
FKA121 Computational physics 2014/2015 LP2-LP2;33 (68,75%);4451
FKA121 Computational physics 2015/2016 LP2-LP2;22 (61,11%);6646
FKA121 Computational physics 2016/2017 LP2-LP2;21 (43,75%);9071
FKA121 Computational physics 2017/2018 LP2-LP2;16 (37,21%);11718
KMG036 Molecular biology 1 2013/2014 LP1-LP1;6 (66,67%);2206
KMG037 Advanced molecular biology 2015/2016 LP1-LP1;6 (85,71%);6429
KMG037 Advanced molecular biology 2016/2017 LP1-LP1;3 (37,50%);8451
KMG060 Systems biology 2013/2014 LP2-LP2;18 (58,06%);2512
KMG060 Systems biology 2014/2015 LP2-LP2;26 (72,22%);4291
KMG060 Systems biology 2015/2016 LP2-LP2;20 (50,00%);6866
KMG060 Systems biology 2016/2017 LP2-LP2;31 (59,62%);9273
KMG060 Systems biology 2017/2018 LP1-LP1;32 (61,54%);10727
MTF072 Computational fluid dynamics (CFD) 2013/2014 LP2-LP2;35 (61,40%);2506
MTF072 Computational fluid dynamics (CFD) 2014/2015 LP2-LP2;51 (66,23%);4287
MTF072 Computational fluid dynamics (CFD) 2015/2016 LP2-LP2;48 (53,93%);6862
MTF072 Computational fluid dynamics (CFD) 2016/2017 LP2-LP2;40 (54,05%);9269
MTF072 Computational fluid dynamics (CFD) 2017/2018 LP2-LP2;26 (46,43%);11588
MTF270 Turbulence modeling 2017/2018 LP4-LP4;9 (40,91%);12487
MVE080 Scientific visualization 2013/2014 LP2-LP2;12 (60,00%);2424
MVE080 Scientific visualization 2014/2015 LP2-LP2;11 (68,75%);4745
MVE095 Options and mathematics 2013/2014 LP4-LP4;21 (42,00%);3496
MVE095 Options and mathematics 2014/2015 LP4-LP4;16 (38,10%);5944
