name;ans_freq;report_id
DAT093 Introduction to electronic system design 2013/2014 LP1-LP1;29 (54,72%);2422
DAT093 Introduction to electronic system design 2014/2015 LP1-LP1;21 (61,76%);4139
DAT093 Introduction to electronic system design 2015/2016 LP1-LP1;28 (57,14%);6343
DAT093 Introduction to electronic system design 2016/2017 LP1-LP1;21 (44,68%);8857
DAT093 Introduction to electronic system design 2017/2018 LP1-LP1;23 (50,00%);10897
DAT116 Mixed-signal system design 2013/2014 LP2-LP2;20 (66,67%);2564
DAT116 Mixed-signal system design 2014/2015 LP2-LP2;29 (67,44%);4721
DAT116 Mixed-signal system design 2015/2016 LP2-LP2;21 (45,65%);7218
DAT116 Mixed-signal system design 2016/2017 LP2-LP2;12 (33,33%);9487
DAT116 Mixed-signal system design 2017/2018 LP2-LP2;16 (44,44%);11518
EDA387 Computer networks 2013/2014 LP1-LP1;41 (43,16%);1890
EDA387 Computer networks 2014/2015 LP1-LP1;46 (47,42%);4089
EDA387 Computer networks 2015/2016 LP1-LP1;41 (39,42%);6447
EDA387 Computer networks 2016/2017 LP1-LP1;42 (37,84%);8853
EDA387 Computer networks 2017/2018 LP1-LP1;36 (49,32%);10893
EDA491 Network security 2013/2014 LP4-LP4;40 (44,94%);3404
EDA491 Network security 2014/2015 LP4-LP4;35 (40,70%);5534
EDA491 Network security 2015/2016 LP4-LP4;30 (29,41%);8256
EDA491 Network security 2016/2017 LP4-LP4;35 (30,97%);10441
EDA491 Network security 2017/2018 LP4-LP4;26 (26,53%);12551
MCC045 Fundamentals of photonics 2013/2014 LP3-LP3;15 (68,18%);1771
MCC045 Fundamentals of photonics 2014/2015 LP3-LP3;9 (42,86%);5405
MCC045 Fundamentals of photonics 2015/2016 LP3-LP3;18 (52,94%);7582
MCC045 Fundamentals of photonics 2016/2017 LP3-LP3;15 (57,69%);9641
MCC045 Fundamentals of photonics 2017/2018 LP3-LP3;16 (55,17%);12211
MCC052 Laser engineering 2013/2014 LP4-LP4;9 (81,82%);3172
MCC052 Laser engineering 2014/2015 LP4-LP4;10 (71,43%);6047
MCC052 Laser engineering 2015/2016 LP4-LP4;9 (52,94%);8216
MCC052 Laser engineering 2016/2017 LP4-LP4;3 (42,86%);10225
MCC053 Laser engineering 2017/2018 LP4-LP4;5 (50,00%);12857
MCC055 Opto electronics 2014/2015 LP1-LP1;9 (75,00%);3865
MCC055 Optoelectronics 2013/2014 LP1-LP1;5 (62,50%);2156
MCC055 Optoelectronics 2015/2016 LP1-LP1;7 (70,00%);6511
MCC055 Optoelectronics 2016/2017 LP1-LP1;6 (60,00%);8743
MCC055 Optoelectronics 2017/2018 LP1-LP1;4 (57,14%);10769
