name;ans_freq;report_id
DAT060 Logic in computer science 2013/2014 LP1-LP1;37 (27,21%);2310
DAT060 Logic in computer science 2014/2015 LP1-LP1;65 (46,76%);4181
DAT060 Logic in computer science 2015/2016 LP1-LP1;51 (41,46%);6419
DAT060 Logic in computer science 2016/2017 LP1-LP1;54 (39,42%);8443
DAT060 Logic in computer science 2017/2018 LP1-LP1;60 (36,81%);11015
DAT105 Computer architecture 2013/2014 LP2-LP2;28 (44,44%);2860
DAT105 Computer architecture 2014/2015 LP2-LP2;11 (35,48%);4827
DAT105 Computer architecture 2015/2016 LP2-LP2;9 (28,13%);6982
DAT105 Computer architecture 2016/2017 LP2-LP2;14 (29,79%);9153
DAT105 Computer architecture 2017/2018 LP2-LP2;24 (44,44%);11226
DAT146 Advanced topics in computer systems and networks 2013/2014 LP1-LP1;18 (40,00%);2420
DAT147 Technical writing in Computer Systems and Networks 2014/2015 LP1-LP2;28 (60,87%);4246
DAT147 Technical writing in Computer Systems and Networks 2015/2016 LP1-LP1;17 (34,69%);6427
DAT147 Technical writing in Computer Systems and Networks 2016/2017 LP1-LP1;21 (42,00%);8599
DAT147 Technical writing in Computer Systems and Networks 2017/2018 LP1-LP1;23 (35,38%);10679
DAT151 Programming language technology 2013/2014 LP3-LP3;41 (35,65%);1695
DAT151 Programming language technology 2014/2015 LP3-LP3;40 (33,06%);5177
DAT151 Programming language technology 2015/2016 LP2-LP2;37 (35,92%);6634
DAT151 Programming language technology 2016/2017 LP2-LP2;34 (30,36%);9063
DAT151 Programming language technology 2017/2018 LP2-LP2;58 (41,13%);11710
DAT276 Energy aware computing 2013/2014 LP4-LP4;6 (54,55%);3648
DAT276 Energy aware computing 2014/2015 LP4-LP4;10 (62,50%);5936
DAT277 Energy aware computing 2015/2016 LP4-LP4;12 (66,67%);8338
DAT277 Energy aware computing 2016/2017 LP4-LP4;10 (55,56%);10483
DAT277 Energy aware computing 2017/2018 LP4-LP4;7 (46,67%);12629
DAT295 Autonomous and cooperative vehicular systems 2014/2015 LP2-LP2;5 (35,71%);4387
DAT295 Autonomous and cooperative vehicular systems 2015/2016 LP2-LP2;12 (54,55%);6896
DAT295 Autonomous and cooperative vehicular systems 2016/2017 LP2-LP2;4 (40,00%);9295
DAT295 Autonomous and cooperative vehicular systems 2017/2018 LP2-LP2;8 (38,10%);11604
DAT300 Data-driven support for cyber-physical systems 2017/2018 LP1-LP1;7 (31,82%);11165
DAT300 ICT Support for Adaptiveness and Security in the Smart Grid 2013/2014 LP4-LP4;3 (50,00%);3668
DAT300 ICT support for adaptiveness and security in the smart grid 2014/2015 LP4-LP4;5 (45,45%);5926
EDA092 Operating systems 2013/2014 LP2-LP2;36 (34,62%);2540
EDA092 Operating systems 2014/2015 LP2-LP2;40 (40,40%);4701
EDA092 Operating systems 2015/2016 LP2-LP2;33 (30,56%);7200
EDA092 Operating systems 2016/2017 LP2-LP2;38 (33,04%);9389
EDA093 Operating systems 2017/2018 LP1-LP1;43 (48,31%);11117
EDA122 Fault-tolerant computer systems 2013/2014 LP1-LP1;28 (32,56%);2302
EDA122 Fault-tolerant computer systems 2014/2015 LP1-LP1;51 (43,59%);4173
EDA122 Fault-tolerant computer systems 2015/2016 LP1-LP1;55 (46,22%);6411
EDA122 Fault-tolerant computer systems 2016/2017 LP1-LP1;57 (42,54%);8437
EDA222 Real time systems 2013/2014 LP3-LP3;29 (37,18%);1793
EDA222 Real time systems 2014/2015 LP3-LP3;24 (39,34%);5217
EDA222 Real time systems 2015/2016 LP3-LP3;28 (35,90%);7404
EDA222 Real time systems 2016/2017 LP3-LP3;27 (37,50%);9787
EDA223 Real time systems 2017/2018 LP3-LP3;41 (54,67%);12297
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA282 Parallel computer organization and design 2013/2014 LP1-LP1;6 (46,15%);1960
EDA282 Parallel computer organization and design 2014/2015 LP1-LP1;15 (57,69%);3739
EDA283 Parallel computer organization and design 2015/2016 LP1-LP1;8 (53,33%);6577
EDA283 Parallel computer organization and design 2016/2017 LP1-LP1;3 (23,08%);8781
EDA283 Parallel computer organization and design 2017/2018 LP1-LP1;16 (55,17%);10795
EDA387 Computer networks 2013/2014 LP1-LP1;41 (43,16%);1890
EDA387 Computer networks 2014/2015 LP1-LP1;46 (47,42%);4089
EDA387 Computer networks 2015/2016 LP1-LP1;41 (39,42%);6447
EDA387 Computer networks 2016/2017 LP1-LP1;42 (37,84%);8853
EDA387 Computer networks 2017/2018 LP1-LP1;36 (49,32%);10893
EDA421 Parallel and distributed real-time systems 2013/2014 LP4-LP4;11 (42,31%);3372
EDA421 Parallel and distributed real-time systems 2014/2015 LP4-LP4;11 (35,48%);5754
EDA421 Parallel and distributed real-time systems 2015/2016 LP4-LP4;6 (35,29%);7936
EDA421 Parallel and distributed real-time systems 2016/2017 LP4-LP4;12 (44,44%);10279
EDA422 Parallel and distributed real-time systems 2017/2018 LP4-LP4;13 (37,14%);12887
EDA491 Network security 2013/2014 LP4-LP4;40 (44,94%);3404
EDA491 Network security 2014/2015 LP4-LP4;35 (40,70%);5534
EDA491 Network security 2015/2016 LP4-LP4;30 (29,41%);8256
EDA491 Network security 2016/2017 LP4-LP4;35 (30,97%);10441
EDA491 Network security 2017/2018 LP4-LP4;26 (26,53%);12551
LEU420 Routing and switching technology 2014/2015 LP2-LP2;13 (54,17%);4401
LEU420 Routing and switching technology 2015/2016 LP2-LP2;12 (33,33%);7126
LEU420 Routing and switching technology 2016/2017 LP2-LP2;9 (50,00%);9045
LEU420 Routing and switching technology 2017/2018 LP2-LP2;12 (50,00%);11694
LEU420 Routing technology 2013/2014 LP2-LP2;14 (58,33%);2448
SSY121 Introduction to communication engineering 2013/2014 LP1-LP1;42 (93,33%);2104
SSY121 Introduction to communication engineering 2014/2015 LP1-LP1;38 (92,68%);3961
SSY121 Introduction to communication engineering 2015/2016 LP1-LP1;59 (92,19%);6071
SSY121 Introduction to communication engineering 2016/2017 LP1-LP1;45 (90,00%);8377
SSY121 Introduction to communication engineering 2017/2018 LP1-LP1;57 (90,48%);10633
SSY145 Wireless networks 2013/2014 LP4-LP4;11 (84,62%);3426
SSY145 Wireless networks 2014/2015 LP4-LP4;21 (91,30%);5511
SSY145 Wireless networks 2015/2016 LP4-LP4;22 (84,62%);7828
SSY145 Wireless networks 2016/2017 LP4-LP4;14 (50,00%);10123
SSY145 Wireless networks 2017/2018 LP4-LP4;11 (47,83%);12833
TDA183 Models of computation 2013/2014 LP2-LP2;14 (33,33%);2686
TDA183 Models of computation 2014/2015 LP2-LP2;21 (35,59%);4557
TDA183 Models of computation 2015/2016 LP2-LP2;12 (30,00%);6732
