programme;course_tag;report_id
MPDCF;BOM011;2094
MPDCF;BOM011;3813
MPDCF;BOM011;6938
MPDCF;BOM015;2134
MPDCF;BOM015;3821
MPDCF;BOM016;6571
MPDCF;BOM017;8869
MPDCF;BOM017;10923
MPDCF;BOM021;2684
MPDCF;BOM021;4555
MPDCF;BOM021;6169
MPDCF;BOM025;3402
MPDCF;BOM025;5684
MPDCF;BOM025;8254
MPDCF;BOM025;10439
MPDCF;BOM025;12549
MPDCF;BOM030;1725
MPDCF;BOM030;5363
MPDCF;BOM030;7530
MPDCF;BOM030;9773
MPDCF;BOM030;12127
MPDCF;BOM055;3554
MPDCF;BOM055;5772
MPDCF;BOM055;7910
MPDCF;BOM055;10287
MPDCF;BOM055;12437
MPDCF;BOM070;1549
MPDCF;BOM070;5035
MPDCF;BOM070;7488
MPDCF;BOM070;9849
MPDCF;BOM070;11953
MPDCF;BOM090;3524
MPDCF;BOM090;5960
MPDCF;BOM090;8130
MPDCF;BOM090;10539
MPDCF;BOM090;12675
MPDCF;BOM135;2320
MPDCF;BOM135;3983
MPDCF;BOM135;6189
MPDCF;BOM135;8813
MPDCF;BOM135;10863
MPDCF;BOM180;1841
MPDCF;BOM180;5249
MPDCF;BOM185;7748
MPDCF;BOM185;9935
MPDCF;BOM185;12065
MPDCF;BOM245;8877
MPDCF;BOM245;10927
MPDCF;BOM250;9543
MPDCF;BOM250;11428
MPDCF;ENM130;9099
MPDCF;ENM130;11598
MPDCF;IBY015;2298
MPDCF;IBY015;4171
MPDCF;IBY015;6409
MPDCF;IBY015;8999
MPDCF;IBY015;11654
MPDCF;IEK312;6081
MPDCF;IEK312;8507
MPDCF;IEK312;11053
MPDCF;LBT431;2656
MPDCF;LBT431;4365
MPDCF;LBT431;6934
MPDCF;LBT431;9329
MPDCF;LBT431;11360
MPDCF;TEK140;2440
MPDCF;TEK140;4759
MPDCF;TEK140;7082
MPDCF;TEK140;9019
MPDCF;TEK140;11183
MPDCF;TEK285;2926
MPDCF;TEK285;4591
MPDCF;TEK285;6704
MPDCF;TEK285;9129
MPDCF;TEK285;10571
MPDCF;TEK285;12589
MPDCF;VMI035;1613
MPDCF;VMI035;5113
MPDCF;VMI035;7684
MPDCF;VMI035;9889
MPDCF;VMI035;11985
MPDCF;ACE125;15728
MPDCF;BOM017;13298
MPDCF;BOM025;14799
MPDCF;BOM025;17321
MPDCF;BOM030;14559
MPDCF;BOM070;14213
MPDCF;BOM090;15117
MPDCF;BOM135;13094
MPDCF;BOM185;14291
MPDCF;BOM185;16506
MPDCF;BOM245;13108
MPDCF;BOM250;13637
MPDCF;BOM250;14601
MPDCF;ENM130;13741
MPDCF;ENM130;16013
MPDCF;IBY015;13903
MPDCF;IBY015;16235
MPDCF;IEK312;13212
MPDCF;IEK313;15736
MPDCF;LBT431;13585
MPDCF;TEK140;13799
MPDCF;TEK285;14843
MPDCF;TEK285;17261
MPDCF;VMI035;14229
MPDCF;VMI035;16750
