name;ans_freq;report_id
BOM011 Construction governance 2013/2014 LP1-LP1;33 (45,83%);2094
BOM011 Construction governance 2014/2015 LP1-LP1;32 (54,24%);3813
BOM011 Construction governance 2015/2016 LP2-LP2;26 (41,27%);6938
BOM015 Project management 2013/2014 LP1-LP1;73 (48,99%);2134
BOM015 Project management 2014/2015 LP1-LP1;53 (44,92%);3821
BOM016 Project management 2015/2016 LP1-LP1;59 (49,58%);6571
BOM017 Project management 2016/2017 LP1-LP1;59 (44,36%);8869
BOM017 Project management 2017/2018 LP1-LP1;55 (45,83%);10923
BOM021 Managing organisations in the construction industry 2013/2014 LP2-LP2;19 (25,33%);2684
BOM021 Managing organisations in the construction industry 2014/2015 LP2-LP2;24 (41,38%);4555
BOM021 Managing organisations in the construction industry 2015/2016 LP1-LP1;36 (56,25%);6169
BOM025 Construction, processes and management 2013/2014 LP4-LP4;17 (29,82%);3402
BOM025 Construction, processes and management 2014/2015 LP4-LP4;23 (42,59%);5684
BOM025 Construction, processes and management 2015/2016 LP4-LP4;25 (42,37%);8254
BOM025 Construction, processes and management 2016/2017 LP4-LP4;14 (22,95%);10439
BOM025 Construction, processes and management 2017/2018 LP4-LP4;16 (30,77%);12549
BOM030 Leadership and communication 2013/2014 LP3-LP3;26 (42,62%);1725
BOM030 Leadership and communication 2014/2015 LP3-LP3;22 (43,14%);5363
BOM030 Leadership and communication 2015/2016 LP3-LP3;24 (48,98%);7530
BOM030 Leadership and communication 2016/2017 LP3-LP3;23 (38,98%);9773
BOM030 Leadership and communication 2017/2018 LP3-LP3;22 (36,07%);12127
BOM055 International projects 2013/2014 LP4-LP4;27 (45,76%);3554
BOM055 International projects 2014/2015 LP4-LP4;20 (35,09%);5772
BOM055 International projects 2015/2016 LP4-LP4;36 (64,29%);7910
BOM055 International projects 2016/2017 LP4-LP4;15 (28,85%);10287
BOM055 International projects 2017/2018 LP4-LP4;16 (34,04%);12437
BOM070 Strategic management 2013/2014 LP3-LP3;25 (31,25%);1549
BOM070 Strategic management 2014/2015 LP3-LP3;16 (31,37%);5035
BOM070 Strategic management 2015/2016 LP3-LP3;25 (43,86%);7488
BOM070 Strategic management 2016/2017 LP3-LP3;35 (44,30%);9849
BOM070 Strategic management 2017/2018 LP3-LP3;21 (34,43%);11953
BOM090 Knowledge and learning in project organisations 2013/2014 LP4-LP4;16 (35,56%);3524
BOM090 Knowledge and learning in project organisations 2014/2015 LP4-LP4;14 (33,33%);5960
BOM090 Knowledge and learning in project organisations 2015/2016 LP4-LP4;23 (50,00%);8130
BOM090 Knowledge and learning in project organisations 2016/2017 LP4-LP4;13 (21,67%);10539
BOM090 Knowledge and learning in project organisations 2017/2018 LP4-LP4;14 (25,00%);12675
BOM135 Real estate finance and economics 2013/2014 LP1-LP1;12 (31,58%);2320
BOM135 Real estate finance and economics 2014/2015 LP1-LP1;22 (42,31%);3983
BOM135 Real estate finance and economics 2015/2016 LP1-LP1;16 (41,03%);6189
BOM135 Real estate finance and economics 2016/2017 LP1-LP1;21 (45,65%);8813
BOM135 Real estate finance and economics 2017/2018 LP1-LP1;19 (38,00%);10863
BOM180 Design Management 2013/2014 LP3-LP3;13 (43,33%);1841
BOM180 Design management 2014/2015 LP3-LP3;19 (47,50%);5249
BOM185 Design management 2015/2016 LP3-LP3;21 (39,62%);7748
BOM185 Design management 2016/2017 LP3-LP3;20 (45,45%);9935
BOM185 Design management 2017/2018 LP3-LP3;15 (29,41%);12065
BOM245 Introduction to Design and construction project management 2016/2017 LP1-LP1;31 (52,54%);8877
BOM245 Introduction to Design and construction project management 2017/2018 LP1-LP1;34 (55,74%);10927
BOM250 Life cycle engineering 2016/2017 LP2-LP2;10 (45,45%);9543
BOM250 Life cycle engineering 2017/2018 LP2-LP2;17 (47,22%);11428
ENM130 Managing stakeholders for sustainable development 2016/2017 LP2-LP2;23 (57,50%);9099
ENM130 Managing stakeholders for sustainable development 2017/2018 LP2-LP2;28 (37,33%);11598
IBY015 Service management for construction and facilities 2013/2014 LP1-LP1;4 (13,79%);2298
IBY015 Service management for construction and facilities 2014/2015 LP1-LP1;19 (41,30%);4171
IBY015 Service management for construction and facilities 2015/2016 LP1-LP1;11 (33,33%);6409
IBY015 Service management for construction and facilities 2016/2017 LP2-LP2;6 (28,57%);8999
IBY015 Service management for construction and facilities 2017/2018 LP2-LP2;6 (21,43%);11654
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
LBT431 Financial and Management Accounting 2013/2014 LP2-LP2;24 (33,80%);2656
LBT431 Financial and Management Accounting 2014/2015 LP2-LP2;20 (29,41%);4365
LBT431 Financial and management accounting 2015/2016 LP2-LP2;23 (31,51%);6934
LBT431 Financial and management accounting 2016/2017 LP2-LP2;50 (41,67%);9329
LBT431 Financial and management accounting 2017/2018 LP2-LP2;31 (29,52%);11360
TEK140 Construction contract relationships 2013/2014 LP2-LP2;25 (29,41%);2440
