programme;course_tag;report_id
MPDCM;ACE115;15688
MPDCM;ACE115;17631
MPDCM;ACE115;19764
MPDCM;ACE115;22480
MPDCM;ACE120;15690
MPDCM;ACE120;17873
MPDCM;ACE120;19842
MPDCM;ACE120;22664
MPDCM;ACE125;15728
MPDCM;ACE125;17651
MPDCM;ACE125;19814
MPDCM;ACE126;22702
MPDCM;ACE130;17533
MPDCM;ACE130;20130
MPDCM;ACE130;22340
MPDCM;BOM025;17321
MPDCM;BOM025;19442
MPDCM;BOM025;21817
MPDCM;BOM030;18045
MPDCM;BOM030;20705
MPDCM;BOM185;16506
MPDCM;BOM186;19179
MPDCM;BOM186;21233
MPDCM;BOM250;16594
MPDCM;BOM250;19117
MPDCM;BOM250;21421
MPDCM;CLS045;21625
MPDCM;ENM130;20485
MPDCM;IBY015;16235
MPDCM;IBY015;18211
MPDCM;IBY015;20929
MPDCM;LBT431;15815
MPDCM;LBT432;18697
MPDCM;LBT432;20651
MPDCM;SEE040;20134
MPDCM;SEE040;22624
MPDCM;TEK140;15999
MPDCM;TEK140;18585
MPDCM;TEK141;20961
MPDCM;TEK226;21345
MPDCM;TEK600;20777
MPDCM;TEK660;17401
MPDCM;TEK660;19566
MPDCM;TEK660;21751
MPDCM;VMI035;16750
MPDCM;VMI035;18939
MPDCM;VMI035;21229
