programme;course_tag;report_id
MPDES;CIU176;10687
MPDES;DAT157;12757
MPDES;ENM145;7040
MPDES;ENM145;8993
MPDES;ENM145;11001
MPDES;IBB135;2728
MPDES;IBB135;3216
MPDES;IBB135;4429
MPDES;IBB135;5832
MPDES;IBB135;7150
MPDES;IBB135;8272
MPDES;IBB136;9563
MPDES;IBB136;10587
MPDES;IBB136;11582
MPDES;IBB136;12583
MPDES;IEK312;2016
MPDES;IEK312;1741
MPDES;IEK312;4071
MPDES;IEK312;5381
MPDES;IEK312;6081
MPDES;IEK312;7544
MPDES;IEK312;8507
MPDES;IEK312;9609
MPDES;IEK312;11053
MPDES;IEK312;12195
MPDES;IPE061;2766
MPDES;IPE061;3510
MPDES;IPE062;4915
MPDES;IPE062;6000
MPDES;MMK221;2646
MPDES;MMK221;4355
MPDES;MMK221;6924
MPDES;MMK221;9319
MPDES;MMK221;11440
MPDES;MPP020;1803
MPDES;MPP020;5225
MPDES;MPP020;7412
MPDES;MPP020;9797
MPDES;MPP020;11915
MPDES;MPP036;2720
MPDES;MPP036;4421
MPDES;MPP036;7142
MPDES;MPP036;9051
MPDES;MPP036;11700
MPDES;MPP105;1898
MPDES;MPP105;4097
MPDES;MPP105;6453
MPDES;MPP105;8461
MPDES;MPP105;10819
MPDES;MPP111;2694
MPDES;MPP111;4565
MPDES;MPP111;6738
MPDES;MPP111;9471
MPDES;MPP111;11502
MPDES;MPR034;2024
MPDES;MPR034;4077
MPDES;MPR034;6089
MPDES;MPR034;8513
MPDES;MPR034;10955
MPDES;PPU010;2862
MPDES;PPU010;4829
MPDES;PPU010;6984
MPDES;PPU010;9523
MPDES;PPU010;11544
MPDES;PPU073;3244
MPDES;PPU074;6004
MPDES;PPU074;8160
MPDES;PPU074;10177
MPDES;PPU074;12779
MPDES;PPU090;2330
MPDES;PPU090;3995
MPDES;PPU090;6143
MPDES;PPU090;8581
MPDES;PPU090;10821
MPDES;PPU095;3584
MPDES;PPU095;5794
MPDES;PPU095;7964
MPDES;PPU095;10351
MPDES;PPU095;12485
MPDES;PPU101;5804
MPDES;PPU101;7974
MPDES;PPU101;10361
MPDES;PPU101;3596
MPDES;PPU101;12495
MPDES;PPU110;2176
MPDES;PPU110;3883
MPDES;PPU110;6477
MPDES;PPU110;8485
MPDES;PPU110;11041
MPDES;PPU180;2820
MPDES;PPU180;4507
MPDES;PPU180;6696
MPDES;PPU180;9123
MPDES;PPU180;11206
MPDES;PPU185;2258
MPDES;PPU185;3943
MPDES;PPU185;6151
MPDES;PPU185;8601
MPDES;PPU185;10681
MPDES;PPU231;12309
MPDES;SSY261;1511
MPDES;SSY261;5309
MPDES;SSY261;7694
MPDES;SSY261;9753
MPDES;SSY261;11236
MPDES;TEK261;3034
MPDES;TEK261;4379
MPDES;TEK261;6948
MPDES;TEK261;9335
MPDES;TEK261;11362
MPDES;TME125;2870
MPDES;TME125;4839
MPDES;TME125;6992
MPDES;TME125;8963
MPDES;TME125;11626
MPDES;TMS031;11949
MPDES;ARK496;22039
MPDES;ARK700;21905
MPDES;CIU176;12956
MPDES;CIU176;15422
MPDES;CIU176;17709
MPDES;CIU176;19900
MPDES;CIU281;20455
MPDES;DAT157;14923
MPDES;DAT157;17161
MPDES;DAT157;19200
MPDES;DAT157;21909
MPDES;DAT405;19159
MPDES;DAT405;21247
MPDES;IBB136;13725
MPDES;IBB136;14837
MPDES;IBB136;15772
MPDES;IBB136;16922
MPDES;IBB137;18691
MPDES;IBB137;19708
MPDES;IBB137;20537
MPDES;IBB137;21837
MPDES;IEK312;13212
MPDES;IEK312;14365
MPDES;IEK313;15736
MPDES;IEK313;16882
MPDES;IEK313;17517
MPDES;IEK313;18759
MPDES;IEK313;20102
MPDES;IEK313;21353
MPDES;IEK313;22448
MPDES;IMS010;14093
MPDES;IMS010;16091
MPDES;IMS010;18345
MPDES;IMS010;20459
MPDES;IMS015;15173
MPDES;IMS015;17191
MPDES;IMS015;19440
MPDES;IMS015;21815
MPDES;IMS035;16395
MPDES;IMS035;18259
