name;ans_freq;report_id
CIU176 Prototyping in interaction design 2017/2018 LP1-LP1;37 (40,66%);10687
DAT157 Designing User Experiences 2017/2018 LP4-LP4;32 (42,11%);12757
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
IBB135 Project management 2013/2014 LP2-LP2;32 (41,56%);2728
IBB135 Project management 2013/2014 LP4-LP4;39 (52,70%);3216
IBB135 Project management 2014/2015 LP2-LP2;58 (66,67%);4429
IBB135 Project management 2014/2015 LP4-LP4;22 (36,67%);5832
IBB135 Project management 2015/2016 LP2-LP2;26 (30,95%);7150
IBB135 Project management 2015/2016 LP4-LP4;35 (40,70%);8272
IBB136 Project management 2016/2017 LP2-LP2;24 (25,81%);9563
IBB136 Project management 2016/2017 LP4-LP4;18 (23,38%);10587
IBB136 Project management 2017/2018 LP2-LP2;21 (36,21%);11582
IBB136 Project management 2017/2018 LP4-LP4;20 (23,81%);12583
IEK312 Quality management 2013/2014 LP1-LP1;11 (25,00%);2016
IEK312 Quality management 2013/2014 LP3-LP3;36 (37,89%);1741
IEK312 Quality management 2014/2015 LP1-LP1;15 (45,45%);4071
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
MMK221 Materials selection and design 2013/2014 LP2-LP2;28 (38,89%);2646
MMK221 Materials selection and design 2014/2015 LP2-LP2;15 (34,09%);4355
MMK221 Materials selection and design 2015/2016 LP2-LP2;11 (23,91%);6924
MMK221 Materials selection and design 2016/2017 LP2-LP2;13 (25,49%);9319
MMK221 Materials selection and design 2017/2018 LP2-LP2;11 (31,43%);11440
MPP020 Computer aided modeling, advanced course 2013/2014 LP3-LP3;12 (46,15%);1803
MPP020 Computer aided modeling, advanced course 2014/2015 LP3-LP3;8 (32,00%);5225
MPP020 Computer aided modeling, advanced course 2015/2016 LP3-LP3;16 (42,11%);7412
MPP020 Computer aided modeling, advanced course 2016/2017 LP3-LP3;13 (50,00%);9797
MPP020 Computer aided modeling, advanced course 2017/2018 LP3-LP3;10 (29,41%);11915
MPP036 Cognitive ergonomics 2013/2014 LP2-LP2;9 (39,13%);2720
MPP036 Cognitive ergonomics 2014/2015 LP2-LP2;8 (27,59%);4421
MPP036 Cognitive ergonomics 2015/2016 LP2-LP2;9 (42,86%);7142
MPP036 Cognitive ergonomics 2016/2017 LP2-LP2;11 (33,33%);9051
MPP036 Cognitive ergonomics 2017/2018 LP2-LP2;6 (21,43%);11700
MPP105 Visual brand identity and product design 2013/2014 LP1-LP1;14 (45,16%);1898
MPP105 Visual brand identity and product design 2014/2015 LP1-LP1;17 (56,67%);4097
MPP105 Visual brand identity and product design 2015/2016 LP1-LP1;16 (55,17%);6453
MPP105 Visual brand identity and product design 2016/2017 LP1-LP1;20 (47,62%);8461
MPP105 Visual brand identity and product design 2017/2018 LP1-LP1;18 (43,90%);10819
MPP111 Advanced form design 1 2013/2014 LP2-LP2;22 (64,71%);2694
MPP111 Advanced form design 2014/2015 LP2-LP2;14 (43,75%);4565
MPP111 Advanced form design 2015/2016 LP2-LP2;11 (31,43%);6738
MPP111 Advanced form design 2016/2017 LP2-LP2;11 (33,33%);9471
MPP111 Advanced form design 2017/2018 LP2-LP2;10 (23,81%);11502
MPR034 Manufacturing processes 2013/2014 LP1-LP1;41 (44,57%);2024
MPR034 Manufacturing processes 2014/2015 LP1-LP1;36 (50,70%);4077
MPR034 Manufacturing processes 2015/2016 LP1-LP1;43 (76,79%);6089
MPR034 Manufacturing processes 2016/2017 LP1-LP1;40 (40,40%);8513
MPR034 Manufacturing processes 2017/2018 LP1-LP1;40 (54,79%);10955
PPU010 Computer aided industrial design (CAID) 2013/2014 LP2-LP2;7 (28,00%);2862
PPU010 Computer aided industrial design (CAID) 2014/2015 LP2-LP2;15 (44,12%);4829
PPU010 Computer aided industrial design (CAID) 2015/2016 LP2-LP2;10 (31,25%);6984
PPU010 Computer aided industrial design (CAID) 2016/2017 LP2-LP2;11 (28,95%);9523
PPU010 Computer aided industrial design (CAID) 2017/2018 LP2-LP2;12 (30,77%);11544
PPU073 Digital sketching and graphic design 2013/2014 LP2-LP4;13 (43,33%);3244
PPU074 Digital sketching and graphical presentations 2014/2015 LP2-LP4;7 (25,00%);6004
PPU074 Digital sketching and graphical presentations 2015/2016 LP2-LP4;15 (48,39%);8160
PPU074 Digital sketching and graphical presentations 2016/2017 LP2-LP4;12 (37,50%);10177
PPU074 Digital sketching and graphical presentations 2017/2018 LP2-LP4;10 (27,03%);12779
PPU090 Industrial design engineering: theory and methodology 2013/2014 LP1-LP1;13 (43,33%);2330
PPU090 Industrial design engineering: theory and methodology 2014/2015 LP1-LP1;23 (71,88%);3995
PPU090 Industrial design engineering: theory and methodology 2015/2016 LP1-LP1;20 (44,44%);6143
PPU090 Industrial design engineering: theory and methodology 2016/2017 LP1-LP1;18 (54,55%);8581
PPU090 Industrial design engineering: theory and practice 2017/2018 LP1-LP1;21 (52,50%);10821
PPU095 Project industrial design engineering 2013/2014 LP3-LP4;19 (63,33%);3584
PPU095 Project industrial design engineering 2014/2015 LP3-LP4;10 (37,04%);5794
PPU095 Project industrial design engineering 2015/2016 LP3-LP4;21 (51,22%);7964
