programme;course_tag;report_id
MPDSC;DAT246;16003
MPDSC;DAT246;18587
MPDSC;DAT246;20084
MPDSC;DAT246;22534
MPDSC;DAT340;16616
MPDSC;DAT340;19131
MPDSC;DAT340;19676
MPDSC;DAT340;21459
MPDSC;DAT340;21667
MPDSC;DAT346;16926
MPDSC;DAT346;19274
MPDSC;DAT405;15704
MPDSC;DAT405;17501
MPDSC;DAT405;20072
MPDSC;DAT405;22350
MPDSC;DAT410;16896
MPDSC;DAT410;18771
MPDSC;DAT410;21363
MPDSC;DAT440;19694
MPDSC;DAT440;21843
MPDSC;DAT450;18699
MPDSC;DAT450;20583
MPDSC;DAT465;20240
MPDSC;DAT465;22610
MPDSC;DAT470;21669
MPDSC;DAT475;22141
MPDSC;EEN020;16187
MPDSC;EEN020;18375
MPDSC;EEN020;20513
MPDSC;FFR105;17629
MPDSC;FFR105;19762
MPDSC;FFR105;22546
MPDSC;FFR135;17567
MPDSC;FFR135;20170
MPDSC;FFR135;22670
MPDSC;MVE095;20795
MPDSC;MVE165;17077
MPDSC;MVE165;19346
MPDSC;MVE165;22097
MPDSC;MVE171;16289
MPDSC;MVE172;18663
MPDSC;MVE172;20647
MPDSC;MVE187;17735
MPDSC;MVE187;19950
MPDSC;MVE187;22516
MPDSC;MVE190;16065
MPDSC;MVE190;18515
MPDSC;MVE190;20901
MPDSC;MVE440;17229
MPDSC;MVE441;19710
MPDSC;MVE441;21839
MPDSC;MVE550;16183
MPDSC;MVE550;18397
MPDSC;MVE550;20557
MPDSC;RRY025;15482
MPDSC;RRY025;17897
MPDSC;RRY025;20092
MPDSC;RRY025;22360
MPDSC;SSY098;16890
MPDSC;SSY098;18765
MPDSC;SSY098;21357
MPDSC;SSY115;16952
MPDSC;SSY115;19222
MPDSC;SSY115;21648
MPDSC;SSY130;16019
MPDSC;SSY130;18225
MPDSC;SSY130;20307
MPDSC;SSY316;20587
MPDSC;SSY340;19978
MPDSC;SSY340;22482
MPDSC;TDA232;17417
MPDSC;TDA233;19161
MPDSC;TDA233;21241
MPDSC;TDA251;15965
MPDSC;TDA251;18571
MPDSC;TDA251;20441
MPDSC;TDA357;15875
MPDSC;TDA357;16524
MPDSC;TDA357;18169
MPDSC;TDA357;18897
MPDSC;TDA357;20871
MPDSC;TDA357;21151
MPDSC;TDA507;16015
MPDSC;TDA507;18545
MPDSC;TDA507;20377
MPDSC;TDA596;15933
MPDSC;TDA596;18039
MPDSC;TDA596;20699
MPDSC;TEK650;17951
MPDSC;TEK650;19936
MPDSC;TEK650;22432
MPDSC;TEK655;18675
MPDSC;TEK656;20963
MPDSC;TIF150;18777
MPDSC;TIF150;21369
MPDSC;TIN093;15396
MPDSC;TIN093;16452
MPDSC;TIN093;17615
MPDSC;TIN093;18717
MPDSC;TIN093;19750
MPDSC;TIN093;21022
MPDSC;TIN093;22202
MPDSC;TMA265;17745
MPDSC;TMA265;22538
MPDSC;TMA521;15823
MPDSC;TMA521;18647
MPDSC;TMA521;20831
MPDSC;TMA881;15370
MPDSC;TMA881;17657
MPDSC;TMA881;19846
MPDSC;TMA881;22248
MPDSC;TMA947;15272
MPDSC;TMA947;17661
MPDSC;TMA947;19850
MPDSC;TMA947;22252
MPDSC;TMS016;17279
MPDSC;TMS016;19312
MPDSC;TMS016;22013
MPDSC;TMS088;16975
MPDSC;TMS088;19210
MPDSC;TMS088;21663
