name;ans_freq;report_id
DAT246 Empirical software engineering 2019/2020 LP2-LP2;18 (21,95%);16003
DAT246 Empirical software engineering 2020/2021 LP2-LP2;23 (27,71%);18587
DAT246 Empirical software engineering 2021/2022 LP1-LP1;30 (30,61%);20084
DAT246 Empirical software engineering 2022/2023 LP1-LP1;27 (27,84%);22534
DAT340 Applied Machine Learning 2019/2020 LP3-LP3;34 (37,78%);16616
DAT340 Applied Machine Learning 2020/2021 LP3-LP3;34 (31,78%);19131
DAT340 Applied Machine Learning 2020/2021 LP4-LP4;26 (21,85%);19676
DAT340 Applied Machine Learning 2021/2022 LP3-LP3;33 (30,28%);21459
DAT340 Applied Machine Learning 2021/2022 LP4-LP4;5 (5,05%);21667
DAT346 Techniques for large-scale data 2019/2020 LP4-LP4;41 (55,41%);16926
DAT346 Techniques for large-scale data 2020/2021 LP4-LP4;32 (31,37%);19274
DAT405 Introduction to data science and AI 2019/2020 LP1-LP1;11 (37,93%);15704
DAT405 Introduction to data science and AI 2020/2021 LP1-LP1;13 (16,05%);17501
DAT405 Introduction to data science and AI 2021/2022 LP1-LP1;29 (15,68%);20072
DAT405 Introduction to data science and AI 2022/2023 LP1-LP1;54 (27,14%);22350
DAT410 Design of AI systems 2019/2020 LP3-LP3;8 (28,57%);16896
DAT410 Design of AI systems 2020/2021 LP3-LP3;39 (31,97%);18771
DAT410 Design of AI systems 2021/2022 LP3-LP3;24 (22,22%);21363
DAT440 Advanced topics in machine learning 2020/2021 LP4-LP4;22 (37,93%);19694
DAT440 Advanced topics in machine learning 2021/2022 LP4-LP4;17 (26,15%);21843
DAT450 Machine learning for natural language processing 2020/2021 LP2-LP2;19 (33,93%);18699
DAT450 Machine learning for natural language processing 2021/2022 LP2-LP2;19 (25,68%);20583
DAT465 Causality and causal inference 2021/2022 LP1-LP1;8 (66,67%);20240
DAT465 Causality and causal inference 2022/2023 LP1-LP1;8 (38,10%);22610
DAT470 Computational techniques for large-scale data 2021/2022 LP4-LP4;41 (55,41%);21669
DAT475 Advanced databases 2021/2022 LP4-LP4;23 (39,66%);22141
EEN020 Computer vision 2019/2020 LP2-LP2;32 (26,89%);16187
EEN020 Computer vision 2020/2021 LP2-LP2;25 (26,60%);18375
