name;ans_freq;report_id
AMU019 Sustainable development and the design professions 2013/2014 LP1-LP1;57 (37,75%);2418
AMU019 Sustainable development and the design professions 2014/2015 LP1-LP1;67 (50,38%);3685
AMU019 Sustainable development and the design professions 2015/2016 LP1-LP1;81 (57,45%);6064
AMU019 Sustainable development and the design professions 2016/2017 LP1-LP1;86 (57,33%);8370
ARK146 Architectural conservation and transformation 2013/2014 LP3-LP3;11 (27,50%);1631
ARK146 Architectural conservation and transformation 2014/2015 LP3-LP3;15 (62,50%);
ARK146 Architectural conservation and transformation 2015/2016 LP3-LP3;7 (87,50%);7287
ARK146 Architectural conservation and transformation 2016/2017 LP3-LP3;9 (52,94%);9588
ARK161 Reality studio 1 2013/2014 LP4-LP4;15 (71,43%);3492
ARK173 Planning and design for sustainable development in a local context 2013/2014 LP1-LP2;23 (62,16%);3056
ARK173 Planning and design for sustainable development in a local context 2014/2015 LP1-LP2;24 (68,57%);4817
ARK173 Planning and design for sustainable development in a local context 2015/2016 LP1-LP2;19 (61,29%);6974
ARK173 Planning and design for sustainable development in a local context 2016/2017 LP1-LP2;17 (56,67%);9349
ARK174 Planning and design for sustainable development in a local context 2017/2018 LP1-LP2;21 (72,41%);11826
ARK176 Design systems 2013/2014 LP3-LP3;11 (0%);1779
ARK176 Design systems 2014/2015 LP3-LP3;10 (45,45%);
ARK176 Design systems 2015/2016 LP3-LP3;20 (80,00%);7291
ARK176 Design systems 2016/2017 LP3-LP3;16 (84,21%);9586
ARK177 Design systems 2017/2018 LP3-LP3;6 (50,00%);11845
ARK316 Leadership in architectural professions - master's thesis preparation course 2013/2014 LP1-LP1;17 (30,36%);2202
ARK316 Leadership in architectural professions - master's thesis preparation course 2013/2014 LP3-LP3;6 (46,15%);1581
ARK316 Leadership in architectural professions - master's thesis preparation course 2014/2015 LP1-LP1;27 (48,21%);3907
ARK316 Leadership in architectural professions - master's thesis preparation course 2014/2015 LP3-LP3;5 (62,50%);
ARK323 Design and planning for social inclusion 2013/2014 LP1-LP2;15 (55,56%);2818
ARK323 Design and planning for social inclusion 2014/2015 LP1-LP2;14 (93,33%);4505
ARK323 Design and planning for social inclusion 2015/2016 LP1-LP2;16 (66,67%);6694
ARK323 Design and planning for social inclusion 2016/2017 LP1-LP2;26 (86,67%);9467
ARK324 Design and planning for social inclusion 2017/2018 LP1-LP2;17 (56,67%);11828
ARK347 Architectural heritage and urban transformation 2013/2014 LP3-LP4;19 (79,17%);3252
ARK347 Architectural heritage and urban transformation 2014/2015 LP3-LP4;9 (39,13%);5858
ARK347 Architectural heritage and urban transformation 2015/2016 LP3-LP4;13 (61,90%);7874
ARK347 Architectural heritage and urban transformation 2016/2017 LP3-LP4;11 (52,38%);10251
ARK350 Sustainable building: Competition 1 2013/2014 LP1-LP2;12 (60,00%);2696
ARK350 Sustainable building: Competition 1 2014/2015 LP1-LP2;18 (51,43%);4567
ARK350 Sustainable building: Competition 2015/2016 LP1-LP2;20 (74,07%);6613
ARK350 Sustainable building: Competition 2016/2017 LP1-LP2;11 (73,33%);9113
ARK350 Sustainable building: Competition 2017/2018 LP1-LP2;13 (68,42%);11200
ARK415 Building design lab 2013/2014 LP2-LP2;11 (68,75%);2434
ARK415 Building design lab 2014/2015 LP2-LP2;15 (45,45%);4755
ARK415 Building design lab 2015/2016 LP2-LP2;7 (35,00%);7078
ARK415 Building design lab 2016/2017 LP2-LP2;5 (35,71%);9015
ARK415 Building design lab 2017/2018 LP2-LP2;9 (64,29%);11668
ARK460 Architecture - advanced theory and methodology - master's thesis preparation course 2013/2014 LP1-LP1;7 (29,17%);1886
ARK461 Academic writing: masters thesis preparation course 2015/2016 LP1-LP1;27 (34,62%);6391
ARK461 Academic writing: masters thesis preparation course 2015/2016 LP3-LP3;8 (66,67%);7293
ARK461 Academic writing: masters thesis preparation course 2016/2017 LP1-LP1;37 (41,11%);8421
ARK461 Academic writing: masters thesis preparation course 2016/2017 LP3-LP3;5 (27,78%);9592
ARK461 Creative Writing: Theory and methodology in Architecture 2014/2015 LP1-LP1;15 (42,86%);3687
ARK465 Sustainable architectural design 2016/2017 LP3-LP4;13 (59,09%);10141
ARK465 Sustainable building 2013/2014 LP3-LP4;18 (54,55%);3470
ARK465 Sustainable building 2014/2015 LP3-LP4;6 (31,58%);5722
ARK465 Sustainable building 2015/2016 LP3-LP4;7 (53,85%);7906
ARK466 Sustainable architectural design 2017/2018 LP3-LP4;18 (85,71%);12911
ARK495 Reality studio 2014/2015 LP3-LP4;12 (60,00%);5992
ARK495 Reality studio 2015/2016 LP3-LP4;8 (57,14%);8138
ARK495 Reality studio 2016/2017 LP3-LP4;14 (82,35%);10169
ARK496 Reality studio 2017/2018 LP3-LP4;12 (57,14%);12913
ARK590 History, theory and method 1 2017/2018 LP3-LP4;10 (37,04%);12352
ARK600 History, theory and method 3 2017/2018 LP3-LP4;11 (64,71%);12891
ARK605 History, theory and method 4 2017/2018 LP3-LP4;4 (12,50%);12356
ARK610 History, theory and method 5 2017/2018 LP3-LP4;10 (45,45%);12346
ARK615 History, theory and method 6 2017/2018 LP3-LP4;10 (45,45%);12348
