name;ans_freq;report_id
DAT093 Introduction to electronic system design 2013/2014 LP1-LP1;29 (54,72%);2422
DAT093 Introduction to electronic system design 2014/2015 LP1-LP1;21 (61,76%);4139
DAT093 Introduction to electronic system design 2015/2016 LP1-LP1;28 (57,14%);6343
DAT093 Introduction to electronic system design 2016/2017 LP1-LP1;21 (44,68%);8857
DAT093 Introduction to electronic system design 2017/2018 LP1-LP1;23 (50,00%);10897
DAT096 Embedded system design project 2013/2014 LP3-LP4;21 (63,64%);3344
DAT096 Embedded system design project 2014/2015 LP3-LP4;14 (60,87%);5642
DAT096 Embedded system design project 2015/2016 LP3-LP4;16 (66,67%);8074
DAT096 Embedded system design project 2016/2017 LP3-LP4;12 (36,36%);10533
DAT096 Embedded system design project 2017/2018 LP3-LP4;18 (58,06%);12669
DAT105 Computer architecture 2013/2014 LP2-LP2;28 (44,44%);2860
DAT105 Computer architecture 2014/2015 LP2-LP2;11 (35,48%);4827
DAT105 Computer architecture 2015/2016 LP2-LP2;9 (28,13%);6982
DAT105 Computer architecture 2016/2017 LP2-LP2;14 (29,79%);9153
DAT105 Computer architecture 2017/2018 LP2-LP2;24 (44,44%);11226
DAT110 Methods for electronic system design and verification 2013/2014 LP2-LP2;18 (43,90%);2756
DAT110 Methods for electronic system design and verification 2014/2015 LP2-LP2;20 (68,97%);4455
DAT110 Methods for electronic system design and verification 2015/2016 LP2-LP2;18 (52,94%);6650
DAT110 Methods for electronic system design and verification 2016/2017 LP2-LP2;14 (35,90%);9075
DAT110 Methods for electronic system design and verification 2017/2018 LP2-LP2;24 (51,06%);11720
DAT116 Mixed-signal system design 2013/2014 LP2-LP2;20 (66,67%);2564
DAT116 Mixed-signal system design 2014/2015 LP2-LP2;29 (67,44%);4721
DAT116 Mixed-signal system design 2015/2016 LP2-LP2;21 (45,65%);7218
DAT116 Mixed-signal system design 2016/2017 LP2-LP2;12 (33,33%);9487
DAT116 Mixed-signal system design 2017/2018 LP2-LP2;16 (44,44%);11518
DAT276 Energy aware computing 2013/2014 LP4-LP4;6 (54,55%);3648
DAT276 Energy aware computing 2014/2015 LP4-LP4;10 (62,50%);5936
DAT277 Energy aware computing 2015/2016 LP4-LP4;12 (66,67%);8338
DAT277 Energy aware computing 2016/2017 LP4-LP4;10 (55,56%);10483
DAT277 Energy aware computing 2017/2018 LP4-LP4;7 (46,67%);12629
EDA092 Operating systems 2013/2014 LP2-LP2;36 (34,62%);2540
EDA092 Operating systems 2014/2015 LP2-LP2;40 (40,40%);4701
EDA092 Operating systems 2015/2016 LP2-LP2;33 (30,56%);7200
EDA092 Operating systems 2016/2017 LP2-LP2;38 (33,04%);9389
