name;ans_freq;report_id
FFR105 Stochastic optimization algorithms 2013/2014 LP1-LP1;48 (48,98%);362
FFR105 Stochastic optimization algorithms 2014/2015 LP1-LP1;61 (70,11%);3861
FFR105 Stochastic optimization algorithms 2015/2016 LP1-LP1;71 (55,47%);6507
FFR105 Stochastic optimization algorithms 2016/2017 LP1-LP1;65 (50,78%);8739
FFR105 Stochastic optimization algorithms 2017/2018 LP1-LP1;75 (47,17%);10767
FFR110 Computational biology 1 2013/2014 LP2-LP2;26 (45,61%);818
FFR110 Computational biology 1 2014/2015 LP2-LP2;30 (54,55%);4705
FFR110 Computational biology 1 2015/2016 LP3-LP3;21 (33,87%);7720
FFR110 Computational biology 1 2016/2017 LP3-LP3;27 (40,30%);9907
FFR110 Computational biology 1 2017/2018 LP3-LP3;24 (28,92%);11993
FFR135 Artificial neural networks 2013/2014 LP1-LP1;43 (45,26%);1994
FFR135 Artificial neural networks 2014/2015 LP1-LP1;51 (64,56%);4053
FFR135 Artificial neural networks 2015/2016 LP1-LP1;70 (50,36%);6543
FFR135 Artificial neural networks 2016/2017 LP1-LP1;69 (44,81%);8769
FFR135 Artificial neural networks 2017/2018 LP1-LP1;92 (41,07%);10785
KBB032 Biochemistry and molecular biology 2013/2014 LP1-LP1;8 (66,67%);2268
KBB032 Biochemistry and molecular biology 2014/2015 LP1-LP1;7 (70,00%);3951
KBB032 Biochemistry and molecular biology 2015/2016 LP1-LP1;14 (70,00%);6159
KBB032 Biochemistry and molecular biology 2016/2017 LP1-LP1;11 (45,83%);8553
KBB032 Biochemistry and molecular biology 2017/2018 LP1-LP1;7 (46,67%);11083
KMG060 Systems biology 2013/2014 LP2-LP2;18 (58,06%);2512
KMG060 Systems biology 2014/2015 LP2-LP2;26 (72,22%);4291
KMG060 Systems biology 2015/2016 LP2-LP2;20 (50,00%);6866
KMG060 Systems biology 2016/2017 LP2-LP2;31 (59,62%);9273
KMG060 Systems biology 2017/2018 LP1-LP1;32 (61,54%);10727
MTF072 Computational fluid dynamics (CFD) 2013/2014 LP2-LP2;35 (61,40%);2506
MTF072 Computational fluid dynamics (CFD) 2014/2015 LP2-LP2;51 (66,23%);4287
MTF072 Computational fluid dynamics (CFD) 2015/2016 LP2-LP2;48 (53,93%);6862
MTF072 Computational fluid dynamics (CFD) 2016/2017 LP2-LP2;40 (54,05%);9269
MTF072 Computational fluid dynamics (CFD) 2017/2018 LP2-LP2;26 (46,43%);11588
MTF270 Turbulence modeling 2013/2014 LP4-LP4;16 (51,61%);3588
MTF270 Turbulence modeling 2014/2015 LP4-LP4;13 (39,39%);5796
MTF270 Turbulence modeling 2015/2016 LP4-LP4;14 (38,89%);7966
MTF270 Turbulence modeling 2016/2017 LP4-LP4;13 (43,33%);10353
MTF270 Turbulence modeling 2017/2018 LP4-LP4;9 (40,91%);12487
MVE080 Scientific visualization 2013/2014 LP2-LP2;12 (60,00%);2424
MVE080 Scientific visualization 2014/2015 LP2-LP2;11 (68,75%);4745
MVE095 Options and mathematics 2013/2014 LP4-LP4;21 (42,00%);3496
MVE095 Options and mathematics 2014/2015 LP4-LP4;16 (38,10%);5944
MVE095 Options and mathematics 2015/2016 LP4-LP4;16 (22,22%);8108
MVE095 Options and mathematics 2016/2017 LP2-LP2;15 (40,54%);9527
MVE095 Options and mathematics 2017/2018 LP2-LP2;12 (32,43%);11548
MVE140 Foundations of probability theory 2013/2014 LP2-LP2;14 (50,00%);2774
MVE140 Foundations of probability theory 2014/2015 LP2-LP2;17 (50,00%);4465
MVE140 Foundations of probability theory 2015/2016 LP2-LP2;7 (20,59%);6662
MVE140 Foundations of probability theory 2016/2017 LP2-LP2;15 (27,27%);9461
MVE140 Foundations of probability theory 2017/2018 LP2-LP2;15 (30,61%);11562
MVE150 Algebra 2013/2014 LP3-LP3;4 (33,33%);1451
MVE150 Algebra 2014/2015 LP3-LP3;7 (43,75%);4999
MVE150 Algebra 2015/2016 LP3-LP3;3 (37,50%);7468
MVE150 Algebra 2016/2017 LP3-LP3;10 (55,56%);9837
MVE150 Algebra 2017/2018 LP3-LP3;5 (26,32%);11943
MVE155 Statistical inference 2013/2014 LP3-LP3;23 (28,05%);1727
MVE155 Statistical inference 2014/2015 LP3-LP3;32 (36,78%);5365
MVE155 Statistical inference 2015/2016 LP3-LP3;33 (31,13%);7532
MVE155 Statistical inference 2016/2017 LP3-LP3;31 (31,31%);9751
MVE155 Statistical inference 2017/2018 LP3-LP3;30 (31,58%);11887
MVE161 Ordinary differential equations and mathematical modelling 2013/2014 LP4-LP4;26 (41,27%);3640
MVE161 Ordinary differential equations and mathematical modelling 2014/2015 LP4-LP4;25 (33,78%);5650
MVE162 Ordinary differential equations and mathematical modelling 2015/2016 LP4-LP4;20 (29,41%);8346
MVE162 Ordinary differential equations and mathematical modelling 2016/2017 LP4-LP4;14 (18,42%);10333
MVE162 Ordinary differential equations and mathematical modelling 2017/2018 LP4-LP4;17 (28,33%);12473
MVE165 Linear and integer optimisation with applications 2013/2014 LP4-LP4;24 (61,54%);3150
