programme;course_tag;report_id
MPEPO;DAT093;2422
MPEPO;DAT093;4139
MPEPO;DAT093;6343
MPEPO;DAT093;8857
MPEPO;DAT093;10897
MPEPO;EEK150;1904
MPEPO;EEK150;2802
MPEPO;EEK150;4103
MPEPO;EEK150;4489
MPEPO;EEK150;6605
MPEPO;EEK150;7276
MPEPO;EEK150;8467
MPEPO;EEK150;9093
MPEPO;EEK150;11163
MPEPO;EEK150;11736
MPEPO;EEK201;2922
MPEPO;EEK201;4587
MPEPO;EEK201;6760
MPEPO;EEK201;9195
MPEPO;EEK201;11264
MPEPO;EEK221;2326
MPEPO;EEK221;3991
MPEPO;EEK221;6197
MPEPO;EEK221;8621
MPEPO;EEK221;10699
MPEPO;ENM035;4433
MPEPO;ENM035;7154
MPEPO;ENM035;9359
MPEPO;ENM050;2068
MPEPO;ENM050;3791
MPEPO;ENM050;6299
MPEPO;ENM050;8701
MPEPO;ENM050;10747
MPEPO;ENM055;2170
MPEPO;ENM055;3877
MPEPO;ENM055;6521
MPEPO;ENM055;8753
MPEPO;ENM055;10775
MPEPO;ENM060;2890
MPEPO;ENM060;4857
MPEPO;ENM060;7050
MPEPO;ENM061;9553
MPEPO;ENM061;11578
MPEPO;ENM065;1553
MPEPO;ENM065;5039
MPEPO;ENM065;7492
MPEPO;ENM065;9853
MPEPO;ENM065;12177
MPEPO;ENM070;3480
MPEPO;ENM070;5732
MPEPO;ENM070;7914
MPEPO;ENM070;10291
MPEPO;ENM070;12443
MPEPO;ENM075;1729
MPEPO;ENM075;5369
MPEPO;ENM075;7534
MPEPO;ENM075;10007
MPEPO;ENM075;12123
MPEPO;ENM095;1894
MPEPO;ENM095;4093
MPEPO;ENM095;6449
MPEPO;ENM095;8855
MPEPO;ENM095;10895
MPEPO;ENM100;2518
MPEPO;ENM100;4297
MPEPO;ENM100;6872
MPEPO;ENM100;9279
MPEPO;ENM100;11326
MPEPO;ESS076;2042
MPEPO;ESS076;3765
MPEPO;ESS076;6235
MPEPO;ESS076;8657
MPEPO;ESS076;10715
MPEPO;ESS101;2160
MPEPO;ESS101;3869
MPEPO;ESS101;6515
MPEPO;ESS101;8747
MPEPO;ESS101;10773
MPEPO;IBB135;2728
MPEPO;IBB135;4429
MPEPO;IBB135;7150
MPEPO;IBB136;9563
MPEPO;IBB136;11582
MPEPO;IEK312;2016
MPEPO;IEK312;4071
MPEPO;IEK312;6081
MPEPO;IEK312;8507
MPEPO;IEK312;11053
MPEPO;MCC091;2014
MPEPO;MCC091;4069
MPEPO;MCC091;6079
MPEPO;MCC092;8895
MPEPO;MCC092;10644
MPEPO;MTT035;2648
MPEPO;MTT035;4357
MPEPO;MTT035;6926
MPEPO;MTT035;9321
MPEPO;MTT035;11444
MPEPO;MTT040;3208
MPEPO;MTT040;5584
MPEPO;MTT040;8014
MPEPO;MTT040;10387
MPEPO;MTT040;12597
MPEPO;MTT060;1407
MPEPO;MTT060;5335
MPEPO;MTT060;7608
MPEPO;MTT060;9655
MPEPO;MTT060;12225
MPEPO;SJO955;11794
MPEPO;SSY121;2104
MPEPO;SSY121;3961
MPEPO;SSY121;6071
MPEPO;SSY121;8377
MPEPO;SSY121;10633
MPEPO;SSY130;2858
MPEPO;SSY130;4825
MPEPO;SSY130;6980
MPEPO;SSY130;9521
MPEPO;SSY130;11542
MPEPO;SSY156;12069
MPEPO;SSY190;12531
MPEPO;SSY280;11987
MPEPO;SSY285;2570
MPEPO;SSY285;4727
MPEPO;SSY285;6624
MPEPO;SSY285;9053
MPEPO;SSY285;11702
MPEPO;TEK250;3174
MPEPO;TEK250;5906
MPEPO;TEK250;8218
MPEPO;TEK250;10227
MPEPO;TEK250;12811
MPEPO;TEK255;1531
MPEPO;TEK255;5025
MPEPO;TEK255;7444
MPEPO;TEK255;9817
MPEPO;TEK255;11929
MPEPO;TEK315;2314
MPEPO;TEK315;4185
MPEPO;TEK315;6423
MPEPO;TEK315;8447
MPEPO;TEK315;11017
MPEPO;TME047;8158
MPEPO;TME047;10175
MPEPO;TME047;12777
MPEPO;TME095;12087
MPEPO;TME121;10815
MPEPO;VMI010;2780
MPEPO;VMI010;4471
MPEPO;VMI010;6666
MPEPO;VMI010;9081
MPEPO;VMI010;11724
MPEPO;VMI035;1613
MPEPO;VMI035;5113
MPEPO;VMI035;7684
MPEPO;VMI035;9889
MPEPO;VMI035;11985
MPEPO;VTM081;3280
MPEPO;VTM081;5594
MPEPO;VTM081;8032
MPEPO;VTM081;10395
MPEPO;VTM081;12519
MPEPO;DAT093;13376
MPEPO;DAT093;15658
MPEPO;DAT094;17993
MPEPO;DAT094;19972
MPEPO;DAT094;22454
MPEPO;DAT340;19131
MPEPO;DAT340;19676
MPEPO;DAT340;21459
MPEPO;DAT340;21667
MPEPO;DAT405;18665
MPEPO;DAT405;19159
MPEPO;DAT405;20649
MPEPO;DAT405;21247
MPEPO;DAT405;22181
MPEPO;EEK150;13032
MPEPO;EEK150;13859
MPEPO;EEK150;15300
MPEPO;EEK150;15859
MPEPO;EEK150;17569
MPEPO;EEK150;18227
MPEPO;EEK150;20172
MPEPO;EEK150;20309
MPEPO;EEK201;13519
MPEPO;EEK202;16435
MPEPO;EEK202;18119
MPEPO;EEK202;20809
MPEPO;EEK221;12968
MPEPO;EEK221;15444
MPEPO;EEK221;17859
MPEPO;EEK221;19830
MPEPO;EEK221;22167
MPEPO;EEN015;14103
MPEPO;EEN016;16407
MPEPO;EEN016;18081
MPEPO;EEN016;20755
MPEPO;EEN050;15702
MPEPO;EEN050;17499
MPEPO;EEN050;20070
MPEPO;EEN050;22338
MPEPO;EEN125;20266
MPEPO;EEN125;22642
MPEPO;ENM035;13593
MPEPO;ENM035;15819
MPEPO;ENM035;18537
MPEPO;ENM035;20345
MPEPO;ENM051;13434
MPEPO;ENM051;15536
MPEPO;ENM051;17721
MPEPO;ENM052;20987
MPEPO;ENM056;13436
MPEPO;ENM056;15538
MPEPO;ENM056;17785
MPEPO;ENM056;19998
MPEPO;ENM056;22498
MPEPO;ENM061;13723
MPEPO;ENM061;16109
MPEPO;ENM061;18597
MPEPO;ENM061;20739
MPEPO;ENM066;14615
MPEPO;ENM066;16690
MPEPO;ENM066;18893
MPEPO;ENM066;21761
MPEPO;ENM070;15157
MPEPO;ENM070;17177
MPEPO;ENM070;19638
MPEPO;ENM071;22179
MPEPO;ENM076;14609
MPEPO;ENM076;16784
MPEPO;ENM076;18843
MPEPO;ENM076;21063
MPEPO;ENM095;13374
MPEPO;ENM095;15656
MPEPO;ENM095;17805
MPEPO;ENM096;20272
MPEPO;ENM096;22646
MPEPO;ENM100;13563
MPEPO;ENM100;15795
MPEPO;ENM100;18019
MPEPO;ENM100;20683
MPEPO;ESS076;12984
MPEPO;ESS101;13022
MPEPO;ESS101;15264
MPEPO;ESS101;17699
MPEPO;ESS101;19892
MPEPO;ESS101;22388
MPEPO;IBB136;13725
MPEPO;IBB136;15772
MPEPO;IBB137;18691
MPEPO;IBB137;20537
MPEPO;IBB137;21837
MPEPO;IEK312;13212
MPEPO;IEK313;15736
MPEPO;IEK313;17517
MPEPO;IEK313;20102
MPEPO;IEK313;22448
MPEPO;MCC092;13042
MPEPO;MCC092;15516
MPEPO;MCC092;17641
MPEPO;MCC092;19778
MPEPO;MCC092;22558
MPEPO;MMS195;20252
MPEPO;MMS195;22242
MPEPO;MTT035;13625
MPEPO;MTT035;15881
MPEPO;MTT035;18171
MPEPO;MTT035;21439
MPEPO;MTT040;14817
MPEPO;MTT040;17219
MPEPO;MTT040;19454
MPEPO;MTT040;22386
MPEPO;MTT060;14393
MPEPO;MTT060;16672
MPEPO;MTT060;19073
MPEPO;MTT060;21323
MPEPO;SJO955;13999
MPEPO;SJO955;16309
MPEPO;SJO955;18213
MPEPO;SJO955;20931
MPEPO;SSY121;13316
MPEPO;SSY121;15618
MPEPO;SSY121;17779
MPEPO;SSY121;19992
MPEPO;SSY121;22496
MPEPO;SSY130;13947
MPEPO;SSY130;16019
MPEPO;SSY130;18225
MPEPO;SSY130;20307
MPEPO;SSY156;14295
MPEPO;SSY156;16772
MPEPO;SSY156;18903
MPEPO;SSY156;21173
MPEPO;SSY191;15167
MPEPO;SSY191;17307
MPEPO;SSY191;19540
MPEPO;SSY191;21703
MPEPO;SSY281;14613
MPEPO;SSY281;16688
MPEPO;SSY281;19001
MPEPO;SSY281;21463
MPEPO;SSY285;13825
MPEPO;SSY285;15831
MPEPO;SSY285;18151
MPEPO;SSY285;20853
MPEPO;TEK250;14961
MPEPO;TEK250;17121
MPEPO;TEK250;19554
MPEPO;TEK255;14193
MPEPO;TEK255;16626
MPEPO;TEK255;18979
MPEPO;TEK315;13787
MPEPO;TEK315;16203
MPEPO;TEK315;19380
MPEPO;TEK315;21717
MPEPO;TME047;15017
MPEPO;TME047;17359
MPEPO;TME047;19494
MPEPO;TME047;21883
MPEPO;TME095;14309
MPEPO;TME095;16722
MPEPO;TME095;18937
MPEPO;TME095;20521
MPEPO;TME121;13050
MPEPO;TME121;15316
MPEPO;TME122;17997
MPEPO;VMI010;13847
MPEPO;VMI010;15855
MPEPO;VMI010;18161
MPEPO;VMI010;20863
MPEPO;VMI035;14229
MPEPO;VMI035;16750
MPEPO;VMI035;18939
MPEPO;VMI035;21229
MPEPO;VTM081;15025
MPEPO;VTM081;17113
MPEPO;VTM081;19364
MPEPO;VTM081;21689
