programme;course_tag;report_id
MPIDE;CIU171;1855
MPIDE;CIU175;2020
MPIDE;CIU176;4215
MPIDE;CIU176;6375
MPIDE;CIU176;8609
MPIDE;CIU176;10687
MPIDE;CIU180;2550
MPIDE;CIU180;4709
MPIDE;CIU180;7206
MPIDE;CIU180;9909
MPIDE;CIU180;11995
MPIDE;CIU186;1829
MPIDE;CIU186;5353
MPIDE;CIU187;7744
MPIDE;CIU187;9667
MPIDE;CIU187;12187
MPIDE;CIU196;2834
MPIDE;CIU196;4519
MPIDE;CIU196;6640
MPIDE;CIU196;8521
MPIDE;CIU196;11065
MPIDE;CIU240;2842
MPIDE;CIU241;6702
MPIDE;CIU241;11448
MPIDE;CIU246;3628
MPIDE;CIU246;5912
MPIDE;CIU265;2252
MPIDE;CIU265;3937
MPIDE;CIU265;6145
MPIDE;CIU265;8583
MPIDE;CIU265;10665
MPIDE;CIU280;4903
MPIDE;CIU281;9571
MPIDE;DAT156;1637
MPIDE;DAT157;5415
MPIDE;DAT157;7570
MPIDE;DAT157;10179
MPIDE;DAT157;12757
MPIDE;DAT165;2638
MPIDE;DAT165;4345
MPIDE;DAT166;7274
MPIDE;DAT166;9191
MPIDE;DAT166;11262
MPIDE;DAT205;3498
MPIDE;DAT205;5946
MPIDE;DAT205;8110
MPIDE;DAT205;10559
MPIDE;DAT205;12703
MPIDE;DAT220;1477
MPIDE;DAT220;5279
MPIDE;DAT220;7722
MPIDE;DAT220;9975
MPIDE;DAT220;12031
MPIDE;DAT230;2358
MPIDE;DAT231;4203
MPIDE;DAT231;6433
MPIDE;DAT231;8453
MPIDE;DAT231;11019
MPIDE;DAT240;1731
MPIDE;DAT240;5371
MPIDE;DAT240;7536
MPIDE;DAT240;10009
MPIDE;DAT240;12125
MPIDE;DAT245;2574
MPIDE;DAT246;4885
MPIDE;DAT246;7042
MPIDE;DAT246;9155
MPIDE;DAT246;11228
MPIDE;DAT260;3164
MPIDE;DAT260;5896
MPIDE;DAT261;8318
MPIDE;DAT261;10485
MPIDE;DAT261;12408
MPIDE;EDA263;1381
MPIDE;EDA263;5313
MPIDE;EDA263;7590
MPIDE;EDA263;9643
MPIDE;EDA263;12185
MPIDE;EDA397;3326
MPIDE;EDA397;5628
MPIDE;EDA397;8064
MPIDE;EDA397;10417
MPIDE;EDA397;12533
MPIDE;PPU225;5976
MPIDE;PPU225;8142
MPIDE;TDA357;2534
MPIDE;TDA357;4697
MPIDE;TDA357;7198
MPIDE;TDA357;9385
MPIDE;TDA357;11402
MPIDE;TDA361;2866
MPIDE;TDA361;4835
MPIDE;TDA361;6988
MPIDE;TDA361;9529
MPIDE;TDA362;11782
MPIDE;TDA466;3276
MPIDE;TDA486;2276
MPIDE;TDA486;4151
MPIDE;TDA486;6355
MPIDE;TDA486;8867
MPIDE;TDA486;10143
MPIDE;TDA486;12701
MPIDE;TDA492;2566
MPIDE;TDA492;4723
MPIDE;TDA493;7244
MPIDE;TDA493;9427
MPIDE;TDA493;11624
MPIDE;TDA497;2220
MPIDE;TDA497;3921
MPIDE;TDA497;6125
MPIDE;TDA497;8607
MPIDE;TDA497;10685
MPIDE;TDA571;1587
MPIDE;TDA571;5055
MPIDE;TDA572;7760
MPIDE;TDA572;9943
MPIDE;TDA572;12073
MPIDE;TDA580;3578
MPIDE;TDA580;5790
MPIDE;TDA580;7962
MPIDE;TDA580;11450
MPIDE;TEK236;3318
MPIDE;TEK236;5620
MPIDE;TEK236;8056
MPIDE;TEK237;10609
MPIDE;TEK237;12739
MPIDE;TIN172;3662
MPIDE;TIN172;5497
MPIDE;TIN173;7836
MPIDE;TIN174;10077
MPIDE;TIN175;12331
MPIDE;CIU176;12956
MPIDE;CIU176;15422
MPIDE;CIU176;17709
MPIDE;CIU176;19900
MPIDE;CIU176;22394
MPIDE;CIU180;14233
MPIDE;CIU180;16604
MPIDE;CIU180;19123
MPIDE;CIU180;21427
MPIDE;CIU187;14357
MPIDE;CIU187;16554
MPIDE;CIU187;18883
MPIDE;CIU187;21123
MPIDE;CIU196;13226
MPIDE;CIU196;15512
MPIDE;CIU196;17683
MPIDE;CIU265;13400
MPIDE;CIU265;15504
MPIDE;CIU265;17843
MPIDE;CIU265;19798
MPIDE;CIU265;22576
MPIDE;CIU281;16285
MPIDE;CIU281;18341
MPIDE;CIU281;20455
MPIDE;CLS055;20258
MPIDE;CLS055;22640
MPIDE;DAT157;14923
MPIDE;DAT157;17161
MPIDE;DAT157;19200
MPIDE;DAT157;21909
MPIDE;DAT166;13517
MPIDE;DAT205;15137
MPIDE;DAT205;17391
MPIDE;DAT205;19284
MPIDE;DAT205;21971
MPIDE;DAT220;14241
MPIDE;DAT220;16752
MPIDE;DAT220;18735
MPIDE;DAT231;19904
MPIDE;DAT231;22466
MPIDE;DAT231;13182
MPIDE;DAT231;15526
MPIDE;DAT231;17713
MPIDE;DAT240;14449
MPIDE;DAT240;16808
MPIDE;DAT240;19021
MPIDE;DAT240;21081
MPIDE;DAT246;13493
MPIDE;DAT246;16003
MPIDE;DAT246;18587
MPIDE;DAT246;20084
MPIDE;DAT246;22534
MPIDE;DAT262;15175
MPIDE;DAT262;17245
MPIDE;DAT262;19202
MPIDE;DAT375;15468
MPIDE;DAT375;17819
MPIDE;DAT375;20184
MPIDE;DAT380;16097
MPIDE;DAT380;18319
MPIDE;DAT380;20465
MPIDE;DAT385;13442
MPIDE;DAT385;15540
MPIDE;DAT385;17723
MPIDE;DAT385;19912
MPIDE;DAT385;22400
MPIDE;DAT485;20973
MPIDE;DAT510;21509
MPIDE;EDA263;14355
MPIDE;EDA263;16552
MPIDE;EDA263;19061
MPIDE;EDA263;21165
MPIDE;EDA397;14791
MPIDE;EDA397;17003
MPIDE;EDA397;19496
MPIDE;EDA397;21889
MPIDE;TDA357;13617
MPIDE;TDA357;16524
MPIDE;TDA357;18897
MPIDE;TDA357;21151
MPIDE;TDA362;13875
MPIDE;TDA362;15867
MPIDE;TDA362;18465
MPIDE;TDA362;20657
MPIDE;TDA486;15135
MPIDE;TDA486;17319
MPIDE;TDA486;19432
MPIDE;TDA487;22149
MPIDE;TDA493;13761
MPIDE;TDA493;16161
MPIDE;TDA493;18333
