name;ans_freq;report_id
CIU171 The augmented body 2013/2014 LP3-LP3;10 (83,33%);1855
CIU175 Prototyping in interaction design 2013/2014 LP1-LP1;19 (32,20%);2020
CIU176 Prototyping in interaction design 2014/2015 LP1-LP1;30 (46,88%);4215
CIU176 Prototyping in interaction design 2015/2016 LP1-LP1;18 (33,96%);6375
CIU176 Prototyping in interaction design 2016/2017 LP1-LP1;29 (39,19%);8609
CIU176 Prototyping in interaction design 2017/2018 LP1-LP1;37 (40,66%);10687
CIU180 Tangible interaction 2013/2014 LP2-LP2;12 (38,71%);2550
CIU180 Tangible interaction 2014/2015 LP2-LP2;9 (45,00%);4709
CIU180 Tangible interaction 2015/2016 LP2-LP2;10 (45,45%);7206
CIU180 Tangible interaction 2016/2017 LP3-LP3;10 (32,26%);9909
CIU180 Tangible interaction 2017/2018 LP3-LP3;18 (58,06%);11995
CIU186 Information visualization 2013/2014 LP3-LP3;16 (44,44%);1829
CIU186 Information visualization 2014/2015 LP3-LP3;21 (44,68%);5353
CIU187 Information visualization 2015/2016 LP3-LP3;21 (44,68%);7744
CIU187 Information visualization 2016/2017 LP3-LP3;16 (44,44%);9667
CIU187 Information visualization 2017/2018 LP3-LP3;27 (50,00%);12187
CIU196 Mobile computing - Design and implementation 2013/2014 LP2-LP2;16 (41,03%);2834
CIU196 Mobile computing - Design and implementation 2014/2015 LP2-LP2;8 (17,78%);4519
CIU196 Mobile computing - Design and implementation 2015/2016 LP2-LP2;24 (47,06%);6640
CIU196 Mobile computing - Design and implementation 2016/2017 LP1-LP1;15 (35,71%);8521
CIU196 Mobile computing - Design and implementation 2017/2018 LP1-LP1;16 (39,02%);11065
CIU240 Interaction, games and learning 2013/2014 LP2-LP2;10 (58,82%);2842
CIU241 Design of children's technology 2015/2016 LP2-LP2;17 (58,62%);6702
CIU241 Design of children's technology 2017/2018 LP2-LP2;21 (43,75%);11448
CIU246 Tabletop computing 2013/2014 LP4-LP4;5 (35,71%);3628
CIU246 Tabletop computing 2014/2015 LP4-LP4;7 (43,75%);5912
CIU265 Interaction design project 1 2013/2014 LP1-LP1;15 (38,46%);2252
CIU265 Interaction design project 1 2014/2015 LP1-LP1;11 (28,95%);3937
CIU265 Interaction design project 1 2015/2016 LP1-LP1;22 (48,89%);6145
CIU265 Interaction design project 1 2016/2017 LP1-LP1;17 (36,96%);8583
CIU265 Interaction design project 2017/2018 LP1-LP1;15 (34,88%);10665
CIU280 Emerging trends and critical topics in interaction design 2014/2015 LP2-LP2;15 (37,50%);4903
CIU281 Emerging trends and critical topics in interaction design 2016/2017 LP2-LP2;19 (37,25%);9571
DAT156 Aesthetics of interaction 2013/2014 LP3-LP3;15 (75,00%);1637
DAT157 Designing User Experiences 2014/2015 LP3-LP3;20 (60,61%);5415
DAT157 Designing User Experiences 2015/2016 LP3-LP3;22 (53,66%);7570
DAT157 Designing User Experiences 2016/2017 LP4-LP4;19 (40,43%);10179
DAT157 Designing User Experiences 2017/2018 LP4-LP4;32 (42,11%);12757
DAT165 Software product line engineering 2013/2014 LP2-LP2;10 (40,00%);2638
DAT165 Software product line engineering 2014/2015 LP2-LP2;8 (57,14%);4345
DAT166 Software product line engineering 2015/2016 LP2-LP2;6 (60,00%);7274
DAT166 Software product line engineering 2016/2017 LP2-LP2;4 (36,36%);9191
DAT166 Software product line engineering 2017/2018 LP2-LP2;4 (40,00%);11262
DAT205 Advanced computer graphics 2013/2014 LP3-LP4;11 (42,31%);3498
DAT205 Advanced computer graphics 2014/2015 LP3-LP4;3 (15,79%);5946
DAT205 Advanced computer graphics 2015/2016 LP3-LP4;6 (30,00%);8110
DAT205 Advanced computer graphics 2016/2017 LP3-LP4;13 (54,17%);10559
DAT205 Advanced computer graphics 2017/2018 LP3-LP4;10 (50,00%);12703
DAT220 Advanced software architecture 2013/2014 LP3-LP3;34 (53,13%);1477
DAT220 Advanced software architecture 2014/2015 LP3-LP3;18 (26,09%);5279
DAT220 Advanced software architecture 2015/2016 LP3-LP3;32 (55,17%);7722
DAT220 Advanced software architecture 2016/2017 LP3-LP3;25 (43,10%);9975
DAT220 Advanced software architecture 2017/2018 LP3-LP3;17 (36,96%);12031
DAT230 Requirements engineering 2013/2014 LP1-LP1;23 (31,94%);2358
DAT231 Requirements engineering 2014/2015 LP1-LP1;34 (40,48%);4203
DAT231 Requirements engineering 2015/2016 LP1-LP1;37 (45,68%);6433
DAT231 Requirements engineering 2016/2017 LP1-LP1;32 (34,78%);8453
DAT231 Requirements engineering 2017/2018 LP1-LP1;39 (40,21%);11019
DAT240 Model-driven engineering 2013/2014 LP3-LP3;26 (39,39%);1731
DAT240 Model-driven engineering 2014/2015 LP3-LP3;22 (29,33%);5371
DAT240 Model-driven engineering 2015/2016 LP3-LP3;27 (47,37%);7536
DAT240 Model-driven engineering 2016/2017 LP3-LP3;11 (44,00%);10009
DAT240 Model-driven engineering 2017/2018 LP3-LP3;7 (53,85%);12125
DAT245 Empirical software engineering 2013/2014 LP2-LP2;26 (36,62%);2574
DAT246 Empirical software engineering 2014/2015 LP2-LP2;26 (50,00%);4885
DAT246 Empirical software engineering 2015/2016 LP2-LP2;33 (45,21%);7042
DAT246 Empirical software engineering 2016/2017 LP2-LP2;22 (26,19%);9155
DAT246 Empirical software engineering 2017/2018 LP2-LP2;34 (35,79%);11228
DAT260 Model-based testing 2013/2014 LP4-LP4;12 (30,77%);3164
DAT260 Model-based testing 2014/2015 LP4-LP4;19 (41,30%);5896
DAT261 Model-based testing 2015/2016 LP4-LP4;14 (41,18%);8318
DAT261 Model-based testing 2016/2017 LP4-LP4;12 (31,58%);10485
DAT261 Model-based testing 2017/2018 LP4-LP4;9 (33,33%);12408
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA397 Agile development processes 2013/2014 LP4-LP4;33 (44,00%);3326
EDA397 Agile development processes 2014/2015 LP4-LP4;24 (29,27%);5628
EDA397 Agile development processes 2015/2016 LP4-LP4;24 (33,80%);8064
EDA397 Agile development processes 2016/2017 LP4-LP4;31 (37,80%);10417
EDA397 Agile development processes 2017/2018 LP4-LP4;19 (29,69%);12533
PPU225 Understanding users and use 2014/2015 LP4-LP4;7 (36,84%);5976
PPU225 Understanding users and use 2015/2016 LP4-LP4;12 (35,29%);8142
TDA357 Databases 2013/2014 LP2-LP2;61 (36,75%);2534
TDA357 Databases 2014/2015 LP2-LP2;30 (21,13%);4697
TDA357 Databases 2015/2016 LP2-LP2;42 (24,00%);7198
TDA357 Databases 2016/2017 LP2-LP2;50 (25,00%);9385
TDA357 Databases 2017/2018 LP2-LP2;63 (29,44%);11402
TDA361 Computer graphics 2013/2014 LP2-LP2;36 (36,36%);2866
TDA361 Computer graphics 2014/2015 LP2-LP2;23 (24,73%);4835
TDA361 Computer graphics 2015/2016 LP2-LP2;31 (38,75%);6988
TDA361 Computer graphics 2016/2017 LP2-LP2;45 (37,82%);9529
TDA362 Computer graphics 2017/2018 LP2-LP2;35 (35,00%);11782
TDA466 Methods of interaction analysis 2013/2014 LP4-LP4;11 (45,83%);3276
TDA486 Human-centred design 2013/2014 LP1-LP1;7 (26,92%);2276
TDA486 Human-centred design 2014/2015 LP1-LP1;8 (36,36%);4151
TDA486 Human-centred design 2015/2016 LP1-LP1;12 (34,29%);6355
TDA486 Human-centred design 2016/2017 LP1-LP1;7 (38,89%);8867
TDA486 Human-centred design 2016/2017 LP4-LP4;10 (45,45%);10143
TDA486 Human-centred design 2017/2018 LP4-LP4;16 (48,48%);12701
TDA492 Graphical interfaces 2013/2014 LP2-LP2;22 (40,74%);2566
TDA492 Graphical interfaces 2014/2015 LP2-LP2;35 (56,45%);4723
TDA493 Graphical interfaces 2015/2016 LP2-LP2;22 (38,60%);7244
TDA493 Graphical interfaces 2016/2017 LP2-LP2;22 (32,84%);9427
TDA493 Graphical interfaces 2017/2018 LP2-LP2;37 (39,36%);11624
TDA497 Interaction design methodology 2013/2014 LP1-LP1;19 (35,19%);2220
TDA497 Interaction design methodology 2014/2015 LP1-LP1;32 (48,48%);3921
TDA497 Interaction design methodology 2015/2016 LP1-LP1;23 (38,98%);6125
TDA497 Interaction design methodology 2016/2017 LP1-LP1;17 (27,42%);8607
TDA497 Interaction design methodology 2017/2018 LP1-LP1;40 (48,19%);10685
TDA571 Simulation engines 2013/2014 LP3-LP3;3 (23,08%);1587
TDA571 Simulation engines 2014/2015 LP3-LP3;6 (33,33%);5055
TDA572 Game engine architecture 2015/2016 LP3-LP3;6 (46,15%);7760
TDA572 Game engine architecture 2016/2017 LP3-LP3;12 (57,14%);9943
TDA572 Game engine architecture 2017/2018 LP3-LP3;7 (43,75%);12073
TDA580 Gameplay design 2013/2014 LP4-LP4;9 (22,50%);3578
TDA580 Gameplay design 2014/2015 LP4-LP4;15 (33,33%);5790
