programme;course_tag;report_id
MPIEE;BMT041;2474
MPIEE;BMT041;4783
MPIEE;BMT041;7104
MPIEE;BMT041;9031
MPIEE;BMT041;11680
MPIEE;BOM035;2652
MPIEE;BOM035;4361
MPIEE;BOM035;6930
MPIEE;BOM035;9325
MPIEE;BOM035;11356
MPIEE;BOM040;1765
MPIEE;BOM040;5401
MPIEE;BOM040;7578
MPIEE;BOM040;9637
MPIEE;BOM040;12035
MPIEE;BOM045;3332
MPIEE;BOM045;5634
MPIEE;BOM045;8068
MPIEE;BOM045;10419
MPIEE;BOM045;12535
MPIEE;BOM075;2520
MPIEE;BOM075;4299
MPIEE;BOM075;6876
MPIEE;BOM075;9281
MPIEE;BOM075;11328
MPIEE;BOM095;3548
MPIEE;BOM095;5766
MPIEE;BOM095;7948
MPIEE;BOM095;10505
MPIEE;BOM095;12649
MPIEE;BOM125;5373
MPIEE;BOM125;7538
MPIEE;BOM125;9603
MPIEE;BOM125;12189
MPIEE;BOM125;1733
MPIEE;BOM150;2194
MPIEE;BOM150;3899
MPIEE;BOM150;6107
MPIEE;BOM150;8533
MPIEE;BOM150;11075
MPIEE;BOM165;2804
MPIEE;BOM165;4491
MPIEE;BOM165;6682
MPIEE;BOM165;9095
MPIEE;BOM165;11566
MPIEE;BOM190;6561
MPIEE;BOM190;8773
MPIEE;BOM190;10789
MPIEE;BOM250;9543
MPIEE;BOM250;11428
MPIEE;TEK465;6473
MPIEE;TEK465;8481
MPIEE;TEK465;11037
MPIEE;VGE022;1984
MPIEE;VGE022;4043
MPIEE;VGE022;6535
MPIEE;VGE022;8763
MPIEE;VGE022;10781
MPIEE;VMT060;2308
MPIEE;VMT060;4179
MPIEE;VMT060;6417
MPIEE;VMT060;8441
MPIEE;VMT060;11013
MPIEE;VTM051;1958
MPIEE;VTM051;3737
MPIEE;VVT105;1413
MPIEE;VVT105;5339
MPIEE;VVT105;7614
MPIEE;VVT105;9659
MPIEE;VVT105;12227
MPIEE;ACE040;15179
MPIEE;ACE040;17107
MPIEE;ACE040;19546
MPIEE;ACE040;21731
MPIEE;ACE045;13446
MPIEE;ACE045;15546
MPIEE;ACE045;17467
MPIEE;ACE045;20040
MPIEE;ACE045;22410
MPIEE;ACE050;14115
MPIEE;ACE050;16099
MPIEE;ACE050;18111
MPIEE;ACE050;20783
MPIEE;ACE055;14619
MPIEE;ACE055;16580
MPIEE;ACE055;19111
MPIEE;ACE055;21417
MPIEE;ACE060;15183
MPIEE;ACE060;17247
MPIEE;ACE060;19552
MPIEE;ACE060;21737
MPIEE;ACE080;15191
MPIEE;ACE080;17145
MPIEE;ACE080;19254
MPIEE;ACE080;21921
MPIEE;ACE085;15229
MPIEE;ACE085;17915
MPIEE;ACE085;20158
MPIEE;ACE085;22634
MPIEE;ACE090;14121
MPIEE;ACE090;16197
MPIEE;ACE090;18047
MPIEE;ACE090;20707
MPIEE;ACE095;13432
MPIEE;ACE095;15534
MPIEE;ACE095;17719
MPIEE;ACE095;19910
MPIEE;ACE095;22468
MPIEE;ACE140;15235
MPIEE;ACE140;17523
MPIEE;ACE140;20106
MPIEE;ACE145;16419
MPIEE;ACE145;18223
MPIEE;ACE146;20993
MPIEE;ACE150;16423
MPIEE;ACE150;18261
MPIEE;ACE150;20357
MPIEE;ACE155;16431
MPIEE;ACE155;18103
MPIEE;ACE155;20775
MPIEE;ACE195;19684
MPIEE;ACE195;21841
MPIEE;ACE230;22716
MPIEE;BMT041;13805
MPIEE;BOM075;14207
MPIEE;BOM075;16456
MPIEE;BOM075;19009
MPIEE;BOM075;21469
MPIEE;BOM125;14359
MPIEE;BOM125;16592
MPIEE;BOM125;19089
MPIEE;BOM125;21337
MPIEE;BOM165;13715
MPIEE;BOM250;13637
MPIEE;TEK465;13194
MPIEE;TEK465;15412
MPIEE;TEK465;17459
MPIEE;TEK465;19744
MPIEE;TEK465;22626
MPIEE;VMT060;13178
