name;ans_freq;report_id
BMT041 Infrastructural geo engineering 2013/2014 LP2-LP2;24 (57,14%);2474
BMT041 Infrastructural geo engineering 2014/2015 LP2-LP2;10 (40,00%);4783
BMT041 Infrastructural geo engineering 2015/2016 LP2-LP2;7 (20,59%);7104
BMT041 Infrastructural geo engineering 2016/2017 LP2-LP2;6 (17,14%);9031
BMT041 Infrastructural geo engineering 2017/2018 LP2-LP2;13 (38,24%);11680
BOM035 Modelling and problem solving in civil engineering 2013/2014 LP2-LP2;20 (42,55%);2652
BOM035 Modelling and problem solving in geo- and water engineering 2014/2015 LP2-LP2;24 (43,64%);4361
BOM035 Modelling and problem solving in geo- and water engineering 2015/2016 LP2-LP2;14 (25,45%);6930
BOM035 Modelling and problem solving in geo- and water engineering 2016/2017 LP2-LP2;16 (27,12%);9325
BOM035 Modelling and problem solving in geo- and water engineering 2017/2018 LP2-LP2;19 (31,15%);11356
BOM040 Urban traffic planning 2013/2014 LP3-LP3;17 (32,69%);1765
BOM040 Urban traffic planning 2014/2015 LP3-LP3;18 (28,57%);5401
BOM040 Urban traffic planning 2015/2016 LP3-LP3;12 (26,09%);7578
BOM040 Urban traffic planning 2016/2017 LP3-LP3;23 (47,92%);9637
BOM040 Urban traffic planning 2017/2018 LP3-LP3;15 (35,71%);12035
BOM045 Geotechnics 2013/2014 LP4-LP4;48 (49,48%);3332
BOM045 Geotechnics 2014/2015 LP4-LP4;32 (29,91%);5634
BOM045 Geotechnics 2015/2016 LP4-LP4;22 (30,56%);8068
BOM045 Geotechnics 2016/2017 LP4-LP4;21 (25,61%);10419
BOM045 Geotechnics 2017/2018 LP4-LP4;14 (24,56%);12535
BOM075 Drinking water engineering 2013/2014 LP2-LP2;27 (48,21%);2520
BOM075 Drinking water engineering 2014/2015 LP2-LP2;32 (50,79%);4299
BOM075 Drinking water engineering 2015/2016 LP2-LP2;22 (36,67%);6876
BOM075 Drinking water engineering 2016/2017 LP2-LP2;18 (28,13%);9281
BOM075 Drinking water engineering 2017/2018 LP2-LP2;18 (31,58%);11328
BOM095 Wastewater engineering 2013/2014 LP4-LP4;21 (43,75%);3548
BOM095 Wastewater engineering 2014/2015 LP4-LP4;16 (39,02%);5766
BOM095 Wastewater engineering 2015/2016 LP4-LP4;16 (43,24%);7948
BOM095 Wastewater engineering 2016/2017 LP4-LP4;14 (43,75%);10505
BOM095 Wastewater engineering 2017/2018 LP4-LP4;3 (10,71%);12649
BOM125 Risk assessment and decision support 2014/2015 LP3-LP3;13 (37,14%);5373
BOM125 Risk assessment and decision support 2015/2016 LP3-LP3;5 (19,23%);7538
BOM125 Risk assessment and decision support 2016/2017 LP3-LP3;21 (53,85%);9603
BOM125 Risk assessment and decision support 2017/2018 LP3-LP3;14 (30,43%);12189
BOM125 Risk assessment and decision support in engineering 2013/2014 LP3-LP3;13 (41,94%);1733
BOM150 Water resources and environment 2013/2014 LP1-LP1;33 (45,83%);2194
BOM150 Water resources and environment 2014/2015 LP1-LP1;29 (51,79%);3899
BOM150 Water resources and environment 2015/2016 LP1-LP1;29 (44,62%);6107
BOM150 Water resources and environment 2016/2017 LP1-LP1;31 (43,66%);8533
BOM150 Water resources and environment 2017/2018 LP1-LP1;26 (44,83%);11075
BOM165 Urban metabolism 2013/2014 LP2-LP2;13 (37,14%);2804
BOM165 Urban metabolism 2014/2015 LP2-LP2;17 (36,96%);4491
BOM165 Urban metabolism 2015/2016 LP2-LP2;21 (36,84%);6682
BOM165 Urban metabolism 2016/2017 LP2-LP2;24 (44,44%);9095
BOM165 Urban metabolism 2017/2018 LP2-LP2;17 (44,74%);11566
BOM190 Water contamination and remediation 2015/2016 LP1-LP1;14 (56,00%);6561
BOM190 Water contamination and remediation 2016/2017 LP1-LP1;3 (21,43%);8773
BOM190 Water contamination and remediation 2017/2018 LP1-LP1;11 (50,00%);10789
BOM250 Life cycle engineering 2016/2017 LP2-LP2;10 (45,45%);9543
BOM250 Life cycle engineering 2017/2018 LP2-LP2;17 (47,22%);11428
TEK465 Sustainable transportation 2015/2016 LP1-LP1;41 (44,09%);6473
TEK465 Sustainable transportation 2016/2017 LP1-LP1;36 (45,57%);8481
TEK465 Sustainable transportation 2017/2018 LP1-LP1;46 (51,11%);11037
VGE022 Engineering geology 2013/2014 LP1-LP1;22 (44,00%);1984
VGE022 Engineering geology 2014/2015 LP1-LP1;30 (50,85%);4043
VGE022 Engineering geology 2015/2016 LP1-LP1;22 (37,93%);6535
VGE022 Engineering geology 2016/2017 LP1-LP1;26 (45,61%);8763
VGE022 Engineering geology 2017/2018 LP1-LP1;20 (36,36%);10781
VMT060 Road engineering 2013/2014 LP1-LP1;24 (43,64%);2308
VMT060 Road engineering 2014/2015 LP1-LP1;16 (50,00%);4179
VMT060 Road engineering 2015/2016 LP1-LP1;13 (28,26%);6417
VMT060 Road engineering 2016/2017 LP1-LP1;18 (40,00%);8441
VMT060 Road engineering 2017/2018 LP1-LP1;15 (40,54%);11013
VTM051 Environmental analysis of water 2013/2014 LP1-LP1;12 (41,38%);1958
VTM051 Environmental analysis of water 2014/2015 LP1-LP1;10 (47,62%);3737
VVT105 Geographical information systems 2013/2014 LP3-LP3;16 (48,48%);1413
VVT105 Geographical information systems 2014/2015 LP3-LP3;19 (41,30%);5339
VVT105 Geographical information systems 2015/2016 LP3-LP3;15 (35,71%);7614
VVT105 Geographical information systems 2016/2017 LP3-LP3;23 (46,94%);9659
VVT105 Geographical information systems 2017/2018 LP3-LP3;10 (21,28%);12227
ACE040 Advanced wastewater engineering 2018/2019 LP4-LP4;6 (40,00%);15179
ACE040 Advanced wastewater engineering 2019/2020 LP4-LP4;16 (53,33%);17107
ACE040 Advanced wastewater engineering 2020/2021 LP4-LP4;8 (50,00%);19546
ACE040 Advanced wastewater engineering 2021/2022 LP4-LP4;11 (35,48%);21731
ACE045 Geological and geotechnical site characterisation 2018/2019 LP1-LP1;19 (46,34%);13446
ACE045 Geological and geotechnical site characterisation 2019/2020 LP1-LP1;32 (59,26%);15546
ACE045 Geological and geotechnical site characterisation 2020/2021 LP1-LP1;26 (38,24%);17467
ACE045 Geological and geotechnical site characterisation 2021/2022 LP1-LP1;21 (37,50%);20040
ACE045 Geological and geotechnical site characterisation 2022/2023 LP1-LP1;37 (48,05%);22410
ACE050 Transportation engineering and traffic analysis 2018/2019 LP2-LP2;19 (39,58%);14115
ACE050 Transportation engineering and traffic analysis 2019/2020 LP2-LP2;26 (39,39%);16099
ACE050 Transportation engineering and traffic analysis 2020/2021 LP2-LP2;37 (50,00%);18111
ACE050 Transportation engineering and traffic analysis 2021/2022 LP2-LP2;23 (40,35%);20783
ACE055 Advanced transportation engineering 2018/2019 LP3-LP3;10 (55,56%);14619
ACE055 Advanced transportation engineering 2019/2020 LP3-LP3;7 (31,82%);16580
ACE055 Advanced transportation engineering 2020/2021 LP3-LP3;12 (33,33%);19111
ACE055 Advanced transportation engineering 2021/2022 LP3-LP3;11 (40,74%);21417
ACE060 Deep foundations 2018/2019 LP4-LP4;21 (35,59%);15183
ACE060 Deep foundations 2019/2020 LP4-LP4;20 (24,10%);17247
ACE060 Deep foundations 2020/2021 LP4-LP4;18 (22,78%);19552
ACE060 Deep foundations 2021/2022 LP4-LP4;14 (21,88%);21737
ACE080 Hydrogeology 2018/2019 LP4-LP4;12 (36,36%);15191
ACE080 Hydrogeology 2019/2020 LP4-LP4;14 (37,84%);17145
ACE080 Hydrogeology 2020/2021 LP4-LP4;14 (26,92%);19254
ACE080 Hydrogeology 2021/2022 LP4-LP4;15 (44,12%);21921
ACE085 Water systems and modelling 2019/2020 LP1-LP1;7 (41,18%);15229
ACE085 Water systems and modelling 2020/2021 LP1-LP1;9 (28,13%);17915
ACE085 Water systems and modelling 2021/2022 LP1-LP1;13 (46,43%);20158
ACE085 Water systems and modelling 2022/2023 LP1-LP1;17 (53,13%);22634
ACE090 Sustainable urban water engineering 2018/2019 LP2-LP2;21 (39,62%);14121
ACE090 Sustainable urban water engineering 2019/2020 LP2-LP2;21 (38,89%);16197
ACE090 Sustainable urban water engineering 2020/2021 LP2-LP2;32 (44,44%);18047
ACE090 Sustainable urban water engineering 2021/2022 LP2-LP2;28 (46,67%);20707
ACE095 Infrastructure and urban systems 2018/2019 LP1-LP1;20 (40,00%);13432
ACE095 Infrastructure and urban systems 2019/2020 LP1-LP1;32 (46,38%);15534
ACE095 Infrastructure and urban systems 2020/2021 LP1-LP1;32 (41,56%);17719
ACE095 Infrastructure and urban systems 2021/2022 LP1-LP1;36 (50,00%);19910
ACE095 Infrastructure and urban systems 2022/2023 LP1-LP1;37 (42,53%);22468
ACE140 Rock mechanics 2019/2020 LP1-LP1;6 (30,00%);15235
