name;ans_freq;report_id
CIU205 Lärande och ledarskap i praktiken 1 2013/2014 LP2-LP2;8 (88,89%);2784
CIU206 Lärande och ledarskap i praktiken 1 2014/2015 LP2-LP2;8 (66,67%);4909
CIU207 Lärande och ledarskap i praktiken 1 2015/2016 LP2-LP2;11 (57,89%);7250
CIU207 Lärande och ledarskap i praktiken 1 2016/2017 LP2-LP2;13 (100,00%);9431
CIU207 Lärande och ledarskap i praktiken 1 2017/2018 LP2-LP2;18 (94,74%);11482
CIU211 Lärande och ledarskap i praktiken 2 2014/2015 LP1-LP1;7 (63,64%);4207
CIU212 Lärande och ledarskap i praktiken 2 2015/2016 LP1-LP1;8 (72,73%);6583
CIU212 Lärande och ledarskap i praktiken 2 2016/2017 LP1-LP1;13 (86,67%);8787
CIU212 Lärande och ledarskap i praktiken 2 2017/2018 LP1-LP1;10 (76,92%);10845
CIU215 Naturvetenskapligt och tekniskt lärande 1 2013/2014 LP3-LP3;5 (55,56%);1481
CIU215 Naturvetenskapligt och tekniskt lärande 1 2014/2015 LP3-LP3;9 (81,82%);5283
CIU215 Naturvetenskapligt och tekniskt lärande 1 2015/2016 LP3-LP3;9 (50,00%);7726
CIU215 Naturvetenskapligt och tekniskt lärande 1 2016/2017 LP3-LP3;11 (78,57%);9979
CIU216 Naturvetenskapligt och tekniskt lärande 1 2017/2018 LP3-LP3;18 (90,00%);12315
CIU220 Utbildningens uppgifter och ramar 2013/2014 LP1-LP1;7 (63,64%);2000
CIU220 Utbildningens uppgifter och ramar 2014/2015 LP1-LP1;7 (58,33%);4055
CIU220 Utbildningens uppgifter och ramar 2015/2016 LP1-LP1;13 (65,00%);6545
CIU220 Utbildningens uppgifter och ramar 2016/2017 LP1-LP1;7 (50,00%);8823
CIU220 Utbildningens uppgifter och ramar 2017/2018 LP1-LP1;17 (85,00%);10871
CIU225 Leda individ och grupp 2013/2014 LP2-LP2;11 (78,57%);2554
CIU225 Leda individ och grupp 2014/2015 LP2-LP2;8 (53,33%);4713
CIU225 Leda individ och grupp 2015/2016 LP2-LP2;9 (40,91%);7210
CIU226 Leda individ och grupp 2016/2017 LP2-LP2;13 (72,22%);9539
CIU226 Leda individ och grupp 2017/2018 LP2-LP2;22 (78,57%);11434
CIU255 Naturvetenskapligt och tekniskt lärande 2 2013/2014 LP1-LP1;3 (75,00%);2224
CIU255 Naturvetenskapligt och tekniskt lärande 2 2014/2015 LP1-LP1;6 (54,55%);3925
CIU255 Naturvetenskapligt och tekniskt lärande 2 2015/2016 LP1-LP1;6 (54,55%);6129
CIU255 Naturvetenskapligt och tekniskt lärande 2 2016/2017 LP1-LP1;12 (80,00%);8547
CIU256 Naturvetenskapligt och tekniskt lärande 2 2017/2018 LP1-LP1;9 (69,23%);11145
CIU260 Utvecklingsprojekt i praktiken 2013/2014 LP4-LP4;8 (88,89%);3642
CIU260 Utvecklingsprojekt i praktiken 2014/2015 LP4-LP4;9 (69,23%);5712
CIU260 Utvecklingsprojekt i praktiken 2015/2016 LP4-LP4;11 (61,11%);7900
CIU260 Utvecklingsprojekt i praktiken 2016/2017 LP4-LP4;9 (64,29%);10501
CIU260 Utvecklingsprojekt i praktiken 2017/2018 LP4-LP4;15 (78,95%);12645
MVE365 Problemlösning och lärande 2013/2014 LP3-LP3;5 (55,56%);1743
MVE365 Problemlösning och lärande 2014/2015 LP3-LP3;10 (76,92%);5383
MVE365 Problemlösning och lärande 2015/2016 LP3-LP3;8 (40,00%);7546
MVE365 Problemlösning och lärande 2016/2017 LP3-LP3;11 (68,75%);9611
MVE365 Problemlösning och lärande 2017/2018 LP3-LP3;18 (94,74%);12041
