name;ans_freq;report_id
BOM015 Project management 2013/2014 LP1-LP1;73 (48,99%);2134
BOM015 Project management 2014/2015 LP1-LP1;53 (44,92%);3821
BOM016 Project management 2015/2016 LP1-LP1;59 (49,58%);6571
BOM017 Project management 2016/2017 LP1-LP1;59 (44,36%);8869
BOM017 Project management 2017/2018 LP1-LP1;55 (45,83%);10923
ENM015 Technical change and the environment 2015/2016 LP2-LP2;44 (47,31%);7162
ENM015 Technical change and the environment 2016/2017 LP2-LP2;42 (48,84%);9159
ENM015 Technical change and the environment 2017/2018 LP2-LP2;34 (34,34%);11232
IEK312 Quality management 2013/2014 LP3-LP3;36 (37,89%);1741
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
KVM013 Industrial energy systems 2015/2016 LP2-LP2;41 (47,67%);7048
KVM013 Industrial energy systems 2016/2017 LP2-LP2;55 (53,92%);9001
MTF240 Internal combustion engines 2014/2015 LP1-LP1;40 (66,67%);3947
MTF240 Internal combustion engines 2015/2016 LP1-LP1;38 (60,32%);6155
MTF240 Internal combustion engines 2016/2017 LP1-LP1;45 (56,25%);8549
MTF240 Internal combustion engines 2017/2018 LP1-LP1;33 (55,93%);11081
SJO232 Intercultural communication 2013/2014 LP2-LP2;16 (53,33%);3018
SJO237 Human factors 2013/2014 LP1-LP1;19 (55,88%);2388
SJO291 Marine risks and insurance 2013/2014 LP3-LP3;26 (49,06%);1853
SJO292 Marine risks and insurance 2014/2015 LP3-LP3;21 (45,65%);5431
SJO292 Marine risks and insurance 2015/2016 LP3-LP3;14 (51,85%);7308
SJO293 Marine risks and insurance 2016/2017 LP3-LP3;15 (45,45%);9617
SJO294 Marine risks and insurance 2017/2018 LP3-LP3;13 (40,63%);12303
SJO295 Shipbroker 2014/2015 LP3-LP3;18 (66,67%);5259
SJO295 Shipbroking 2015/2016 LP3-LP3;17 (50,00%);7702
SJO295 Shipbroking 2016/2017 LP3-LP3;7 (35,00%);9927
SJO296 Shipbroking 2017/2018 LP3-LP3;14 (60,87%);12285
SJO367 Research methods 2013/2014 LP2-LP2;16 (47,06%);3016
SJO367 Research methods 2014/2015 LP1-LP1;10 (38,46%);4117
SJO368 Research methods 2015/2016 LP1-LP1;8 (27,59%);6573
SJO369 Research methods 2016/2017 LP1-LP1;9 (29,03%);8909
SJO369 Research methods 2017/2018 LP1-LP1;9 (34,62%);10843
SJO740 Marine propulsion systems 2013/2014 LP3-LP3;28 (60,87%);1509
SJO740 Marine propulsion systems 2014/2015 LP3-LP3;21 (47,73%);5307
SJO740 Marine propulsion systems 2015/2016 LP3-LP3;35 (62,50%);7692
SJO740 Marine propulsion systems 2016/2017 LP3-LP3;13 (59,09%);9897
SJO741 Marine propulsion systems 2017/2018 LP3-LP3;13 (48,15%);12307
SJO790 Engine room ergonomics 2013/2014 LP4-LP4;11 (50,00%);3460
SJO790 Engine room ergonomics 2015/2016 LP4-LP4;4 (28,57%);7822
SJO810 Maritime insurance and transport law 2013/2014 LP3-LP3;7 (50,00%);1847
SJO810 Maritime insurance and transport law 2015/2016 LP3-LP3;4 (33,33%);7528
SJO810 Maritime insurance and transport law 2016/2017 LP3-LP3;10 (58,82%);10005
SJO810 Maritime insurance and transport law 2017/2018 LP3-LP3;6 (60,00%);12121
