programme;course_tag;report_id
MPMCN;FKA196;4145
MPMCN;FKA196;6349
MPMCN;FKA196;8863
MPMCN;KAM021;1555
MPMCN;KAM021;5041
MPMCN;KAM021;7494
MPMCN;KAM021;9855
MPMCN;KAM021;11957
MPMCN;KBT025;2950
MPMCN;KBT025;4611
MPMCN;KBT026;7242
MPMCN;KBT026;9425
MPMCN;KBT026;11424
MPMCN;KBT030;3576
MPMCN;KBT030;5788
MPMCN;KBT030;10349
MPMCN;KBT030;12483
MPMCN;KBT036;2654
MPMCN;KBT036;4363
MPMCN;KBT036;6932
MPMCN;KBT036;9327
MPMCN;KBT036;11358
MPMCN;KBT095;1625
MPMCN;KBT095;5125
MPMCN;KBT095;7324
MPMCN;KBT095;9699
MPMCN;KBT095;12257
MPMCN;KBT100;1978
MPMCN;KBT100;4039
MPMCN;KBT101;6591
MPMCN;KBT101;8793
MPMCN;KBT101;12753
MPMCN;KBT120;10973
MPMCN;KBT160;7630
MPMCN;KBT160;12235
MPMCN;KBT245;5425
MPMCN;KBT245;7568
MPMCN;KBT245;9631
MPMCN;KBT245;11005
MPMCN;KFK150;12441
MPMCN;KKE013;1505
MPMCN;KKE013;5303
MPMCN;KKE013;7688
MPMCN;KKE013;9893
MPMCN;KKE013;12147
MPMCN;KOK032;1888
MPMCN;KOK032;4087
MPMCN;KOK032;6445
MPMCN;KOK032;8457
MPMCN;KOK032;10959
MPMCN;KOO092;2172
MPMCN;KOO092;3879
MPMCN;KOO092;6523
MPMCN;KOO092;8755
MPMCN;KOO093;11109
MPMCN;KPO020;3212
MPMCN;KPO020;5828
MPMCN;KPO021;8326
MPMCN;KPO021;10473
MPMCN;KPO021;12579
MPMCN;KPO040;1465
MPMCN;KPO040;5269
MPMCN;KPO040;7712
MPMCN;KPO040;9929
MPMCN;KPO040;12007
MPMCN;KPO045;1789
MPMCN;KPO045;5215
MPMCN;KPO045;7400
MPMCN;KPO045;9783
MPMCN;KPO045;11905
MPMCN;KTK011;3156
MPMCN;KTK011;5890
MPMCN;KTK012;8316
MPMCN;KTK012;10467
MPMCN;KTK012;12575
MPMCN;KTK041;2714
MPMCN;KTK041;4375
MPMCN;KTK042;7266
MPMCN;KTK042;9139
MPMCN;KTK042;11218
MPMCN;KTK095;2282
MPMCN;KTK095;4159
MPMCN;KTK095;6361
MPMCN;KTK095;8397
MPMCN;KTK095;10953
MPMCN;MCC026;4647
MPMCN;MCC026;6818
MPMCN;MCC026;9475
MPMCN;MMK082;2576
MPMCN;MMK082;4731
MPMCN;MMK082;6628
MPMCN;MMK082;9057
MPMCN;MMK082;11706
MPMCN;MTT081;2790
MPMCN;MTT081;4479
MPMCN;MTT081;6672
MPMCN;MTT081;9087
MPMCN;MTT081;11730
MPMCN;TIF050;11324
MPMCN;TIF110;1447
MPMCN;TIF110;4995
MPMCN;TIF110;7464
MPMCN;TIF110;9833
MPMCN;TIF110;11941
MPMCN;TIF265;12145
MPMCN;KAM021;14481
MPMCN;KBT026;13635
MPMCN;KBT026;15889
MPMCN;KBT026;18175
MPMCN;KBT026;20875
MPMCN;KBT030;14753
MPMCN;KBT036;13583
MPMCN;KBT036;16460
MPMCN;KBT036;19027
MPMCN;KBT036;21087
MPMCN;KBT095;14415
MPMCN;KBT095;16478
MPMCN;KBT095;18799
MPMCN;KBT095;21431
MPMCN;KBT120;13146
MPMCN;KBT120;15380
MPMCN;KBT120;17787
MPMCN;KBT120;20002
MPMCN;KBT121;22684
MPMCN;KBT160;14451
MPMCN;KBT168;16061
MPMCN;KBT192;15662
MPMCN;KBT192;17749
MPMCN;KBT192;19960
MPMCN;KBT192;22436
MPMCN;KBT196;14299
MPMCN;KBT196;16522
MPMCN;KBT221;15584
MPMCN;KBT245;13166
MPMCN;KBT245;15390
MPMCN;KBT245;17471
MPMCN;KBT245;20044
MPMCN;KBT245;22412
MPMCN;KBT315;16397
MPMCN;KBT315;18075
MPMCN;KBT315;20731
MPMCN;KFK150;15153
MPMCN;KFK150;16991
MPMCN;KFK150;19394
MPMCN;KFK150;21753
MPMCN;KKE013;14327
MPMCN;KKE013;16760
MPMCN;KKE013;19430
MPMCN;KOK032;13136
MPMCN;KOK032;15376
MPMCN;KOK032;19860
MPMCN;KOK032;22316
MPMCN;KOO093;13332
MPMCN;KOO093;15498
MPMCN;KOO093;17703
MPMCN;KOO093;19894
MPMCN;KOO093;22390
MPMCN;KPO021;14835
MPMCN;KPO021;17045
MPMCN;KPO021;19370
MPMCN;KPO021;21695
MPMCN;KPO040;14253
MPMCN;KPO041;16852
MPMCN;KPO041;18741
MPMCN;KPO041;21303
MPMCN;KPO045;14177
MPMCN;KPO045;16069
MPMCN;KPO045;18623
MPMCN;KPO045;20793
MPMCN;KTK012;14831
MPMCN;KTK012;17323
MPMCN;KTK012;19386
MPMCN;KTK012;21723
MPMCN;KTK042;14071
MPMCN;KTK042;16343
MPMCN;KTK042;18491
MPMCN;KTK042;20681
MPMCN;KTK095;13344
MPMCN;KTK095;15632
MPMCN;KTK095;17763
MPMCN;KTK096;20234
MPMCN;KTK096;22504
MPMCN;MTT081;13853
MPMCN;MTT081;15857
MPMCN;MTT081;18553
MPMCN;MTT081;20383
MPMCN;TIF050;13897
MPMCN;TIF050;16231
MPMCN;TIF050;18427
MPMCN;TIF050;20609
