name;ans_freq;report_id
FKA196 Fundamentals of micro- and nanotechnology 2014/2015 LP1-LP1;25 (69,44%);4145
FKA196 Fundamentals of micro- and nanotechnology 2015/2016 LP1-LP1;35 (56,45%);6349
FKA196 Fundamentals of micro- and nanotechnology 2016/2017 LP1-LP1;28 (54,90%);8863
KAM021 Advanced analytical chemistry 2013/2014 LP3-LP3;17 (53,13%);1555
KAM021 Advanced analytical chemistry 2014/2015 LP3-LP3;22 (53,66%);5041
KAM021 Advanced analytical chemistry 2015/2016 LP3-LP3;22 (53,66%);7494
KAM021 Advanced analytical chemistry 2016/2017 LP3-LP3;33 (62,26%);9855
KAM021 Advanced analytical chemistry 2017/2018 LP3-LP3;32 (57,14%);11957
KBT025 Polymer chemistry and physics 2013/2014 LP2-LP2;16 (44,44%);2950
KBT025 Polymer chemistry and physics 2014/2015 LP2-LP2;10 (31,25%);4611
KBT026 Polymer chemistry and physics 2015/2016 LP2-LP2;12 (36,36%);7242
KBT026 Polymer chemistry and physics 2016/2017 LP2-LP2;11 (32,35%);9425
KBT026 Polymer chemistry and physics 2017/2018 LP2-LP2;23 (46,94%);11424
KBT030 Applied coordination chemistry 2013/2014 LP4-LP4;10 (90,91%);3576
KBT030 Applied coordination chemistry 2014/2015 LP4-LP4;3 (50,00%);5788
KBT030 Applied coordination chemistry 2016/2017 LP4-LP4;6 (66,67%);10349
KBT030 Applied coordination chemistry 2017/2018 LP4-LP4;8 (100,00%);12483
KBT036 Advanced organic chemistry 2013/2014 LP2-LP2;8 (72,73%);2654
KBT036 Advanced organic chemistry 2014/2015 LP2-LP2;6 (50,00%);4363
KBT036 Advanced organic chemistry 2015/2016 LP2-LP2;14 (66,67%);6932
KBT036 Advanced organic chemistry 2016/2017 LP2-LP2;6 (42,86%);9327
KBT036 Advanced organic chemistry 2017/2018 LP2-LP2;13 (61,90%);11358
KBT095 Corrosion 2013/2014 LP3-LP3;27 (51,92%);1625
KBT095 Corrosion 2014/2015 LP3-LP3;30 (68,18%);5125
KBT095 Corrosion 2015/2016 LP3-LP3;15 (50,00%);7324
KBT095 Corrosion 2016/2017 LP3-LP3;9 (36,00%);9699
KBT095 Corrosion 2017/2018 LP3-LP3;20 (47,62%);12257
KBT100 Solid state chemistry 2013/2014 LP1-LP1;10 (41,67%);1978
KBT100 Solid state chemistry 2014/2015 LP1-LP1;6 (37,50%);4039
KBT101 Solid state chemistry 2015/2016 LP1-LP1;6 (75,00%);6591
KBT101 Solid state chemistry 2016/2017 LP1-LP1;4 (66,67%);8793
KBT101 Solid state chemistry 2017/2018 LP4-LP4;4 (36,36%);12753
KBT120 Design and analysis of experiments 2017/2018 LP1-LP1;26 (34,21%);10973
KBT160 Advanced organic synthesis 2015/2016 LP3-LP3;3 (50,00%);7630
KBT160 Advanced organic synthesis 2017/2018 LP3-LP3;6 (85,71%);12235
KBT245 Green chemistry 2014/2015 LP3-LP3;3 (30,00%);5425
KBT245 Green chemistry 2015/2016 LP3-LP3;12 (63,16%);7568
KBT245 Green chemistry 2016/2017 LP3-LP3;7 (50,00%);9631
KBT245 Green chemistry 2017/2018 LP1-LP1;10 (52,63%);11005
KFK150 Applied optical spectroscopy 2017/2018 LP4-LP4;9 (75,00%);12441
KKE013 Ceramics engineering 2013/2014 LP3-LP3;9 (47,37%);1505
KKE013 Ceramics engineering 2014/2015 LP3-LP3;7 (38,89%);5303
KKE013 Ceramics engineering 2015/2016 LP3-LP3;11 (61,11%);7688
KKE013 Ceramics engineering 2016/2017 LP3-LP3;9 (47,37%);9893
KKE013 Ceramics engineering 2017/2018 LP3-LP3;10 (37,04%);12147
KOK032 Applied organic molecular spectroscopy 2013/2014 LP1-LP1;4 (30,77%);1888
KOK032 Applied organic molecular spectroscopy 2014/2015 LP1-LP1;13 (59,09%);4087
KOK032 Applied organic molecular spectroscopy 2015/2016 LP1-LP1;10 (55,56%);6445
KOK032 Applied organic molecular spectroscopy 2016/2017 LP1-LP1;16 (64,00%);8457
KOK032 Applied organic molecular spectroscopy 2017/2018 LP1-LP1;11 (68,75%);10959
KOO092 The synthesis, properties and structures of solid state materials 2013/2014 LP1-LP1;19 (47,50%);2172
KOO092 The synthesis, properties and structures of solid state materials 2014/2015 LP1-LP1;16 (51,61%);3879
KOO092 The synthesis, properties and structures of solid state materials 2015/2016 LP1-LP1;31 (70,45%);6523
KOO092 The synthesis, properties and structures of solid state materials 2016/2017 LP1-LP1;17 (56,67%);8755
KOO093 The synthesis, properties and structures of solid state materials 2017/2018 LP1-LP1;25 (51,02%);11109
KPO020 Polymer technology 2013/2014 LP4-LP4;19 (50,00%);3212
KPO020 Polymer technology 2014/2015 LP4-LP4;17 (50,00%);5828
KPO021 Polymer technology 2015/2016 LP4-LP4;21 (50,00%);8326
KPO021 Polymer technology 2016/2017 LP4-LP4;9 (32,14%);10473
KPO021 Polymer technology 2017/2018 LP4-LP4;12 (46,15%);12579
KPO040 Surface engineering 2013/2014 LP3-LP3;23 (56,10%);1465
KPO040 Surface engineering 2014/2015 LP3-LP3;22 (57,89%);5269
KPO040 Surface engineering 2015/2016 LP3-LP3;21 (47,73%);7712
KPO040 Surface engineering 2016/2017 LP3-LP3;24 (51,06%);9929
KPO040 Surface engineering 2017/2018 LP3-LP3;25 (62,50%);12007
KPO045 Biological materials 2013/2014 LP3-LP3;6 (54,55%);1789
KPO045 Biological materials 2014/2015 LP3-LP3;9 (56,25%);5215
KPO045 Biological materials 2015/2016 LP3-LP3;9 (45,00%);7400
KPO045 Biological materials 2016/2017 LP3-LP3;9 (50,00%);9783
KPO045 Biological materials 2017/2018 LP3-LP3;14 (42,42%);11905
KTK011 Catalysis 2013/2014 LP4-LP4;19 (54,29%);3156
KTK011 Catalysis 2014/2015 LP4-LP4;15 (48,39%);5890
KTK012 Catalysis 2015/2016 LP4-LP4;20 (58,82%);8316
KTK012 Catalysis 2016/2017 LP4-LP4;12 (40,00%);10467
KTK012 Catalysis 2017/2018 LP4-LP4;19 (51,35%);12575
KTK041 Nanomaterials chemistry 2013/2014 LP2-LP2;23 (45,10%);2714
KTK041 Nanomaterials chemistry 2014/2015 LP2-LP2;23 (51,11%);4375
KTK042 Nanomaterials chemistry 2015/2016 LP2-LP2;25 (46,30%);7266
KTK042 Nanomaterials chemistry 2016/2017 LP2-LP2;21 (41,18%);9139
KTK042 Nanomaterials chemistry 2017/2018 LP2-LP2;23 (46,00%);11218
KTK095 Surface chemistry 2013/2014 LP1-LP1;27 (56,25%);2282
KTK095 Surface chemistry 2014/2015 LP1-LP1;23 (48,94%);4159
KTK095 Surface chemistry 2015/2016 LP1-LP1;30 (65,22%);6361
KTK095 Surface chemistry 2016/2017 LP1-LP1;22 (66,67%);8397
KTK095 Surface chemistry 2017/2018 LP1-LP1;29 (50,88%);10953
MCC026 Nanoscience 2014/2015 LP2-LP2;6 (54,55%);4647
MCC026 Nanoscience 2015/2016 LP2-LP2;6 (46,15%);6818
MCC026 Nanoscience 2016/2017 LP2-LP2;3 (50,00%);9475
MMK082 Materials characterisation and failure analysis 2013/2014 LP2-LP2;21 (60,00%);2576
MMK082 Materials characterisation and failure analysis 2014/2015 LP2-LP2;18 (52,94%);4731
MMK082 Materials characterisation and failure analysis 2015/2016 LP2-LP2;15 (38,46%);6628
MMK082 Materials characterisation and failure analysis 2016/2017 LP2-LP2;13 (35,14%);9057
MMK082 Materials characterisation and failure analysis 2017/2018 LP2-LP2;27 (46,55%);11706
MTT081 Tailored materials and commercialisation aspects 2013/2014 LP2-LP2;14 (46,67%);2790
MTT081 Tailored materials and commercialisation aspects 2014/2015 LP2-LP2;13 (40,63%);4479
MTT081 Tailored materials and commercialisation aspects 2015/2016 LP2-LP2;20 (66,67%);6672
MTT081 Tailored materials and commercialisation aspects 2016/2017 LP2-LP2;20 (48,78%);9087
MTT081 Tailored materials and commercialisation aspects 2017/2018 LP2-LP2;17 (44,74%);11730
TIF050 Materials in medicine 2017/2018 LP2-LP2;18 (45,00%);11324
TIF110 Advanced analysis methods 2013/2014 LP3-LP3;7 (53,85%);1447
TIF110 Advanced analysis methods 2014/2015 LP3-LP3;8 (61,54%);4995
TIF110 Advanced analysis methods 2015/2016 LP3-LP3;7 (58,33%);7464
TIF110 Advanced analysis methods 2016/2017 LP3-LP3;10 (71,43%);9833
TIF110 Advanced analysis methods 2017/2018 LP3-LP3;8 (57,14%);11941
TIF265 Nuclear materials 2017/2018 LP3-LP3;3 (42,86%);12145
KAM021 Advanced analytical chemistry 2018/2019 LP3-LP3;21 (44,68%);14481
KBT026 Polymer chemistry and physics 2018/2019 LP2-LP2;16 (45,71%);13635
KBT026 Polymer chemistry and physics 2019/2020 LP2-LP2;6 (21,43%);15889
KBT026 Polymer chemistry and physics 2020/2021 LP2-LP2;17 (45,95%);18175
KBT026 Polymer chemistry and physics 2021/2022 LP2-LP2;19 (38,78%);20875
KBT030 Applied coordination chemistry 2018/2019 LP4-LP4;8 (53,33%);14753
KBT036 Advanced organic chemistry 2018/2019 LP2-LP2;9 (56,25%);13583
KBT036 Advanced organic chemistry 2019/2020 LP3-LP3;11 (64,71%);16460
KBT036 Advanced organic chemistry 2020/2021 LP3-LP3;11 (33,33%);19027
KBT036 Advanced organic chemistry 2021/2022 LP3-LP3;12 (42,86%);21087
KBT095 Corrosion 2018/2019 LP3-LP3;7 (38,89%);14415
KBT095 Corrosion 2019/2020 LP3-LP3;13 (46,43%);16478
KBT095 Corrosion 2020/2021 LP3-LP3;14 (58,33%);18799
KBT095 Corrosion 2021/2022 LP3-LP3;13 (36,11%);21431
KBT120 Design and analysis of experiments 2018/2019 LP1-LP1;69 (55,65%);13146
KBT120 Design and analysis of experiments 2019/2020 LP1-LP1;62 (52,99%);15380
KBT120 Design and analysis of experiments 2020/2021 LP1-LP1;51 (46,79%);17787
KBT120 Design and analysis of experiments 2021/2022 LP1-LP1;56 (44,44%);20002
KBT121 Design and analysis of experiments 2022/2023 LP1-LP1;32 (30,77%);22684
KBT160 Advanced organic synthesis 2018/2019 LP3-LP3;7 (77,78%);14451
KBT168 Nuclear chemistry 2 2019/2020 LP2-LP2;6 (85,71%);16061
KBT192 Nuclear chemistry 1 2019/2020 LP1-LP1;11 (84,62%);15662
KBT192 Nuclear chemistry 1 2020/2021 LP1-LP1;3 (33,33%);17749
KBT192 Nuclear chemistry 1 2021/2022 LP1-LP1;7 (63,64%);19960
KBT192 Nuclear chemistry 2022/2023 LP1-LP1;6 (60,00%);22436
KBT196 Solvent extraction 2018/2019 LP3-LP3;3 (33,33%);14299
KBT196 Solvent extraction 2019/2020 LP3-LP3;3 (42,86%);16522
KBT221 Radiopharmaceutical chemistry 2019/2020 LP1-LP1;8 (72,73%);15584
KBT245 Green chemistry 2018/2019 LP1-LP1;15 (45,45%);13166
KBT245 Green chemistry 2019/2020 LP1-LP1;7 (30,43%);15390
KBT245 Green chemistry 2020/2021 LP1-LP1;11 (52,38%);17471
KBT245 Green chemistry 2021/2022 LP1-LP1;22 (59,46%);20044
KBT245 Green chemistry 2022/2023 LP1-LP1;22 (66,67%);22412
KBT315 Advanced analytical chemistry 2019/2020 LP2-LP2;6 (31,58%);16397
KBT315 Advanced analytical chemistry 2020/2021 LP2-LP2;14 (45,16%);18075
KBT315 Advanced analytical chemistry 2021/2022 LP2-LP2;15 (35,71%);20731
KFK150 Applied optical spectroscopy 2018/2019 LP4-LP4;8 (57,14%);15153
KFK150 Applied optical spectroscopy 2019/2020 LP4-LP4;14 (77,78%);16991
KFK150 Applied optical spectroscopy 2020/2021 LP4-LP4;15 (51,72%);19394
KFK150 Applied optical spectroscopy 2021/2022 LP4-LP4;17 (40,48%);21753
KKE013 Ceramics engineering 2018/2019 LP3-LP3;8 (57,14%);14327
KKE013 Ceramics engineering 2019/2020 LP3-LP3;5 (45,45%);16760
KKE013 Ceramics engineering 2020/2021 LP4-LP4;4 (26,67%);19430
KOK032 Applied organic molecular spectroscopy 2018/2019 LP1-LP1;5 (31,25%);13136
KOK032 Applied organic molecular spectroscopy 2019/2020 LP1-LP1;5 (62,50%);15376
KOK032 Applied organic molecular spectroscopy 2021/2022 LP1-LP1;5 (41,67%);19860
KOK032 Applied organic molecular spectroscopy 2022/2023 LP1-LP1;10 (50,00%);22316
