name;ans_freq;report_id
IBS092 Decision support systems in industrial management 2013/2014 LP4-LP4;6 (85,71%);3574
IDY035 Economics of innovation 2013/2014 LP1-LP1;32 (41,03%);1916
IDY035 Economics of innovation 2014/2015 LP1-LP1;39 (60,00%);4113
IDY040 Technological change & industrial transformation 2013/2014 LP2-LP2;51 (64,56%);2944
IDY040 Technological change & industrial transformation 2014/2015 LP2-LP2;25 (41,67%);4605
IDY040 Technological change & industrial transformation 2015/2016 LP1-LP1;37 (50,00%);6209
IDY040 Technological change and economic transformation 2016/2017 LP1-LP1;43 (55,13%);8633
IDY040 Technological change and economic transformation 2017/2018 LP1-LP1;36 (48,65%);10707
IDY045 Strategy and innovation project course 2013/2014 LP1-LP2;4 (66,67%);2608
IEK312 Quality management 2014/2015 LP1-LP1;15 (45,45%);4071
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IIN070 Innovation management seminar course 2013/2014 LP4-LP4;4 (80,00%);3430
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
IPR010 Managing development projects 2013/2014 LP1-LP1;29 (40,85%);2050
IPR010 Managing development projects 2014/2015 LP1-LP1;39 (60,94%);3773
IPR010 Managing development projects 2015/2016 LP1-LP1;40 (50,00%);6279
IPR011 Managing development projects 2016/2017 LP1-LP1;45 (50,00%);8901
IPR011 Managing development projects 2017/2018 LP1-LP1;31 (38,75%);10943
ISM030 Service contract management 2013/2014 LP4-LP4;18 (40,00%);3210
ISM030 Service contract management 2014/2015 LP4-LP4;8 (20,51%);5530
ISM030 Service contract management 2015/2016 LP4-LP4;11 (30,56%);8016
ISM030 Service contract management 2016/2017 LP4-LP4;9 (30,00%);10513
ITR361 Environmental aspects on logistics and transportation 2013/2014 LP4-LP4;32 (59,26%);3512
ITR362 Sustainable logistics 2014/2015 LP4-LP4;17 (37,78%);6022
ITR362 Sustainable logistics 2015/2016 LP4-LP4;30 (58,82%);8132
ITR362 Sustainable logistics 2016/2017 LP4-LP4;7 (63,64%);10161
ITR362 Sustainable logistics 2017/2018 LP4-LP4;10 (40,00%);12771
ITR585 Management of physical distribution 2013/2014 LP3-LP3;26 (50,00%);1459
ITR585 Management of physical distribution 2014/2015 LP3-LP3;18 (32,73%);5265
ITR585 Management of physical distribution 2015/2016 LP3-LP3;15 (25,42%);7708
ITR585 Management of physical distribution 2016/2017 LP3-LP3;16 (38,10%);9901
ITR585 Management of physical distribution 2017/2018 LP3-LP3;14 (41,18%);11989
TEK010 Creating new business 2013/2014 LP2-LP2;65 (94,20%);2952
TEK010 Creating new business 2014/2015 LP3-LP3;14 (34,15%);5221
TEK010 Creating new business 2015/2016 LP3-LP3;20 (32,79%);7408
TEK010 Creating new business 2016/2017 LP3-LP3;33 (49,25%);9791
TEK010 Creating new business 2017/2018 LP3-LP3;18 (29,03%);12033
TEK016 Strategic management of innovation and technology 2013/2014 LP3-LP3;27 (49,09%);1843
TEK016 Strategic management of innovation and technology 2014/2015 LP2-LP2;12 (25,53%);4787
TEK017 Strategic management 2015/2016 LP2-LP2;34 (45,33%);7236
TEK017 Strategic management 2016/2017 LP2-LP2;29 (34,94%);9423
TEK017 Strategic management 2017/2018 LP2-LP2;27 (38,03%);11422
TEK030 Organizational behavior 2013/2014 LP4-LP4;19 (54,29%);3320
TEK030 Organizational behavior 2014/2015 LP4-LP4;11 (35,48%);5622
TEK030 Organizational behavior 2015/2016 LP4-LP4;11 (32,35%);8058
TEK030 Organizational behavior 2016/2017 LP4-LP4;11 (37,93%);10411
TEK190 Research design and methods 2013/2014 LP4-LP4;23 (42,59%);3502
TEK190 Research design and methods 2014/2015 LP4-LP4;12 (23,08%);5536
TEK190 Research design and methods 2015/2016 LP4-LP4;16 (24,62%);8114
TEK190 Research design and methods 2016/2017 LP4-LP4;20 (34,48%);10145
TEK190 Research design and methods 2017/2018 LP4-LP4;5 (9,62%);12759
TEK211 Brand management 2014/2015 LP3-LP3;25 (37,88%);5255
TEK211 Brand management 2015/2016 LP3-LP3;26 (48,15%);7698
