programme;course_tag;report_id
MPMOB;ACE095;22468
MPMOB;DAT171;21237
MPMOB;DAT295;20443
MPMOB;DAT405;21247
MPMOB;DAT405;22181
MPMOB;DAT405;22350
MPMOB;EEN016;20755
MPMOB;EEN130;20264
MPMOB;EEN130;22444
MPMOB;EEN135;21517
MPMOB;EEN140;22165
MPMOB;IBB137;20537
MPMOB;IBB137;21837
MPMOB;IEK313;21353
MPMOB;IEK313;22448
MPMOB;KBT121;22684
MPMOB;KKR073;21767
MPMOB;MHA043;22061
MPMOB;MMA092;20409
MPMOB;MMA163;21523
MPMOB;MMA169;20949
MPMOB;MMF062;20407
MPMOB;MMK082;20819
MPMOB;MMS050;20771
MPMOB;MMS175;20989
MPMOB;MMS180;20951
MPMOB;MMS185;20969
MPMOB;MMS195;20252
MPMOB;MMS195;22242
MPMOB;MMS205;21519
MPMOB;MMS210;22177
MPMOB;MMS235;22690
MPMOB;MTF073;20527
MPMOB;MTF236;21321
MPMOB;MTF242;21415
MPMOB;PPU085;20869
MPMOB;PPU231;21329
MPMOB;SJO746;21807
MPMOB;SJO825;20643
MPMOB;SSY130;20307
MPMOB;SSY236;20975
MPMOB;SSY261;21769
MPMOB;SSY285;20853
MPMOB;TEK285;21727
MPMOB;TME047;21883
MPMOB;TME085;21159
MPMOB;TME095;20521
MPMOB;TME102;21943
MPMOB;TME141;20815
MPMOB;TME146;20627
MPMOB;TME170;20837
MPMOB;TME180;20367
MPMOB;TME192;20154
MPMOB;TME192;22630
MPMOB;TME196;21897
MPMOB;TME202;20495
MPMOB;TME240;21179
MPMOB;TME245;21317
MPMOB;TME260;22404
MPMOB;VSM167;20573
