name;ans_freq;report_id
FKA091 Condensed matter physics 2013/2014 LP2-LP2;17 (48,57%);1228
FKA091 Condensed matter physics 2014/2015 LP2-LP2;20 (48,78%);4613
FKA091 Condensed matter physics 2015/2016 LP2-LP2;16 (61,54%);6786
FKA091 Condensed matter physics 2016/2017 LP2-LP2;19 (67,86%);9217
FKA091 Condensed matter physics 2017/2018 LP2-LP2;12 (37,50%);11282
FKA116 Biological physics 2013/2014 LP2-LP2;12 (66,67%);730
FKA116 Biological physics 2014/2015 LP2-LP2;16 (76,19%);4769
FKA116 Biological physics 2015/2016 LP2-LP2;9 (64,29%);7092
FKA116 Biological physics 2016/2017 LP2-LP2;3 (33,33%);9025
FKA116 Biological physics 2017/2018 LP2-LP2;11 (57,89%);11674
FKA132 Quantum Engineering 2013/2014 LP1-LP1;7 (63,64%);2412
FKA132 Quantum Engineering 2014/2015 LP1-LP1;7 (50,00%);4029
FKA132 Quantum Engineering 2015/2016 LP1-LP1;9 (69,23%);6231
FKA132 Quantum Engineering 2016/2017 LP1-LP1;12 (75,00%);8653
FKA132 Quantum Engineering 2017/2018 LP1-LP1;14 (66,67%);10907
FKA173 Quantum optics and quantum informatics 2013/2014 LP1-LP1;11 (52,38%);2410
FKA173 Quantum optics and quantum informatics 2014/2015 LP1-LP1;7 (70,00%);4143
FKA173 Quantum optics and quantum informatics 2015/2016 LP1-LP1;9 (56,25%);6347
FKA173 Quantum optics and quantum informatics 2016/2017 LP1-LP1;5 (71,43%);8861
FKA173 Quantum optics and quantum informatics 2017/2018 LP1-LP1;8 (53,33%);10901
FKA196 Fundamentals of micro- and nanotechnology 2013/2014 LP1-LP1;21 (53,85%);2270
FKA196 Fundamentals of micro- and nanotechnology 2014/2015 LP1-LP1;25 (69,44%);4145
FKA196 Fundamentals of micro- and nanotechnology 2015/2016 LP1-LP1;35 (56,45%);6349
FKA196 Fundamentals of micro- and nanotechnology 2016/2017 LP1-LP1;28 (54,90%);8863
FKA196 Fundamentals of micro- and nanotechnology 2017/2018 LP1-LP1;27 (64,29%);10903
FMI036 Superconductivity and low-temperature physics 2013/2014 LP3-LP3;15 (71,43%);1609
FMI036 Superconductivity and low-temperature physics 2014/2015 LP3-LP3;13 (72,22%);5107
FMI036 Superconductivity and low-temperature physics 2015/2016 LP3-LP3;6 (46,15%);7680
FMI036 Superconductivity and low-temperature physics 2016/2017 LP3-LP3;8 (66,67%);9883
FMI036 Superconductivity and low-temperature physics 2017/2018 LP3-LP3;12 (48,00%);11979
FMI040 Semiconductor materials physics 2013/2014 LP4-LP4;8 (44,44%);3282
FMI040 Semiconductor materials physics 2014/2015 LP4-LP4;5 (33,33%);5596
FMI040 Semiconductor materials physics 2015/2016 LP4-LP4;10 (52,63%);8034
FMI040 Semiconductor materials physics 2016/2017 LP4-LP4;11 (52,38%);10397
FMI040 Semiconductor materials physics 2017/2018 LP4-LP4;8 (36,36%);12521
KAM021 Advanced analytical chemistry 2014/2015 LP3-LP3;22 (53,66%);5041
KAM021 Advanced analytical chemistry 2015/2016 LP3-LP3;22 (53,66%);7494
KAM021 Advanced analytical chemistry 2016/2017 LP3-LP3;33 (62,26%);9855
KAM021 Advanced analytical chemistry 2017/2018 LP3-LP3;32 (57,14%);11957
KBT025 Polymer chemistry and physics 2014/2015 LP2-LP2;10 (31,25%);4611
KBT026 Polymer chemistry and physics 2015/2016 LP2-LP2;12 (36,36%);7242
KBT026 Polymer chemistry and physics 2016/2017 LP2-LP2;11 (32,35%);9425
KBT026 Polymer chemistry and physics 2017/2018 LP2-LP2;23 (46,94%);11424
KFK021 Biophysical chemistry 2013/2014 LP2-LP2;5 (35,71%);2470
KFK021 Biophysical chemistry 2014/2015 LP2-LP2;17 (85,00%);4781
KFK021 Biophysical chemistry 2015/2016 LP2-LP2;4 (50,00%);7102
KFK021 Biophysical chemistry 2016/2017 LP2-LP2;7 (70,00%);9029
KFK021 Biophysical chemistry 2017/2018 LP2-LP2;7 (43,75%);11678
KFK150 Applied optical spectroscopy 2013/2014 LP3-LP3;4 (66,67%);1701
KFK150 Applied optical spectroscopy 2014/2015 LP3-LP3;3 (60,00%);5183
KFK150 Applied optical spectroscopy 2015/2016 LP3-LP3;4 (80,00%);7368
KFK150 Applied optical spectroscopy 2017/2018 LP4-LP4;9 (75,00%);12441
KFK181 Bionanotechnology 2013/2014 LP4-LP4;7 (63,64%);3278
KFK181 Bionanotechnology 2014/2015 LP4-LP4;6 (60,00%);5592
KFK181 Bionanotechnology 2015/2016 LP4-LP4;5 (41,67%);8030
KFK181 Bionanotechnology 2016/2017 LP4-LP4;6 (60,00%);10527
KFK181 Bionanotechnology 2017/2018 LP4-LP4;6 (50,00%);12663
