programme;course_tag;report_id
MPNAV;ENM145;4939
MPNAV;ENM145;7040
MPNAV;ENM145;8993
MPNAV;ENM145;11001
MPNAV;IBB135;2728
MPNAV;IBB135;4429
MPNAV;IBB135;7150
MPNAV;IBB136;9563
MPNAV;IBB136;11582
MPNAV;MMA127;2008
MPNAV;MMA127;4063
MPNAV;MMA127;6549
MPNAV;MMA127;8827
MPNAV;MMA128;11159
MPNAV;MMA136;2284
MPNAV;MMA136;4161
MPNAV;MMA136;6363
MPNAV;MMA136;8399
MPNAV;MMA137;11113
MPNAV;MMA150;2974
MPNAV;MMA150;4635
MPNAV;MMA151;7226
MPNAV;MMA151;9413
MPNAV;MMA151;11414
MPNAV;MMA161;2584
MPNAV;MMA161;4739
MPNAV;MMA161;7170
MPNAV;MMA161;9371
MPNAV;MMA162;11788
MPNAV;MMA167;2582
MPNAV;MMA167;4737
MPNAV;MMA167;7168
MPNAV;MMA168;9537
MPNAV;MMA168;11462
MPNAV;MTF072;2506
MPNAV;MTF072;4287
MPNAV;MTF072;6862
MPNAV;MTF072;9269
MPNAV;MTF072;11588
MPNAV;MTF114;1709
MPNAV;MTF114;5065
MPNAV;MTF114;7638
MPNAV;MTF114;9673
MPNAV;MTF240;2264
MPNAV;MTF240;3947
MPNAV;MTF240;6155
MPNAV;MTF240;8549
MPNAV;MTF240;11081
MPNAV;MTF270;12487
MPNAV;MTT100;11346
MPNAV;SJO740;1509
MPNAV;SJO740;5307
MPNAV;SJO740;7692
MPNAV;SJO740;9897
MPNAV;SJO741;12307
MPNAV;SJO745;3504
MPNAV;SJO745;6042
MPNAV;SJO745;8116
MPNAV;SJO745;10147
MPNAV;SJO746;12873
MPNAV;SJO750;3246
MPNAV;SJO750;5501
MPNAV;SJO750;7872
MPNAV;SJO750;10249
MPNAV;SJO750;12831
MPNAV;SJO790;3460
MPNAV;SJO825;11530
MPNAV;TEK465;11037
MPNAV;TEK475;2402
MPNAV;TEK475;4793
MPNAV;TME125;2870
MPNAV;TME125;4839
MPNAV;TME125;6992
MPNAV;TME125;8963
MPNAV;TME225;2088
MPNAV;TME225;3807
MPNAV;TME225;6311
MPNAV;TME225;8711
MPNAV;TME225;10949
MPNAV;TME240;1567
MPNAV;TME240;5051
MPNAV;TME240;7504
MPNAV;TME240;9859
MPNAV;TME240;11961
MPNAV;TME245;12221
MPNAV;TME260;2262
MPNAV;TME260;3945
MPNAV;TME260;6153
MPNAV;TME260;8589
MPNAV;TME260;10671
MPNAV;TME265;4131
MPNAV;TME265;6335
MPNAV;TME265;8729
MPNAV;TME265;10967
MPNAV;TME265;2384
MPNAV;IBB136;13725
MPNAV;IBB136;15772
MPNAV;IBB137;18691
MPNAV;IBB137;20537
MPNAV;MMA128;13216
MPNAV;MMA128;15448
MPNAV;MMA128;17539
MPNAV;MMA137;13352
MPNAV;MMA137;15484
MPNAV;MMA137;17899
MPNAV;MMA151;13965
MPNAV;MMA151;18415
MPNAV;MMA151;20575
MPNAV;MMA162;13883
MPNAV;MMA162;16223
MPNAV;MMA162;18531
MPNAV;MMA168;13663
MPNAV;MMA168;15911
MPNAV;MMA168;18187
MPNAV;MTF072;13731
MPNAV;MTF072;15961
MPNAV;MTF073;18679
MPNAV;MTF073;20527
MPNAV;MTF240;13238
MPNAV;MTF240;15474
MPNAV;MTF241;17945
MPNAV;MTF270;14755
MPNAV;MTF270;17141
MPNAV;MTF271;19680
MPNAV;MTT100;13961
MPNAV;MTT100;16273
MPNAV;MTT100;18443
MPNAV;MTT100;20623
MPNAV;SEE025;13418
MPNAV;SEE040;15740
MPNAV;SEE040;17537
MPNAV;SEE040;20134
MPNAV;SJO741;14321
MPNAV;SJO741;16704
MPNAV;SJO741;19097
MPNAV;SJO746;15095
MPNAV;SJO746;17255
MPNAV;SJO746;19456
MPNAV;SJO750;14975
MPNAV;SJO750;17257
MPNAV;SJO750;19592
MPNAV;SJO825;16303
MPNAV;SJO825;18461
MPNAV;SJO825;20643
MPNAV;SJO825;14033
MPNAV;TEK465;13194
MPNAV;TEK465;15412
MPNAV;TEK465;17459
MPNAV;TEK465;19744
MPNAV;TME225;13130
MPNAV;TME225;15368
MPNAV;TME226;17943
MPNAV;TME226;19920
MPNAV;TME240;14217
MPNAV;TME240;16724
MPNAV;TME240;18907
MPNAV;TME245;14389
MPNAV;TME245;16562
MPNAV;TME245;19067
MPNAV;TME260;13406
MPNAV;TME260;15636
MPNAV;TME260;17789
MPNAV;TME260;20004
MPNAV;TME265;13290
MPNAV;TME265;15590
MPNAV;TME265;17767
