name;ans_freq;report_id
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
IBB135 Project management 2013/2014 LP2-LP2;32 (41,56%);2728
IBB135 Project management 2014/2015 LP2-LP2;58 (66,67%);4429
IBB135 Project management 2015/2016 LP2-LP2;26 (30,95%);7150
IBB136 Project management 2016/2017 LP2-LP2;24 (25,81%);9563
IBB136 Project management 2017/2018 LP2-LP2;21 (36,21%);11582
MMA127 Marine transport systems 2013/2014 LP1-LP1;25 (60,98%);2008
MMA127 Marine transport systems 2014/2015 LP1-LP1;25 (53,19%);4063
MMA127 Marine transport systems 2015/2016 LP1-LP1;31 (70,45%);6549
MMA127 Marine transport systems 2016/2017 LP1-LP1;16 (55,17%);8827
MMA128 Marine transport systems 2017/2018 LP1-LP1;13 (61,90%);11159
MMA136 Ship geometry and hydrostatics 2013/2014 LP1-LP1;20 (54,05%);2284
MMA136 Ship geometry and hydrostatics 2014/2015 LP1-LP1;21 (51,22%);4161
MMA136 Ship geometry and hydrostatics 2015/2016 LP1-LP1;28 (65,12%);6363
MMA136 Ship geometry and hydrostatics 2016/2017 LP1-LP1;13 (56,52%);8399
MMA137 Ship geometry and hydrostatics 2017/2018 LP1-LP1;12 (60,00%);11113
MMA150 Marine design project 2013/2014 LP1-LP2;13 (86,67%);2974
MMA150 Marine design project 2014/2015 LP1-LP2;22 (66,67%);4635
MMA151 Marine design project 2015/2016 LP1-LP2;17 (42,50%);7226
MMA151 Marine design project 2016/2017 LP1-LP2;22 (50,00%);9413
MMA151 Marine design project 2017/2018 LP1-LP2;10 (55,56%);11414
MMA161 Ship resistance and computational hydrodynamic 2013/2014 LP2-LP2;26 (68,42%);2584
MMA161 Ship resistance and computational hydrodynamic 2014/2015 LP2-LP2;17 (39,53%);4739
MMA161 Ship resistance and computational hydrodynamic 2015/2016 LP2-LP2;23 (50,00%);7170
MMA161 Ship resistance and computational hydrodynamic 2016/2017 LP2-LP2;10 (47,62%);9371
MMA162 Ship resistance and computational hydrodynamic 2017/2018 LP2-LP2;8 (44,44%);11788
MMA167 Marine structural engineering 2013/2014 LP2-LP2;27 (75,00%);2582
MMA167 Marine structural engineering 2014/2015 LP2-LP2;16 (38,10%);4737
MMA167 Marine structural engineering 2015/2016 LP2-LP2;26 (56,52%);7168
MMA168 Marine structural engineering 2016/2017 LP2-LP2;14 (63,64%);9537
MMA168 Marine structural engineering 2017/2018 LP2-LP2;9 (50,00%);11462
MTF072 Computational fluid dynamics (CFD) 2013/2014 LP2-LP2;35 (61,40%);2506
MTF072 Computational fluid dynamics (CFD) 2014/2015 LP2-LP2;51 (66,23%);4287
