programme;course_tag;report_id
MPNUE;FFR170;2048
MPNUE;FFR170;3771
MPNUE;FFR170;6277
MPNUE;FFR170;8685
MPNUE;FFR170;10739
MPNUE;KBT168;3038
MPNUE;KBT168;4381
MPNUE;KBT168;6950
MPNUE;KBT168;11364
MPNUE;KBT192;2408
MPNUE;KBT192;4141
MPNUE;KBT192;6345
MPNUE;KBT192;8859
MPNUE;KBT192;10899
MPNUE;KBT215;2744
MPNUE;KBT215;4445
MPNUE;MTT065;7968
MPNUE;MTT065;10355
MPNUE;MTT065;12489
MPNUE;RRY115;6291
MPNUE;RRY115;8695
MPNUE;TIF195;1457
MPNUE;TIF195;5263
MPNUE;TIF195;7706
MPNUE;TIF195;12037
MPNUE;TIF205;3506
MPNUE;TIF205;5948
MPNUE;TIF205;8118
MPNUE;TIF205;12761
MPNUE;TIF210;2878
MPNUE;TIF210;4847
MPNUE;TIF210;6998
MPNUE;TIF210;8969
MPNUE;TIF210;11632
MPNUE;TIF215;2148
MPNUE;TIF215;3857
MPNUE;TIF215;6503
MPNUE;TIF215;8737
MPNUE;TIF215;10765
MPNUE;TIF235;3604
MPNUE;TIF250;2868
MPNUE;TIF250;4837
MPNUE;TIF250;6990
MPNUE;TIF250;8961
MPNUE;TIF265;1703
MPNUE;TIF265;5185
MPNUE;TIF265;7370
MPNUE;TIF265;9733
MPNUE;TIF265;12145
MPNUE;FFR170;13304
