programme;course_tag;report_id
MPPAS;FAS010;802
MPPAS;FAS010;7190
MPPAS;FFM071;1597
MPPAS;FFM071;5095
MPPAS;FFM071;7670
MPPAS;FFM071;9749
MPPAS;FFM071;11885
MPPAS;FFM485;2542
MPPAS;FFM485;4703
MPPAS;FFM485;7202
MPPAS;FFM485;9409
MPPAS;FFM485;11412
MPPAS;FKA081;2052
MPPAS;FKA081;3775
MPPAS;FKA081;6281
MPPAS;FKA081;8687
MPPAS;FKA081;10741
MPPAS;FKA091;1228
MPPAS;FKA091;4613
MPPAS;FKA091;6786
MPPAS;FKA091;9217
MPPAS;FKA091;11282
MPPAS;FKA121;1024
MPPAS;FKA121;4451
MPPAS;FKA121;6646
MPPAS;FKA121;9071
MPPAS;FKA121;11718
MPPAS;FKA173;2410
MPPAS;FKA173;4143
MPPAS;FKA173;6347
MPPAS;FKA173;8861
MPPAS;FKA173;10901
MPPAS;FKA175;5880
MPPAS;FKA175;8198
MPPAS;FKA175;10207
MPPAS;FKA175;12793
MPPAS;FUF020;3394
MPPAS;FUF020;5678
MPPAS;FUF020;8250
MPPAS;FUF020;10461
MPPAS;FUF020;12569
MPPAS;FUF025;3494
MPPAS;FUF025;5942
MPPAS;FUF025;8106
MPPAS;FUF025;10557
MPPAS;FUF025;12699
MPPAS;FUF070;1615
MPPAS;FUF070;5115
MPPAS;FUF070;7686
MPPAS;FUF070;9891
MPPAS;FUF070;12179
MPPAS;FUF080;3747
MPPAS;FUF080;6261
MPPAS;FUF080;8673
MPPAS;FUF080;10729
MPPAS;FUF080;1968
MPPAS;FUF085;2864
MPPAS;FUF085;4831
MPPAS;FUF085;6986
MPPAS;FUF085;9525
MPPAS;FUF085;11546
MPPAS;RRY025;2188
MPPAS;RRY025;3893
MPPAS;RRY025;6101
MPPAS;RRY025;8527
MPPAS;RRY025;11071
MPPAS;RRY036;4065
MPPAS;RRY036;6551
MPPAS;RRY036;8829
MPPAS;RRY036;10873
MPPAS;RRY040;1649
MPPAS;RRY040;5145
MPPAS;RRY055;1737
MPPAS;RRY055;5377
MPPAS;RRY055;11889
MPPAS;RRY085;546
MPPAS;RRY085;4001
MPPAS;RRY085;6203
MPPAS;RRY085;8627
MPPAS;RRY085;10823
MPPAS;RRY091;5856
MPPAS;RRY115;6291
MPPAS;RRY115;8695
MPPAS;RRY125;842
MPPAS;RRY125;4725
MPPAS;RRY125;6622
MPPAS;RRY125;11442
MPPAS;RRY131;7108
MPPAS;RRY145;6431
MPPAS;RRY145;8605
MPPAS;RRY145;10965
MPPAS;TIF030;1964
MPPAS;TIF030;3743
MPPAS;TIF030;6257
MPPAS;TIF030;8669
MPPAS;TIF030;10725
MPPAS;TIF060;2334
MPPAS;TIF060;3999
MPPAS;TIF060;6201
MPPAS;TIF060;8603
MPPAS;TIF060;10683
MPPAS;TIF106;3490
MPPAS;TIF106;5940
MPPAS;TIF106;8104
MPPAS;TIF106;10555
MPPAS;TIF106;12697
MPPAS;TIF280;4887
MPPAS;TIF280;6620
MPPAS;TMA265;542
MPPAS;TMA265;3997
MPPAS;TMA265;6199
MPPAS;TMA265;8625
MPPAS;TMA265;10701
MPPAS;TMA401;110
MPPAS;TMA401;4099
MPPAS;TMA401;6455
MPPAS;TMA401;8463
MPPAS;TMA401;11025
MPPAS;FFM071;14171
MPPAS;FFM485;13629
MPPAS;FFM485;16155
MPPAS;FKA081;13000
MPPAS;FKA091;13533
MPPAS;FKA091;16574
MPPAS;FKA121;13839
MPPAS;FKA121;15839
MPPAS;FKA173;13378
MPPAS;FKA173;15664
MPPAS;FUF020;14815
MPPAS;FUF025;15067
MPPAS;FUF070;14349
MPPAS;FUF080;12994
MPPAS;FUF080;15248
MPPAS;FUF085;13905
MPPAS;RRY025;13232
MPPAS;RRY025;15482
MPPAS;RRY036;13354
MPPAS;RRY036;15644
MPPAS;RRY056;16878
MPPAS;RRY085;13056
MPPAS;RRY085;15488
MPPAS;RRY125;13647
MPPAS;RRY131;13807
MPPAS;RRY145;13142
MPPAS;RRY145;16700
MPPAS;TIF030;13294
MPPAS;TIF060;12952
MPPAS;TIF106;15021
MPPAS;TIF106;17271
MPPAS;TMA265;13266
MPPAS;TMA265;15602
MPPAS;TMA401;13186
MPPAS;TMA401;15606
