name;ans_freq;report_id
FAS010 Astrophysical dynamics 2013/2014 LP2-LP2;10 (90,91%);802
FAS010 Astrophysical dynamics 2015/2016 LP2-LP2;4 (100,00%);7190
FFM071 Gravitation and cosmology 2013/2014 LP3-LP3;7 (63,64%);1597
FFM071 Gravitation and cosmology 2014/2015 LP3-LP3;9 (56,25%);5095
FFM071 Gravitation and cosmology 2015/2016 LP3-LP3;13 (81,25%);7670
FFM071 Gravitation and cosmology 2016/2017 LP3-LP3;6 (50,00%);9749
FFM071 Gravitation and cosmology 2017/2018 LP3-LP3;15 (55,56%);11885
FFM485 String theory 2013/2014 LP2-LP2;5 (71,43%);2542
FFM485 String theory 2014/2015 LP2-LP2;3 (50,00%);4703
FFM485 String theory 2015/2016 LP2-LP2;6 (66,67%);7202
FFM485 String theory 2016/2017 LP2-LP2;9 (56,25%);9409
FFM485 String theory 2017/2018 LP2-LP2;7 (46,67%);11412
FKA081 Quantum mechanics 2013/2014 LP1-LP1;18 (45,00%);2052
FKA081 Quantum mechanics 2014/2015 LP1-LP1;24 (70,59%);3775
FKA081 Quantum mechanics 2015/2016 LP1-LP1;18 (47,37%);6281
FKA081 Quantum mechanics 2016/2017 LP1-LP1;10 (62,50%);8687
FKA081 Quantum mechanics 2017/2018 LP1-LP1;15 (48,39%);10741
FKA091 Condensed matter physics 2013/2014 LP2-LP2;17 (48,57%);1228
FKA091 Condensed matter physics 2014/2015 LP2-LP2;20 (48,78%);4613
FKA091 Condensed matter physics 2015/2016 LP2-LP2;16 (61,54%);6786
FKA091 Condensed matter physics 2016/2017 LP2-LP2;19 (67,86%);9217
FKA091 Condensed matter physics 2017/2018 LP2-LP2;12 (37,50%);11282
FKA121 Computational physics 2013/2014 LP2-LP2;30 (65,22%);1024
FKA121 Computational physics 2014/2015 LP2-LP2;33 (68,75%);4451
FKA121 Computational physics 2015/2016 LP2-LP2;22 (61,11%);6646
FKA121 Computational physics 2016/2017 LP2-LP2;21 (43,75%);9071
FKA121 Computational physics 2017/2018 LP2-LP2;16 (37,21%);11718
FKA173 Quantum optics and quantum informatics 2013/2014 LP1-LP1;11 (52,38%);2410
FKA173 Quantum optics and quantum informatics 2014/2015 LP1-LP1;7 (70,00%);4143
FKA173 Quantum optics and quantum informatics 2015/2016 LP1-LP1;9 (56,25%);6347
FKA173 Quantum optics and quantum informatics 2016/2017 LP1-LP1;5 (71,43%);8861
FKA173 Quantum optics and quantum informatics 2017/2018 LP1-LP1;8 (53,33%);10901
FKA175 Astroparticle physics 2014/2015 LP4-LP4;9 (56,25%);5880
FKA175 Astroparticle physics 2015/2016 LP4-LP4;6 (66,67%);8198
FKA175 Astroparticle physics 2016/2017 LP4-LP4;3 (37,50%);10207
FKA175 Astroparticle physics 2017/2018 LP4-LP4;6 (54,55%);12793
FUF020 Quantum field theory 2013/2014 LP4-LP4;5 (55,56%);3394
FUF020 Quantum field theory 2014/2015 LP4-LP4;3 (25,00%);5678
FUF020 Quantum field theory 2015/2016 LP4-LP4;10 (83,33%);8250
FUF020 Quantum field theory 2016/2017 LP4-LP4;5 (45,45%);10461
FUF020 Quantum field theory 2017/2018 LP4-LP4;7 (38,89%);12569
FUF025 Advanced subatomic physics 2013/2014 LP4-LP4;4 (66,67%);3494
FUF025 Advanced subatomic physics 2014/2015 LP4-LP4;5 (45,45%);5942
FUF025 Advanced subatomic physics 2015/2016 LP4-LP4;6 (75,00%);8106
FUF025 Advanced subatomic physics 2016/2017 LP4-LP4;4 (40,00%);10557
FUF025 Advanced subatomic physics 2017/2018 LP4-LP4;3 (50,00%);12699
FUF070 Advanced quantum mechanics 2013/2014 LP3-LP3;9 (56,25%);1615
FUF070 Advanced quantum mechanics 2014/2015 LP3-LP3;11 (73,33%);5115
