name;ans_freq;report_id
ENM015 Technical change and the environment 2013/2014 LP2-LP2;36 (43,90%);2742
ENM015 Technical change and the environment 2014/2015 LP2-LP2;44 (53,01%);4443
ENM015 Technical change and the environment 2015/2016 LP2-LP2;44 (47,31%);7162
ENM015 Technical change and the environment 2016/2017 LP2-LP2;42 (48,84%);9159
ENM015 Technical change and the environment 2017/2018 LP2-LP2;34 (34,34%);11232
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
FFR160 Sustainable development 2013/2014 LP1-LP1;35 (41,18%);1914
FFR160 Sustainable development 2014/2015 LP1-LP1;46 (54,76%);4111
FFR160 Sustainable development 2015/2016 LP1-LP1;38 (61,29%);6465
FFR160 Sustainable development 2016/2017 LP1-LP1;27 (55,10%);8475
FFR160 Sustainable development 2017/2018 LP1-LP1;30 (47,62%);11033
IAR061 Product development management 2013/2014 LP1-LP1;29 (53,70%);2056
IAR061 Product development management 2014/2015 LP1-LP1;18 (40,91%);3779
IAR061 Product development management 2015/2016 LP1-LP1;25 (52,08%);6285
IAR061 Product development management 2016/2017 LP1-LP1;21 (42,86%);8835
IAR061 Product development management 2017/2018 LP1-LP1;43 (51,19%);10879
IBB135 Project management 2013/2014 LP4-LP4;39 (52,70%);3216
IBB135 Project management 2014/2015 LP4-LP4;22 (36,67%);5832
IBB135 Project management 2015/2016 LP4-LP4;35 (40,70%);8272
IBB136 Project management 2016/2017 LP4-LP4;18 (23,38%);10587
IBB136 Project management 2017/2018 LP4-LP4;20 (23,81%);12583
IEK312 Quality management 2013/2014 LP1-LP1;11 (25,00%);2016
IEK312 Quality management 2013/2014 LP3-LP3;36 (37,89%);1741
IEK312 Quality management 2014/2015 LP1-LP1;15 (45,45%);4071
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
MMA092 Rigid body dynamics 2013/2014 LP2-LP2;33 (49,25%);2734
MMA092 Rigid body dynamics 2014/2015 LP2-LP2;25 (48,08%);4437
MMA092 Rigid body dynamics 2015/2016 LP2-LP2;25 (39,68%);7156
MMA092 Rigid body dynamics 2016/2017 LP2-LP2;15 (31,25%);9361
MMA092 Rigid body dynamics 2017/2018 LP2-LP2;23 (50,00%);11382
MMK221 Materials selection and design 2013/2014 LP2-LP2;28 (38,89%);2646
MMK221 Materials selection and design 2014/2015 LP2-LP2;15 (34,09%);4355
MMK221 Materials selection and design 2015/2016 LP2-LP2;11 (23,91%);6924
MMK221 Materials selection and design 2016/2017 LP2-LP2;13 (25,49%);9319
MMK221 Materials selection and design 2017/2018 LP2-LP2;11 (31,43%);11440
MMK232 Metals engineering 2013/2014 LP1-LP1;17 (50,00%);2026
MMK232 Metals engineering 2014/2015 LP1-LP1;18 (75,00%);4079
MMK232 Metals engineering 2015/2016 LP1-LP1;25 (69,44%);6091
MMK232 Metals engineering 2016/2017 LP1-LP1;13 (43,33%);8515
MMK232 Metals engineering 2017/2018 LP1-LP1;30 (65,22%);11059
MPP091 Human factors and ergonomics for engineers 2013/2014 LP2-LP2;11 (50,00%);2992
MPP091 Human factors and ergonomics for engineers 2014/2015 LP2-LP2;11 (47,83%);4649
MPP091 Human factors and ergonomics for engineers 2015/2016 LP2-LP2;16 (53,33%);6820
MPP091 Human factors and ergonomics for engineers 2016/2017 LP2-LP2;10 (43,48%);9243
MPP091 Human factors and ergonomics for engineers 2017/2018 LP2-LP2;16 (45,71%);11304
MPP126 Product development project 2013/2014 LP3-LP4;32 (51,61%);3334
MPP126 Product development project 2014/2015 LP3-LP4;18 (40,91%);5636
MPP126 Product development project 2015/2016 LP3-LP4;27 (51,92%);8070
MPP126 Product development project 2016/2017 LP3-LP4;24 (43,64%);10421
MPP126 Product development project 2017/2018 LP3-LP4;38 (43,68%);12537
MPR034 Manufacturing processes 2013/2014 LP1-LP1;41 (44,57%);2024
