programme;course_tag;report_id
MPPEN;ENM145;4939
MPPEN;ENM145;7040
MPPEN;IAR059;3634
MPPEN;IEK312;2016
MPPEN;IEK312;1741
MPPEN;IEK312;4071
MPPEN;IEK312;5381
MPPEN;IEK312;6081
MPPEN;IEK312;7544
MPPEN;IEK312;8507
MPPEN;IEK312;9609
MPPEN;IEK312;11053
MPPEN;IEK312;12195
MPPEN;IPE061;2766
MPPEN;IPE061;3510
MPPEN;IPE062;4915
MPPEN;IPE062;6000
MPPEN;MMK082;2576
MPPEN;MMK082;4731
MPPEN;MMK082;6628
MPPEN;MMK082;9057
MPPEN;MMK082;11706
MPPEN;MPP027;1739
MPPEN;MPP027;5379
MPPEN;MPP027;7542
MPPEN;MPP027;9607
MPPEN;MPP027;12193
MPPEN;MPR034;2024
MPPEN;MPR034;4077
MPPEN;MPR034;6089
MPPEN;MPR034;8513
MPPEN;MPR034;10955
MPPEN;MPR213;3264
MPPEN;MPR213;5862
MPPEN;MPR213;8262
MPPEN;MPR213;10449
MPPEN;MPR213;12557
MPPEN;MPR271;2968
MPPEN;MPR271;4629
MPPEN;MPR271;6802
MPPEN;MPR271;9229
MPPEN;MPR271;11622
MPPEN;MTT046;3198
MPPEN;MTT046;5576
MPPEN;MTT046;8006
MPPEN;MTT047;10599
MPPEN;MTT047;12731
MPPEN;MTT090;2028
MPPEN;MTT090;4081
MPPEN;MTT090;6093
MPPEN;MTT090;8517
MPPEN;MTT090;11061
MPPEN;MTT096;3010
MPPEN;MTT096;4811
MPPEN;MTT096;6968
MPPEN;MTT096;9345
MPPEN;MTT096;11372
MPPEN;MTT106;9251
MPPEN;MTT107;11774
MPPEN;MTT120;10039
MPPEN;MTT120;12059
MPPEN;PPU080;6103
MPPEN;PPU080;8529
MPPEN;PPU080;11073
MPPEN;PPU110;2176
MPPEN;PPU110;3883
MPPEN;PPU110;6477
MPPEN;PPU110;8485
MPPEN;PPU110;11041
MPPEN;PPU160;2032
MPPEN;PPU160;4085
MPPEN;PPU160;6527
MPPEN;PPU160;8759
MPPEN;PPU160;10777
MPPEN;PPU165;1503
MPPEN;PPU165;5301
MPPEN;PPU170;2246
MPPEN;PPU171;4921
MPPEN;PPU171;7046
MPPEN;PPU171;8997
MPPEN;PPU171;11652
MPPEN;PPU215;6018
MPPEN;PPU215;8166
MPPEN;PPU215;10313
MPPEN;PPU215;12599
MPPEN;PPU230;7762
MPPEN;PPU230;9945
MPPEN;PPU231;12309
MPPEN;SSY165;2038
MPPEN;SSY165;3761
MPPEN;SSY165;6271
MPPEN;SSY165;8681
MPPEN;SSY165;10825
MPPEN;SSY290;2472
MPPEN;SSY291;4923
MPPEN;SSY292;7272
MPPEN;SSY292;9145
MPPEN;SSY292;11222
MPPEN;TEK195;3074
MPPEN;TEK195;3142
MPPEN;TEK195;5874
MPPEN;TEK195;7834
MPPEN;TEK195;10115
MPPEN;TEK195;12397
MPPEN;TEK230;4163
MPPEN;TEK230;6365
MPPEN;TEK230;8372
MPPEN;TEK231;10639
MPPEN;TEK240;2612
MPPEN;TEK240;4319
MPPEN;TEK240;6840
MPPEN;TEK240;9161
MPPEN;TEK240;11238
MPPEN;TEK430;1956
MPPEN;TEK430;3683
MPPEN;TEK430;6615
MPPEN;TEK430;8374
MPPEN;TEK430;10635
MPPEN;TEK475;2402
MPPEN;TEK475;4793
MPPEN;TME265;4131
MPPEN;TME265;6335
MPPEN;TME265;8729
MPPEN;TME265;10967
MPPEN;TME265;2384
MPPEN;EEN025;19944
MPPEN;EEN025;22510
MPPEN;IEK312;13212
MPPEN;IEK312;14365
MPPEN;IEK313;15736
MPPEN;IEK313;16882
MPPEN;IEK313;17517
MPPEN;IEK313;18759
MPPEN;IEK313;20102
MPPEN;IEK313;21353
MPPEN;IEK313;22448
MPPEN;IMS055;16387
MPPEN;IMS065;18703
MPPEN;IMS065;20539
MPPEN;MMK082;13829
MPPEN;MMK082;15833
MPPEN;MMK082;18129
MPPEN;MMK082;20819
MPPEN;MPP027;14363
MPPEN;MPP027;16556
MPPEN;MPP027;19570
MPPEN;MPP027;21777
MPPEN;MPR034;13132
MPPEN;MPR034;15338
MPPEN;MPR034;17647
MPPEN;MPR034;19810
MPPEN;MPR034;22614
MPPEN;MPR213;15027
MPPEN;MPR213;17339
MPPEN;MPR213;19466
MPPEN;MPR213;21851
MPPEN;MPR271;13957
MPPEN;MPR271;16075
MPPEN;MPR271;18551
MPPEN;MPR271;20381
MPPEN;MTT047;14899
MPPEN;MTT047;17087
MPPEN;MTT047;19568
MPPEN;MTT047;21775
MPPEN;MTT090;13222
MPPEN;MTT090;15276
MPPEN;MTT090;17865
MPPEN;MTT090;19834
MPPEN;MTT096;13603
MPPEN;MTT096;15853
MPPEN;MTT096;18159
MPPEN;MTT096;20861
MPPEN;MTT107;13981
MPPEN;MTT107;16297
MPPEN;MTT107;18237
MPPEN;MTT120;14287
MPPEN;MTT120;16516
MPPEN;MTT120;18823
MPPEN;MTT120;21471
MPPEN;PPU080;13234
MPPEN;PPU080;15282
MPPEN;PPU080;17561
MPPEN;PPU080;20164
MPPEN;PPU080;22666
MPPEN;PPU110;13198
MPPEN;PPU110;15266
MPPEN;PPU111;17987
MPPEN;PPU111;19932
MPPEN;PPU111;22426
MPPEN;PPU160;13024
MPPEN;PPU160;15514
MPPEN;PPU161;17999
MPPEN;PPU161;19974
MPPEN;PPU161;22456
MPPEN;PPU171;13953
MPPEN;PPU171;16271
MPPEN;PPU171;18441
MPPEN;PPU215;14819
MPPEN;PPU215;17233
MPPEN;PPU215;18869
MPPEN;PPU215;21109
MPPEN;PPU231;14511
MPPEN;PPU231;16682
MPPEN;PPU231;19081
MPPEN;PPU231;21329
MPPEN;SSY165;13034
MPPEN;SSY165;15302
MPPEN;SSY165;17543
MPPEN;SSY165;20138
MPPEN;SSY165;22524
MPPEN;SSY292;14075
MPPEN;TEK195;14684
MPPEN;TEK195;17105
MPPEN;TEK195;19574
MPPEN;TEK195;21941
MPPEN;TEK231;12946
MPPEN;TEK231;15580
MPPEN;TEK231;17733
MPPEN;TEK231;19740
MPPEN;TEK231;22200
MPPEN;TEK240;13501
MPPEN;TEK240;16201
MPPEN;TEK240;18399
MPPEN;TEK240;20559
MPPEN;TEK430;13460
MPPEN;TEK430;15560
MPPEN;TEK431;17961
MPPEN;TEK431;19970
MPPEN;TEK431;22452
MPPEN;TEK680;15718
MPPEN;TEK680;17509
MPPEN;TEK680;20080
MPPEN;TEK680;22356
MPPEN;TME265;13290
MPPEN;TME265;15590
MPPEN;TME265;17767
