name;ans_freq;report_id
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
IAR059 Project - Scientific Theory &  Engineering Methodology 2013/2014 LP4-LP4;21 (50,00%);3634
IEK312 Quality management 2013/2014 LP1-LP1;11 (25,00%);2016
IEK312 Quality management 2013/2014 LP3-LP3;36 (37,89%);1741
IEK312 Quality management 2014/2015 LP1-LP1;15 (45,45%);4071
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
MMK082 Materials characterisation and failure analysis 2013/2014 LP2-LP2;21 (60,00%);2576
MMK082 Materials characterisation and failure analysis 2014/2015 LP2-LP2;18 (52,94%);4731
MMK082 Materials characterisation and failure analysis 2015/2016 LP2-LP2;15 (38,46%);6628
MMK082 Materials characterisation and failure analysis 2016/2017 LP2-LP2;13 (35,14%);9057
MMK082 Materials characterisation and failure analysis 2017/2018 LP2-LP2;27 (46,55%);11706
MPP027 Production ergonomics & work design 2013/2014 LP3-LP3;28 (58,33%);1739
MPP027 Production ergonomics & work design 2014/2015 LP3-LP3;16 (42,11%);5379
MPP027 Production ergonomics & work design 2015/2016 LP3-LP3;23 (46,94%);7542
MPP027 Production ergonomics & work design 2016/2017 LP3-LP3;25 (41,67%);9607
MPP027 Production ergonomics & work design 2017/2018 LP3-LP3;28 (46,67%);12193
MPR034 Manufacturing processes 2013/2014 LP1-LP1;41 (44,57%);2024
MPR034 Manufacturing processes 2014/2015 LP1-LP1;36 (50,70%);4077
MPR034 Manufacturing processes 2015/2016 LP1-LP1;43 (76,79%);6089
MPR034 Manufacturing processes 2016/2017 LP1-LP1;40 (40,40%);8513
MPR034 Manufacturing processes 2017/2018 LP1-LP1;40 (54,79%);10955
MPR213 Robotics and manufacturing automation 2013/2014 LP4-LP4;16 (53,33%);3264
MPR213 Robotics and manufacturing automation 2014/2015 LP4-LP4;6 (26,09%);5862
MPR213 Robotics and manufacturing automation 2015/2016 LP4-LP4;18 (36,00%);8262
MPR213 Robotics and manufacturing automation 2016/2017 LP4-LP4;15 (30,61%);10449
MPR213 Robotics and manufacturing automation 2017/2018 LP4-LP4;15 (30,00%);12557
