programme;course_tag;report_id
MPPHS;FAS010;18289
MPPHS;FAS010;20369
MPPHS;FFM071;16634
MPPHS;FFM071;18839
MPPHS;FFM071;21059
MPPHS;FFM485;18331
MPPHS;FFM485;20479
MPPHS;FKA091;16574
MPPHS;FKA091;19109
MPPHS;FKA091;21413
MPPHS;FKA121;15839
MPPHS;FKA121;18313
MPPHS;FKA121;20431
MPPHS;FKA196;22302
MPPHS;FMI040;16997
MPPHS;FMI040;19528
MPPHS;FMI040;21697
MPPHS;FUF020;17187
MPPHS;FUF020;19642
MPPHS;FUF020;21989
MPPHS;KFK150;19394
MPPHS;KFK150;21753
MPPHS;MCC155;18681
MPPHS;MCC155;20593
MPPHS;MCC185;22718
MPPHS;RRY041;19580
MPPHS;RRY041;21947
MPPHS;RRY085;17903
MPPHS;RRY085;20096
MPPHS;RRY085;22364
MPPHS;RRY091;17893
MPPHS;RRY091;20088
MPPHS;RRY091;22344
MPPHS;RRY125;16115
MPPHS;RRY125;18603
MPPHS;RRY125;20743
MPPHS;RRY131;18605
MPPHS;RRY131;20745
MPPHS;RRY145;16700
MPPHS;RRY145;19093
MPPHS;RRY145;21341
MPPHS;TIF120;17691
MPPHS;TIF120;19888
MPPHS;TIF181;18401
MPPHS;TIF181;20561
MPPHS;TIF285;15696
MPPHS;TIF285;17879
MPPHS;TIF285;19856
MPPHS;TIF285;22290
MPPHS;TIF290;15698
MPPHS;TIF290;17877
MPPHS;TIF290;19854
MPPHS;TIF290;22288
MPPHS;TIF295;15700
MPPHS;TIF295;17649
MPPHS;TIF295;19812
MPPHS;TIF295;22616
MPPHS;TIF300;16363
MPPHS;TIF300;18567
MPPHS;TIF300;20437
MPPHS;TIF305;16365
MPPHS;TIF305;18473
MPPHS;TIF305;20665
MPPHS;TIF310;16367
MPPHS;TIF310;18033
MPPHS;TIF310;20693
MPPHS;TIF315;16846
MPPHS;TIF315;18739
MPPHS;TIF315;21301
MPPHS;TIF320;16848
MPPHS;TIF320;18737
MPPHS;TIF320;21299
MPPHS;TIF325;16850
MPPHS;TIF325;18791
MPPHS;TIF330;17405
MPPHS;TIF330;19266
MPPHS;TIF330;21931
MPPHS;TIF335;19314
MPPHS;TIF340;17939
MPPHS;TIF340;20000
MPPHS;TIF340;22280
MPPHS;TIF345;18657
MPPHS;TIF345;20523
MPPHS;TIF350;18659
MPPHS;TIF351;20927
MPPHS;TIF355;17941
MPPHS;TIF355;19918
MPPHS;TIF355;22416
MPPHS;TMA881;17657
MPPHS;TMA881;19846
MPPHS;TMA881;22248
