programme;course_tag;report_id
MPSCM;IBB135;2728
MPSCM;IBB135;3216
MPSCM;IBB135;4429
MPSCM;IBB135;5832
MPSCM;IBB135;7150
MPSCM;IBB135;8272
MPSCM;IBB136;9563
MPSCM;IBB136;10587
MPSCM;IBB136;11582
MPSCM;IBB136;12583
MPSCM;IBS092;3574
MPSCM;IEK312;2016
MPSCM;IEK312;1741
MPSCM;IEK312;4071
MPSCM;IEK312;5381
MPSCM;IEK312;6081
MPSCM;IEK312;7544
MPSCM;IEK312;8507
MPSCM;IEK312;9609
MPSCM;IEK312;11053
MPSCM;IEK312;12195
MPSCM;IPE061;2766
MPSCM;IPE061;3510
MPSCM;IPE062;4915
MPSCM;IPE062;6000
MPSCM;ISM030;3210
MPSCM;ISM030;5530
MPSCM;ISM030;8016
MPSCM;ISM030;10513
MPSCM;ITR361;3512
MPSCM;ITR362;6022
MPSCM;ITR362;8132
MPSCM;ITR362;10161
MPSCM;ITR362;12771
MPSCM;ITR585;1459
MPSCM;ITR585;5265
MPSCM;ITR585;7708
MPSCM;ITR585;9901
MPSCM;ITR585;11989
MPSCM;SJO837;10167
MPSCM;SJO837;12863
MPSCM;SJO840;10469
MPSCM;SJO841;12903
MPSCM;TEK030;3320
MPSCM;TEK030;5622
MPSCM;TEK030;8058
MPSCM;TEK030;10411
MPSCM;TEK116;3214
MPSCM;TEK116;5830
MPSCM;TEK116;8270
MPSCM;TEK117;10583
MPSCM;TEK117;12591
MPSCM;TEK122;2498
MPSCM;TEK122;4279
MPSCM;TEK122;6854
MPSCM;TEK122;8945
MPSCM;TEK122;11318
MPSCM;TEK211;5255
MPSCM;TEK211;7698
MPSCM;TEK211;9923
MPSCM;TEK211;12003
MPSCM;TEK216;1713
MPSCM;TEK216;5193
MPSCM;TEK216;7378
MPSCM;TEK216;9739
MPSCM;TEK216;12141
MPSCM;TEK230;8372
MPSCM;TEK231;10639
MPSCM;TEK236;3318
MPSCM;TEK236;5620
MPSCM;TEK236;8056
MPSCM;TEK237;10609
MPSCM;TEK237;12739
MPSCM;TEK275;2710
MPSCM;TEK275;4371
MPSCM;TEK275;6942
MPSCM;TEK275;9333
MPSCM;TEK275;11602
MPSCM;TEK306;5824
MPSCM;TEK306;8264
MPSCM;TEK306;10451
MPSCM;TEK306;12595
MPSCM;TEK315;2314
MPSCM;TEK315;4185
MPSCM;TEK315;6423
MPSCM;TEK315;8447
MPSCM;TEK315;11017
MPSCM;TEK320;2914
MPSCM;TEK320;4581
MPSCM;TEK320;6754
MPSCM;TEK320;9157
MPSCM;TEK320;11230
MPSCM;TEK350;1769
MPSCM;TEK350;5403
MPSCM;TEK350;7580
MPSCM;TEK350;9639
MPSCM;TEK350;12209
MPSCM;TEK360;3168
MPSCM;TEK360;5900
MPSCM;TEK360;8212
MPSCM;TEK360;10075
MPSCM;TEK360;12395
MPSCM;TEK405;2578
MPSCM;TEK405;4733
MPSCM;TEK405;6630
MPSCM;TEK405;9059
MPSCM;TEK410;2092
MPSCM;TEK410;3811
MPSCM;TEK410;6315
MPSCM;TEK410;8713
MPSCM;TEK415;1952
MPSCM;TEK415;3733
MPSCM;TEK415;6251
MPSCM;TEK416;8897
MPSCM;TEK416;10939
MPSCM;TEK420;2760
MPSCM;TEK420;4457
MPSCM;TEK420;6652
MPSCM;TEK421;9557
MPSCM;TEK421;11430
MPSCM;TEK426;3006
MPSCM;TEK426;4661
MPSCM;TEK426;6830
MPSCM;TEK435;1565
MPSCM;TEK435;5049
MPSCM;TEK435;7502
MPSCM;TEK436;9596
MPSCM;TEK436;12157
MPSCM;TEK460;4031
MPSCM;TEK465;2394
MPSCM;TEK465;4125
MPSCM;TEK465;6473
MPSCM;TEK465;8481
MPSCM;TEK465;11037
MPSCM;TEK495;4239
MPSCM;TEK495;6377
MPSCM;TEK495;8407
MPSCM;TEK495;10985
MPSCM;TEK510;12113
MPSCM;TEK535;9555
MPSCM;TEK535;11426
MPSCM;TEK540;10581
MPSCM;TEK540;12581
MPSCM;TEK585;11127
MPSCM;TEK590;12921
MPSCM;IBB136;13725
MPSCM;IBB136;14837
MPSCM;IBB136;15772
MPSCM;IBB136;16922
MPSCM;IBB137;18691
MPSCM;IBB137;19708
MPSCM;IBB137;20537
MPSCM;IBB137;21837
MPSCM;IEK312;13212
MPSCM;IEK312;14365
MPSCM;IEK313;15736
MPSCM;IEK313;16882
MPSCM;IEK313;17517
MPSCM;IEK313;18759
MPSCM;IEK313;20102
MPSCM;IEK313;21353
MPSCM;IEK313;22448
MPSCM;ITR363;16053
MPSCM;ITR363;18207
MPSCM;ITR363;20923
MPSCM;SJO837;15079
MPSCM;SJO837;17291
MPSCM;SJO837;19420
MPSCM;SJO837;21785
MPSCM;SJO841;17253
MPSCM;TEK030;14789
MPSCM;TEK030;19396
MPSCM;TEK030;21755
MPSCM;TEK118;13440
MPSCM;TEK119;15742
MPSCM;TEK119;17635
MPSCM;TEK119;19770
MPSCM;TEK119;22552
MPSCM;TEK123;14109
MPSCM;TEK123;16177
MPSCM;TEK123;18321
MPSCM;TEK123;20467
MPSCM;TEK211;14239
MPSCM;TEK211;16708
MPSCM;TEK211;18789
MPSCM;TEK211;21397
MPSCM;TEK231;12946
MPSCM;TEK231;15580
MPSCM;TEK231;17733
MPSCM;TEK231;19740
MPSCM;TEK231;22200
MPSCM;TEK237;14907
MPSCM;TEK237;17089
MPSCM;TEK237;19452
MPSCM;TEK237;21805
MPSCM;TEK275;13745
MPSCM;TEK306;14847
MPSCM;TEK306;16956
MPSCM;TEK306;19262
MPSCM;TEK306;21927
MPSCM;TEK315;13787
MPSCM;TEK315;16203
MPSCM;TEK315;19380
MPSCM;TEK320;18221
MPSCM;TEK320;20305
MPSCM;TEK320;13495
MPSCM;TEK320;16165
MPSCM;TEK350;14381
MPSCM;TEK350;16560
MPSCM;TEK350;19065
MPSCM;TEK360;14919
MPSCM;TEK360;17265
MPSCM;TEK360;19598
MPSCM;TEK360;21963
MPSCM;TEK406;14105
MPSCM;TEK406;15774
MPSCM;TEK416;13120
MPSCM;TEK416;15554
MPSCM;TEK416;17477
MPSCM;TEK416;20050
MPSCM;TEK416;22324
MPSCM;TEK421;14267
MPSCM;TEK421;16502
MPSCM;TEK421;18811
MPSCM;TEK421;21443
MPSCM;TEK465;13194
MPSCM;TEK465;15412
MPSCM;TEK465;17459
MPSCM;TEK465;19744
MPSCM;TEK465;22626
MPSCM;TEK495;13276
MPSCM;TEK495;15556
MPSCM;TEK495;17731
MPSCM;TEK495;19948
MPSCM;TEK495;22514
MPSCM;TEK510;14549
MPSCM;TEK510;16712
MPSCM;TEK510;19035
MPSCM;TEK510;21127
MPSCM;TEK590;15013
MPSCM;TEK590;17337
MPSCM;TEK590;20813
MPSCM;TEK605;14107
MPSCM;TEK605;16049
MPSCM;TEK605;18249
MPSCM;TEK605;20325
MPSCM;TEK610;15177
MPSCM;TEK610;17269
MPSCM;TEK610;19366
MPSCM;TEK610;21691
MPSCM;TEK615;19590
MPSCM;TEK615;21957
MPSCM;TEK620;14617
MPSCM;TEK620;16792
MPSCM;TEK620;18965
MPSCM;TEK620;21223
