programme;course_tag;report_id
MPSEB;ARK350;2696
MPSEB;ARK350;4567
MPSEB;ARK350;6613
MPSEB;ARK350;9113
MPSEB;ARK350;11200
MPSEB;BOM045;3332
MPSEB;BOM045;5634
MPSEB;BOM045;8068
MPSEB;BOM045;10419
MPSEB;BOM045;12535
MPSEB;BOM065;2178
MPSEB;BOM065;3885
MPSEB;BOM065;6479
MPSEB;BOM065;8487
MPSEB;BOM065;11043
MPSEB;BOM145;2996
MPSEB;BOM145;4653
MPSEB;BOM145;6822
MPSEB;BOM145;8929
MPSEB;BOM170;2256
MPSEB;BOM170;3941
MPSEB;BOM170;6149
MPSEB;BOM170;8587
MPSEB;BOM170;10669
MPSEB;BOM175;2406
MPSEB;BOM175;3833
MPSEB;BOM175;6331
MPSEB;BOM175;8841
MPSEB;BOM175;10885
MPSEB;BOM250;9543
MPSEB;BOM250;11428
MPSEB;BOM285;11800
MPSEB;ENM135;3054
MPSEB;ENM135;4805
MPSEB;ENM135;6962
MPSEB;ENM135;9339
MPSEB;ENM135;11368
MPSEB;TME141;2580
MPSEB;TME141;4735
MPSEB;TME141;7166
MPSEB;TME141;9369
MPSEB;TME141;11390
MPSEB;TME245;1391
MPSEB;TME245;5323
MPSEB;TME245;7600
MPSEB;TME245;9649
MPSEB;TME245;12221
MPSEB;VBB048;2906
MPSEB;VBB048;4869
MPSEB;VBB048;7066
MPSEB;VBB048;9011
MPSEB;VBB048;11662
MPSEB;VBB072;3148
MPSEB;VBB072;5882
MPSEB;VBB072;8200
MPSEB;VBB072;10209
MPSEB;VBB072;12795
MPSEB;VBB122;2324
MPSEB;VBB122;3989
MPSEB;VBB122;6195
MPSEB;VBB122;8815
MPSEB;VBB122;10865
MPSEB;VBF021;3366
MPSEB;VBF021;5526
MPSEB;VBF021;7932
MPSEB;VBF021;10503
MPSEB;VBF021;12647
MPSEB;VIN032;1455
MPSEB;VIN032;5003
MPSEB;VIN032;7472
MPSEB;VIN032;9973
MPSEB;VIN032;12099
MPSEB;VSM167;2548
MPSEB;VSM167;4707
MPSEB;VSM167;7204
MPSEB;VSM167;9391
MPSEB;VSM167;11446
MPSEB;VSM191;2318
MPSEB;VSM191;3981
MPSEB;VSM191;6187
MPSEB;VSM191;8573
MPSEB;VSM191;10659
MPSEB;VSM196;1415
MPSEB;VSM196;5341
MPSEB;VSM196;7616
MPSEB;VSM196;9661
MPSEB;VSM196;12229
MPSEB;VTA121;1467
MPSEB;VTA121;5271
MPSEB;VTA121;7714
MPSEB;VTA121;9765
MPSEB;VTA125;3368
MPSEB;VTA125;5752
MPSEB;VTA125;7934
MPSEB;VTA125;10277
MPSEB;VTA125;12427
MPSEB;ACE060;15183
MPSEB;ACE060;17247
MPSEB;ACE060;19552
MPSEB;ACE060;21737
MPSEB;ACE140;15235
MPSEB;ACE140;17523
MPSEB;ACE140;20106
MPSEB;ACE150;16423
MPSEB;ACE150;18261
MPSEB;ACE150;20357
MPSEB;ACE165;16405
MPSEB;ACE166;18705
MPSEB;ACE166;20597
MPSEB;ACE230;22716
MPSEB;ARK350;14057
MPSEB;ARK350;15787
MPSEB;ARK350;18281
MPSEB;ARK350;20405
MPSEB;ARK415;19826
MPSEB;ARK415;22654
MPSEB;BOM065;13200
MPSEB;BOM065;15268
MPSEB;BOM065;17555
MPSEB;BOM065;20148
MPSEB;BOM065;22232
MPSEB;BOM170;13404
MPSEB;BOM170;15558
MPSEB;BOM170;17841
MPSEB;BOM170;19796
MPSEB;BOM170;22574
MPSEB;BOM175;13366
MPSEB;BOM175;15652
MPSEB;BOM175;17801
MPSEB;BOM175;20018
MPSEB;BOM175;22298
MPSEB;BOM250;13637
MPSEB;BOM250;14601
MPSEB;BOM250;16594
MPSEB;BOM250;19117
MPSEB;BOM250;21421
MPSEB;BOM285;13707
MPSEB;BOM285;15951
MPSEB;BOM285;18203
MPSEB;BOM285;20919
MPSEB;ENM135;13587
MPSEB;TME141;13955
MPSEB;TME141;16281
MPSEB;TME141;18125
MPSEB;TME141;20815
MPSEB;TME245;14389
MPSEB;TME245;16562
MPSEB;TME245;19067
MPSEB;TME245;21317
MPSEB;VBB048;13785
MPSEB;VBB048;15991
MPSEB;VBB048;18233
MPSEB;VBB048;20315
MPSEB;VBB072;14949
MPSEB;VBB072;17115
MPSEB;VBB072;19602
MPSEB;VBB072;22029
MPSEB;VBB122;13096
MPSEB;VBB122;15350
MPSEB;VBB122;17465
MPSEB;VBB122;20038
MPSEB;VBB122;22310
MPSEB;VBF021;15063
MPSEB;VBF021;17357
MPSEB;VBF021;19472
MPSEB;VIN032;14279
MPSEB;VIN032;16730
MPSEB;VIN032;19019
MPSEB;VIN032;21079
MPSEB;VSM167;13941
MPSEB;VSM167;16265
MPSEB;VSM167;18413
MPSEB;VSM167;20573
MPSEB;VSM191;13396
MPSEB;VSM191;15682
MPSEB;VSM191;17755
MPSEB;VSM191;19966
MPSEB;VSM191;22440
MPSEB;VSM196;14395
MPSEB;VSM196;16732
MPSEB;VSM196;18731
MPSEB;VSM196;21295
MPSEB;VTA125;15143
MPSEB;VTA125;17281
