name;ans_freq;report_id
BOM060 Environmental risk assessment in engineering 2013/2014 LP3-LP3;15 (75,00%);1557
BOM060 Environmental risk assessment in engineering 2014/2015 LP3-LP3;11 (39,29%);5043
BOM060 Environmental risk assessment in engineering 2015/2016 LP3-LP3;17 (68,00%);7496
BOM060 Environmental risk assessment in engineering 2016/2017 LP3-LP3;11 (55,00%);9857
BOM060 Environmental risk assessment in engineering 2017/2018 LP3-LP3;15 (53,57%);11959
BOM175 Building technology engineering 2013/2014 LP1-LP1;8 (47,06%);2406
BOM175 Building technology engineering 2014/2015 LP1-LP1;13 (61,90%);3833
BOM175 Building technology engineering 2015/2016 LP1-LP1;18 (72,00%);6331
BOM175 Building technology engineering 2016/2017 LP1-LP1;8 (53,33%);8841
BOM175 Building technology engineering 2017/2018 LP1-LP1;11 (68,75%);10885
EEK201 Power market management 2013/2014 LP2-LP2;17 (32,69%);2922
EEK201 Power market management 2014/2015 LP2-LP2;13 (54,17%);4587
EEK201 Power market management 2015/2016 LP2-LP2;16 (31,37%);6760
EEK201 Power market management 2016/2017 LP2-LP2;13 (34,21%);9195
EEK201 Power market management 2017/2018 LP2-LP2;22 (53,66%);11264
ENM015 Technical change and the environment 2013/2014 LP2-LP2;36 (43,90%);2742
ENM015 Technical change and the environment 2014/2015 LP2-LP2;44 (53,01%);4443
ENM015 Technical change and the environment 2015/2016 LP2-LP2;44 (47,31%);7162
ENM015 Technical change and the environment 2016/2017 LP2-LP2;42 (48,84%);9159
ENM015 Technical change and the environment 2017/2018 LP2-LP2;34 (34,34%);11232
ENM045 Heating, ventilation and air conditioning systems engineering 2013/2014 LP3-LP3;38 (60,32%);1551
ENM045 Heating, ventilation and air conditioning systems engineering 2014/2015 LP3-LP3;23 (40,35%);5037
ENM045 Heating, ventilation and air conditioning systems engineering 2015/2016 LP3-LP3;22 (46,81%);7490
ENM045 Heating, ventilation and air conditioning systems engineering 2016/2017 LP3-LP3;31 (50,00%);9851
ENM045 Heating, ventilation and air conditioning systems engineering 2017/2018 LP3-LP3;18 (51,43%);11955
ENM095 Sustainable power production and transportation 2013/2014 LP1-LP1;21 (38,18%);1894
ENM095 Sustainable power production and transportation 2014/2015 LP1-LP1;22 (55,00%);4093
