programme;course_tag;report_id
MPSOF;DAT157;12757
MPSOF;DAT165;2638
MPSOF;DAT165;4345
MPSOF;DAT166;7274
MPSOF;DAT166;9191
MPSOF;DAT166;11262
MPSOF;DAT220;1477
MPSOF;DAT220;5279
MPSOF;DAT220;7722
MPSOF;DAT220;9975
MPSOF;DAT220;12031
MPSOF;DAT230;2358
MPSOF;DAT231;4203
MPSOF;DAT231;6433
MPSOF;DAT231;8453
MPSOF;DAT231;11019
MPSOF;DAT240;1731
MPSOF;DAT240;5371
MPSOF;DAT240;7536
MPSOF;DAT240;10009
MPSOF;DAT240;12125
MPSOF;DAT245;2574
MPSOF;DAT246;4885
MPSOF;DAT246;7042
MPSOF;DAT246;9155
MPSOF;DAT246;11228
MPSOF;DAT250;2208
MPSOF;DAT260;3164
MPSOF;DAT260;5896
MPSOF;DAT261;8318
MPSOF;DAT261;10485
MPSOF;DAT261;12408
MPSOF;DAT265;2586
MPSOF;DAT265;4741
MPSOF;DAT265;7172
MPSOF;DAT265;9403
MPSOF;DAT265;11410
MPSOF;DAT280;12807
MPSOF;DAT320;6569
MPSOF;DAT321;8881
MPSOF;DAT321;10931
MPSOF;DAT340;12293
MPSOF;DAT345;12875
MPSOF;EDA122;2302
MPSOF;EDA122;4173
MPSOF;EDA122;6411
MPSOF;EDA122;8437
MPSOF;EDA222;1793
MPSOF;EDA222;5217
MPSOF;EDA222;7404
MPSOF;EDA222;9787
MPSOF;EDA223;12297
MPSOF;EDA263;1381
MPSOF;EDA263;5313
MPSOF;EDA263;7590
MPSOF;EDA263;9643
MPSOF;EDA263;12185
MPSOF;EDA344;12201
MPSOF;EDA397;3326
MPSOF;EDA397;5628
MPSOF;EDA397;8064
MPSOF;EDA397;10417
MPSOF;EDA397;12533
MPSOF;EDA491;12551
MPSOF;TDA231;12477
MPSOF;TDA251;2606
MPSOF;TDA251;4315
MPSOF;TDA251;6890
MPSOF;TDA251;9291
MPSOF;TDA251;11594
MPSOF;TDA282;3428
MPSOF;TDA283;5990
MPSOF;TDA283;8146
MPSOF;TDA283;10545
MPSOF;TDA283;12685
MPSOF;TDA289;11921
MPSOF;TDA293;2124
MPSOF;TDA293;3977
MPSOF;TDA293;6183
MPSOF;TDA293;8571
MPSOF;TDA294;11131
MPSOF;TDA342;1717
MPSOF;TDA342;5197
MPSOF;TDA342;7384
MPSOF;TDA342;9743
MPSOF;TDA342;11881
MPSOF;TDA382;2228
MPSOF;TDA382;1673
MPSOF;TDA383;4225
MPSOF;TDA383;5439
MPSOF;TDA383;6439
MPSOF;TDA383;7564
MPSOF;TDA383;8849
MPSOF;TDA383;9627
MPSOF;TDA384;11155
MPSOF;TDA384;12321
MPSOF;TDA486;12701
MPSOF;TDA497;2220
MPSOF;TDA497;3921
MPSOF;TDA497;6125
MPSOF;TDA497;8607
MPSOF;TDA497;10685
MPSOF;TDA580;11450
MPSOF;TDA593;2986
MPSOF;TDA593;4643
MPSOF;TDA593;6814
MPSOF;TDA593;9239
MPSOF;TDA593;11300
MPSOF;TDA596;2516
MPSOF;TDA596;4295
MPSOF;TDA596;6870
MPSOF;TDA596;9277
MPSOF;TDA596;11600
MPSOF;TDA602;3478
MPSOF;TDA602;5730
MPSOF;TDA602;7912
MPSOF;TDA602;10289
MPSOF;TDA602;12439
MPSOF;TEK236;3318
MPSOF;TEK236;5620
MPSOF;TEK236;8056
MPSOF;TEK237;10609
MPSOF;TEK237;12739
MPSOF;TEK365;1970
MPSOF;TEK365;3749
MPSOF;TEK365;6874
MPSOF;TEK366;9547
MPSOF;TEK366;11572
MPSOF;TIN092;2168
MPSOF;TIN093;4241
MPSOF;TIN093;6443
MPSOF;TIN093;8455
MPSOF;TIN093;11021
MPSOF;TIN093;12773
MPSOF;TIN175;12331
MPSOF;DAT157;14923
MPSOF;DAT157;17161
MPSOF;DAT157;19200
MPSOF;DAT157;21909
MPSOF;DAT166;13517
MPSOF;DAT220;14241
MPSOF;DAT220;16752
MPSOF;DAT220;18735
MPSOF;DAT231;19904
MPSOF;DAT231;22466
MPSOF;DAT231;13182
MPSOF;DAT231;15526
MPSOF;DAT231;17713
MPSOF;DAT240;14449
MPSOF;DAT240;16808
MPSOF;DAT240;19021
MPSOF;DAT240;21081
MPSOF;DAT246;13493
MPSOF;DAT246;16003
MPSOF;DAT246;18587
MPSOF;DAT246;20084
MPSOF;DAT246;22534
MPSOF;DAT262;15175
MPSOF;DAT262;17245
MPSOF;DAT262;19202
MPSOF;DAT265;13623
MPSOF;DAT265;15879
MPSOF;DAT265;18013
MPSOF;DAT265;20387
MPSOF;DAT280;14959
MPSOF;DAT280;17119
MPSOF;DAT280;19604
MPSOF;DAT280;22031
MPSOF;DAT321;20423
MPSOF;DAT321;13112
MPSOF;DAT321;15360
MPSOF;DAT321;17669
MPSOF;DAT340;19676
MPSOF;DAT340;21667
MPSOF;DAT405;16902
MPSOF;DAT405;19159
MPSOF;DAT405;21247
MPSOF;DAT420;16898
MPSOF;DAT420;18867
MPSOF;DAT420;21107
MPSOF;DAT490;21495
MPSOF;DAT520;21654
MPSOF;EDA223;14533
MPSOF;EDA223;16828
MPSOF;EDA223;19023
MPSOF;EDA223;21083
MPSOF;EDA263;14355
MPSOF;EDA263;16552
MPSOF;EDA263;19061
MPSOF;EDA263;21165
MPSOF;EDA344;14373
MPSOF;EDA344;16622
MPSOF;EDA344;19133
MPSOF;EDA344;21461
MPSOF;EDA397;14791
MPSOF;EDA397;17003
MPSOF;EDA397;19496
MPSOF;EDA397;21889
MPSOF;EDA491;14801
MPSOF;EDA491;17009
MPSOF;EDA491;19658
MPSOF;EDA491;22017
MPSOF;TDA231;15015
MPSOF;TDA232;17417
MPSOF;TDA251;13737
MPSOF;TDA251;15965
MPSOF;TDA251;18571
MPSOF;TDA251;20441
MPSOF;TDA283;15127
MPSOF;TDA283;17301
MPSOF;TDA283;19264
MPSOF;TDA283;21929
MPSOF;TDA289;14189
MPSOF;TDA294;13328
MPSOF;TDA294;15624
MPSOF;TDA294;17851
MPSOF;TDA294;19806
MPSOF;TDA294;22582
MPSOF;TDA342;14581
MPSOF;TDA342;16776
MPSOF;TDA342;18923
MPSOF;TDA342;21195
MPSOF;TDA384;13322
MPSOF;TDA384;14323
MPSOF;TDA384;15586
MPSOF;TDA384;16736
MPSOF;TDA384;17765
MPSOF;TDA384;18733
MPSOF;TDA384;19984
MPSOF;TDA384;21297
MPSOF;TDA384;22488
MPSOF;TDA486;15135
MPSOF;TDA486;17319
MPSOF;TDA486;19432
MPSOF;TDA487;22149
MPSOF;TDA497;12954
MPSOF;TDA497;15420
MPSOF;TDA497;17607
MPSOF;TDA498;20248
MPSOF;TDA580;13627
MPSOF;TDA580;15883
MPSOF;TDA580;18173
MPSOF;TDA580;20873
MPSOF;TDA593;13923
MPSOF;TDA594;16417
MPSOF;TDA594;18095
MPSOF;TDA594;20767
MPSOF;TDA596;13743
MPSOF;TDA596;15933
MPSOF;TDA596;18039
MPSOF;TDA596;20699
MPSOF;TDA602;15151
MPSOF;TDA602;16989
MPSOF;TDA602;19212
MPSOF;TDA602;21632
MPSOF;TEK237;14907
MPSOF;TEK237;17089
MPSOF;TEK237;19452
MPSOF;TEK237;21805
MPSOF;TEK366;13935
MPSOF;TEK366;16259
MPSOF;TEK366;18411
MPSOF;TEK366;20571
MPSOF;TIN093;14371
MPSOF;TIN093;16452
MPSOF;TIN093;18717
MPSOF;TIN093;21022
MPSOF;TIN175;14527
