name;ans_freq;report_id
DAT157 Designing User Experiences 2017/2018 LP4-LP4;32 (42,11%);12757
DAT165 Software product line engineering 2013/2014 LP2-LP2;10 (40,00%);2638
DAT165 Software product line engineering 2014/2015 LP2-LP2;8 (57,14%);4345
DAT166 Software product line engineering 2015/2016 LP2-LP2;6 (60,00%);7274
DAT166 Software product line engineering 2016/2017 LP2-LP2;4 (36,36%);9191
DAT166 Software product line engineering 2017/2018 LP2-LP2;4 (40,00%);11262
DAT220 Advanced software architecture 2013/2014 LP3-LP3;34 (53,13%);1477
DAT220 Advanced software architecture 2014/2015 LP3-LP3;18 (26,09%);5279
DAT220 Advanced software architecture 2015/2016 LP3-LP3;32 (55,17%);7722
DAT220 Advanced software architecture 2016/2017 LP3-LP3;25 (43,10%);9975
DAT220 Advanced software architecture 2017/2018 LP3-LP3;17 (36,96%);12031
DAT230 Requirements engineering 2013/2014 LP1-LP1;23 (31,94%);2358
DAT231 Requirements engineering 2014/2015 LP1-LP1;34 (40,48%);4203
DAT231 Requirements engineering 2015/2016 LP1-LP1;37 (45,68%);6433
DAT231 Requirements engineering 2016/2017 LP1-LP1;32 (34,78%);8453
DAT231 Requirements engineering 2017/2018 LP1-LP1;39 (40,21%);11019
DAT240 Model-driven engineering 2013/2014 LP3-LP3;26 (39,39%);1731
DAT240 Model-driven engineering 2014/2015 LP3-LP3;22 (29,33%);5371
DAT240 Model-driven engineering 2015/2016 LP3-LP3;27 (47,37%);7536
DAT240 Model-driven engineering 2016/2017 LP3-LP3;11 (44,00%);10009
DAT240 Model-driven engineering 2017/2018 LP3-LP3;7 (53,85%);12125
DAT245 Empirical software engineering 2013/2014 LP2-LP2;26 (36,62%);2574
DAT246 Empirical software engineering 2014/2015 LP2-LP2;26 (50,00%);4885
DAT246 Empirical software engineering 2015/2016 LP2-LP2;33 (45,21%);7042
DAT246 Empirical software engineering 2016/2017 LP2-LP2;22 (26,19%);9155
DAT246 Empirical software engineering 2017/2018 LP2-LP2;34 (35,79%);11228
DAT250 Software project and quality management 2013/2014 LP1-LP1;15 (28,85%);2208
DAT260 Model-based testing 2013/2014 LP4-LP4;12 (30,77%);3164
DAT260 Model-based testing 2014/2015 LP4-LP4;19 (41,30%);5896
DAT261 Model-based testing 2015/2016 LP4-LP4;14 (41,18%);8318
DAT261 Model-based testing 2016/2017 LP4-LP4;12 (31,58%);10485
DAT261 Model-based testing 2017/2018 LP4-LP4;9 (33,33%);12408
DAT265 Software evolution project 2013/2014 LP1-LP2;23 (52,27%);2586
DAT265 Software evolution project 2014/2015 LP1-LP2;18 (40,91%);4741
DAT265 Software evolution project 2015/2016 LP1-LP2;20 (36,36%);7172
DAT265 Software evolution project 2016/2017 LP1-LP2;29 (50,88%);9403
DAT265 Software evolution project 2017/2018 LP1-LP2;20 (35,71%);11410
DAT280 Parallel functional programming 2017/2018 LP4-LP4;11 (26,83%);12807
DAT320 Software quality 2015/2016 LP1-LP1;34 (37,78%);6569
DAT321 Software quality 2016/2017 LP1-LP1;41 (46,07%);8881
DAT321 Software quality 2017/2018 LP1-LP1;37 (42,05%);10931
DAT340 Applied Machine Learning 2017/2018 LP3-LP3;32 (54,24%);12293
DAT345 Techniques for Large-scale Data 2017/2018 LP4-LP4;19 (37,25%);12875
EDA122 Fault-tolerant computer systems 2013/2014 LP1-LP1;28 (32,56%);2302
EDA122 Fault-tolerant computer systems 2014/2015 LP1-LP1;51 (43,59%);4173
EDA122 Fault-tolerant computer systems 2015/2016 LP1-LP1;55 (46,22%);6411
EDA122 Fault-tolerant computer systems 2016/2017 LP1-LP1;57 (42,54%);8437
EDA222 Real time systems 2013/2014 LP3-LP3;29 (37,18%);1793
EDA222 Real time systems 2014/2015 LP3-LP3;24 (39,34%);5217
EDA222 Real time systems 2015/2016 LP3-LP3;28 (35,90%);7404
EDA222 Real time systems 2016/2017 LP3-LP3;27 (37,50%);9787
EDA223 Real time systems 2017/2018 LP3-LP3;41 (54,67%);12297
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA344 Computer communication 2017/2018 LP3-LP3;22 (27,50%);12201
EDA397 Agile development processes 2013/2014 LP4-LP4;33 (44,00%);3326
EDA397 Agile development processes 2014/2015 LP4-LP4;24 (29,27%);5628
EDA397 Agile development processes 2015/2016 LP4-LP4;24 (33,80%);8064
EDA397 Agile development processes 2016/2017 LP4-LP4;31 (37,80%);10417
EDA397 Agile development processes 2017/2018 LP4-LP4;19 (29,69%);12533
EDA491 Network security 2017/2018 LP4-LP4;26 (26,53%);12551
TDA231 Algorithms for machine learning and inference 2017/2018 LP4-LP4;48 (35,04%);12477
TDA251 Algorithms, advanced course 2013/2014 LP2-LP2;33 (42,86%);2606
TDA251 Algorithms, advanced course 2014/2015 LP2-LP2;33 (45,21%);4315
TDA251 Algorithms, advanced course 2015/2016 LP2-LP2;31 (45,59%);6890
TDA251 Algorithms, advanced course 2016/2017 LP2-LP2;16 (23,53%);9291
