programme;course_tag;report_id
MPSOV;VTA073;2908
MPSOV;VTA073;4575
MPSOV;VTA073;6748
MPSOV;VTA073;9121
MPSOV;VTA073;11204
MPSOV;VTA081;2872
MPSOV;VTA081;4841
MPSOV;VTA081;6994
MPSOV;VTA081;8965
MPSOV;VTA081;11628
MPSOV;VTA091;3514
MPSOV;VTA091;5952
MPSOV;VTA091;8122
MPSOV;VTA091;10149
MPSOV;VTA091;12763
MPSOV;VTA125;3368
MPSOV;VTA125;5752
MPSOV;VTA125;7934
MPSOV;VTA125;10277
MPSOV;VTA125;12427
MPSOV;VTA130;2212
MPSOV;VTA130;3913
MPSOV;VTA130;6119
MPSOV;VTA130;8541
MPSOV;VTA131;11123
MPSOV;VTA135;2196
MPSOV;VTA135;3901
MPSOV;VTA135;6109
MPSOV;VTA135;8535
MPSOV;VTA136;11121
MPSOV;VTA141;2772
MPSOV;VTA141;4463
MPSOV;VTA141;6660
MPSOV;VTA141;9163
MPSOV;VTA141;11240
MPSOV;VTA145;3570
MPSOV;VTA145;5784
MPSOV;VTA145;7958
MPSOV;VTA145;10345
MPSOV;VTA145;12601
MPSOV;VTA151;2524
MPSOV;VTA151;4689
MPSOV;VTA151;7186
MPSOV;VTA151;9379
MPSOV;VTA151;11398
MPSOV;VTA155;2896
MPSOV;VTA155;4863
MPSOV;VTA155;7058
MPSOV;VTA155;11616
MPSOV;VTA160;12181
MPSOV;VTA160;1667
MPSOV;VTA160;5163
MPSOV;VTA160;7354
MPSOV;VTA160;9717
MPSOV;ACE170;16369
MPSOV;ACE170;18051
MPSOV;ACE170;20709
MPSOV;ACE195;19684
MPSOV;ACE195;21841
MPSOV;VTA073;14059
MPSOV;VTA073;16353
MPSOV;VTA073;18497
MPSOV;VTA073;20885
MPSOV;VTA081;13763
MPSOV;VTA081;15979
MPSOV;VTA081;18575
MPSOV;VTA081;20447
MPSOV;VTA091;14927
MPSOV;VTA091;17097
MPSOV;VTA091;19498
MPSOV;VTA091;21891
MPSOV;VTA125;15143
MPSOV;VTA125;17281
MPSOV;VTA131;13248
MPSOV;VTA132;16383
MPSOV;VTA132;18065
MPSOV;VTA132;20721
MPSOV;VTA136;13326
MPSOV;VTA137;15708
MPSOV;VTA137;17549
MPSOV;VTA137;20142
MPSOV;VTA137;22226
MPSOV;VTA141;14045
MPSOV;VTA141;16355
MPSOV;VTA141;18499
MPSOV;VTA141;20887
MPSOV;VTA145;14821
MPSOV;VTA145;17037
MPSOV;VTA146;19714
MPSOV;VTA146;21861
MPSOV;VTA151;13613
MPSOV;VTA151;15873
MPSOV;VTA151;18359
MPSOV;VTA151;20497
MPSOV;VTA155;13971
MPSOV;VTA155;18447
MPSOV;VTA155;20629
MPSOV;VTA160;14351
MPSOV;VTA160;16734
MPSOV;VTA160;18911
MPSOV;VTA160;21183
