programme;course_tag;report_id
MPSYS;DAT093;2422
MPSYS;DAT093;4139
MPSYS;DAT093;6343
MPSYS;DAT093;8857
MPSYS;DAT093;10897
MPSYS;DAT110;2756
MPSYS;DAT110;4455
MPSYS;DAT110;6650
MPSYS;DAT110;9075
MPSYS;DAT110;11720
MPSYS;DAT116;2564
MPSYS;DAT116;4721
MPSYS;DAT116;7218
MPSYS;DAT116;9487
MPSYS;DAT116;11518
MPSYS;EDA122;2302
MPSYS;EDA122;4173
MPSYS;EDA122;6411
MPSYS;EDA122;8437
MPSYS;ENM050;2068
MPSYS;ENM050;3791
MPSYS;ENM050;6299
MPSYS;ENM050;8701
MPSYS;ENM050;10747
MPSYS;ENM055;2170
MPSYS;ENM055;3877
MPSYS;ENM055;6521
MPSYS;ENM055;8753
MPSYS;ENM055;10775
MPSYS;ENM060;2890
MPSYS;ENM060;4857
MPSYS;ENM060;7050
MPSYS;ENM061;9553
MPSYS;ENM061;11578
MPSYS;ENM065;1553
MPSYS;ENM065;5039
MPSYS;ENM065;7492
MPSYS;ENM065;9853
MPSYS;ENM065;12177
MPSYS;ENM070;3480
MPSYS;ENM070;5732
MPSYS;ENM070;7914
MPSYS;ENM070;10291
MPSYS;ENM070;12443
MPSYS;ENM075;1729
MPSYS;ENM075;5369
MPSYS;ENM075;7534
MPSYS;ENM075;10007
MPSYS;ENM075;12123
MPSYS;ENM100;2518
MPSYS;ENM100;4297
MPSYS;ENM100;6872
MPSYS;ENM100;9279
MPSYS;ENM100;11326
MPSYS;ESS076;2042
MPSYS;ESS076;3765
MPSYS;ESS076;6235
MPSYS;ESS076;8657
MPSYS;ESS076;10715
MPSYS;ESS101;2160
MPSYS;ESS101;3869
MPSYS;ESS101;6515
MPSYS;ESS101;8747
MPSYS;ESS101;10773
MPSYS;FFR105;362
MPSYS;FFR105;3861
MPSYS;FFR105;6507
MPSYS;FFR105;8739
MPSYS;FFR105;10767
MPSYS;FFR120;1004
MPSYS;FFR120;4431
MPSYS;FFR120;7152
MPSYS;FFR120;9357
MPSYS;FFR120;11380
MPSYS;FFR125;3228
MPSYS;FFR125;5844
MPSYS;FFR125;8286
MPSYS;FFR135;1994
MPSYS;FFR135;4053
MPSYS;FFR135;6543
MPSYS;FFR135;8769
MPSYS;FFR135;10785
MPSYS;FFR160;1914
MPSYS;FFR160;4111
MPSYS;FFR160;6465
MPSYS;FFR160;8475
MPSYS;FFR160;11033
MPSYS;KAA102;3440
MPSYS;KAA102;5700
MPSYS;KAA102;7886
MPSYS;KAA102;10257
MPSYS;KAA102;12839
