name;ans_freq;report_id
DAT093 Introduction to electronic system design 2013/2014 LP1-LP1;29 (54,72%);2422
DAT093 Introduction to electronic system design 2014/2015 LP1-LP1;21 (61,76%);4139
DAT093 Introduction to electronic system design 2015/2016 LP1-LP1;28 (57,14%);6343
DAT093 Introduction to electronic system design 2016/2017 LP1-LP1;21 (44,68%);8857
DAT093 Introduction to electronic system design 2017/2018 LP1-LP1;23 (50,00%);10897
DAT110 Methods for electronic system design and verification 2013/2014 LP2-LP2;18 (43,90%);2756
DAT110 Methods for electronic system design and verification 2014/2015 LP2-LP2;20 (68,97%);4455
DAT110 Methods for electronic system design and verification 2015/2016 LP2-LP2;18 (52,94%);6650
DAT110 Methods for electronic system design and verification 2016/2017 LP2-LP2;14 (35,90%);9075
DAT110 Methods for electronic system design and verification 2017/2018 LP2-LP2;24 (51,06%);11720
DAT116 Mixed-signal system design 2013/2014 LP2-LP2;20 (66,67%);2564
DAT116 Mixed-signal system design 2014/2015 LP2-LP2;29 (67,44%);4721
DAT116 Mixed-signal system design 2015/2016 LP2-LP2;21 (45,65%);7218
DAT116 Mixed-signal system design 2016/2017 LP2-LP2;12 (33,33%);9487
DAT116 Mixed-signal system design 2017/2018 LP2-LP2;16 (44,44%);11518
EDA122 Fault-tolerant computer systems 2013/2014 LP1-LP1;28 (32,56%);2302
EDA122 Fault-tolerant computer systems 2014/2015 LP1-LP1;51 (43,59%);4173
EDA122 Fault-tolerant computer systems 2015/2016 LP1-LP1;55 (46,22%);6411
EDA122 Fault-tolerant computer systems 2016/2017 LP1-LP1;57 (42,54%);8437
ENM050 Power system analysis 2013/2014 LP1-LP1;29 (50,00%);2068
ENM050 Power system analysis 2014/2015 LP1-LP1;35 (55,56%);3791
ENM050 Power system analysis 2015/2016 LP1-LP1;34 (48,57%);6299
ENM050 Power system analysis 2016/2017 LP1-LP1;38 (49,35%);8701
ENM050 Power system analysis 2017/2018 LP1-LP1;29 (33,33%);10747
ENM055 Electric drives 1 2013/2014 LP1-LP1;36 (61,02%);2170
ENM055 Electric drives 1 2014/2015 LP1-LP1;39 (56,52%);3877
ENM055 Electric drives 1 2015/2016 LP1-LP1;36 (45,57%);6521
ENM055 Electric drives 1 2016/2017 LP1-LP1;43 (47,25%);8753
ENM055 Electric drives 1 2017/2018 LP1-LP1;35 (43,75%);10775
ENM060 Power electronic converters 2013/2014 LP2-LP2;35 (42,68%);2890
ENM060 Power electronic converters 2014/2015 LP2-LP2;40 (56,34%);4857
ENM060 Power electronic converters 2015/2016 LP2-LP2;41 (39,42%);7050
ENM061 Power electronic converters 2016/2017 LP2-LP2;37 (45,12%);9553
ENM061 Power electronic converters 2017/2018 LP2-LP2;30 (30,30%);11578
