name;ans_freq;report_id
BOM060 Environmental risk assessment in engineering 2013/2014 LP3-LP3;15 (75,00%);1557
BOM060 Environmental risk assessment in engineering 2014/2015 LP3-LP3;11 (39,29%);5043
BOM060 Environmental risk assessment in engineering 2015/2016 LP3-LP3;17 (68,00%);7496
BOM060 Environmental risk assessment in engineering 2016/2017 LP3-LP3;11 (55,00%);9857
BOM060 Environmental risk assessment in engineering 2017/2018 LP3-LP3;15 (53,57%);11959
ENM015 Technical change and the environment 2013/2014 LP2-LP2;36 (43,90%);2742
ENM015 Technical change and the environment 2014/2015 LP2-LP2;44 (53,01%);4443
ENM015 Technical change and the environment 2015/2016 LP2-LP2;44 (47,31%);7162
ENM015 Technical change and the environment 2016/2017 LP2-LP2;42 (48,84%);9159
ENM015 Technical change and the environment 2017/2018 LP2-LP2;34 (34,34%);11232
ENM021 Applied industrial ecology 2013/2014 LP4-LP4;13 (59,09%);3328
ENM021 Applied industrial ecology 2014/2015 LP4-LP4;7 (29,17%);5630
ENM021 Applied industrial ecology 2015/2016 LP4-LP4;11 (64,71%);8066
ENM021 Applied industrial ecology 2016/2017 LP4-LP4;7 (36,84%);10311
ENM021 Applied industrial ecology 2017/2018 LP4-LP4;13 (52,00%);12705
ENM035 Assessing sustainability: Assignments 2014/2015 LP2-LP2;7 (87,50%);4433
ENM035 Assessing sustainability: Assignments 2015/2016 LP2-LP2;3 (21,43%);7154
ENM035 Assessing sustainability: Assignments 2016/2017 LP2-LP2;7 (58,33%);9359
ENM090 Environmental impact assessment 2013/2014 LP1-LP1;6 (37,50%);2360
ENM090 Environmental impact assessment 2014/2015 LP1-LP1;8 (42,11%);4019
ENM090 Environmental impact assessment 2015/2016 LP1-LP1;12 (57,14%);6221
ENM090 Environmental impact assessment 2016/2017 LP1-LP1;13 (65,00%);8647
ENM095 Sustainable power production and transportation 2013/2014 LP1-LP1;21 (38,18%);1894
ENM095 Sustainable power production and transportation 2014/2015 LP1-LP1;22 (55,00%);4093
ENM095 Sustainable power production and transportation 2015/2016 LP1-LP1;32 (62,75%);6449
ENM095 Sustainable power production and transportation 2016/2017 LP1-LP1;28 (45,90%);8855
ENM095 Sustainable power production and transportation 2017/2018 LP1-LP1;51 (60,00%);10895
