programme;course_tag;report_id
MPWPS;EME102;1383
MPWPS;EME102;5315
MPWPS;EME102;7592
MPWPS;EME102;9999
MPWPS;EME102;12117
MPWPS;EME110;2280
MPWPS;EME110;4155
MPWPS;EME110;6359
MPWPS;EME110;8393
MPWPS;EME110;10975
MPWPS;FKA196;2270
MPWPS;FKA196;4145
MPWPS;FKA196;6349
MPWPS;FKA196;8863
MPWPS;FKA196;10903
MPWPS;MCC045;1771
MPWPS;MCC045;5405
MPWPS;MCC045;7582
MPWPS;MCC045;9641
MPWPS;MCC045;12211
MPWPS;MCC052;3172
MPWPS;MCC052;6047
MPWPS;MCC052;8216
MPWPS;MCC052;10225
MPWPS;MCC053;12857
MPWPS;MCC055;3865
MPWPS;MCC055;2156
MPWPS;MCC055;6511
MPWPS;MCC055;8743
MPWPS;MCC055;10769
MPWPS;MCC100;2918
MPWPS;MCC100;4583
MPWPS;MCC100;6756
MPWPS;MCC100;9137
MPWPS;MCC100;11216
MPWPS;MCC121;2572
MPWPS;MCC121;4729
MPWPS;MCC121;6626
MPWPS;MCC121;9055
MPWPS;MCC121;11704
MPWPS;MCC125;2816
MPWPS;MCC125;4503
MPWPS;MCC125;6692
MPWPS;MCC125;9577
MPWPS;MCC125;11234
MPWPS;MKM105;2430
MPWPS;MKM105;4751
MPWPS;MKM105;7074
MPWPS;MKM105;9013
MPWPS;MKM105;11666
MPWPS;MKM135;4157
MPWPS;MKM135;8395
MPWPS;MKM135;10977
MPWPS;RRY016;2798
MPWPS;RRY016;4485
MPWPS;RRY016;6678
MPWPS;RRY016;9089
MPWPS;RRY016;11732
MPWPS;RRY025;2188
MPWPS;RRY025;3893
MPWPS;RRY025;6101
MPWPS;RRY025;8527
MPWPS;RRY025;11071
MPWPS;RRY036;220
MPWPS;RRY036;4065
MPWPS;RRY036;6551
MPWPS;RRY036;8829
MPWPS;RRY036;10873
MPWPS;RRY055;1737
MPWPS;RRY055;5377
MPWPS;RRY055;11889
MPWPS;RRY070;4353
MPWPS;RRY070;9317
MPWPS;RRY080;3562
MPWPS;RRY080;5776
MPWPS;RRY080;7954
MPWPS;RRY080;10341
MPWPS;RRY080;12479
MPWPS;RRY095;800
MPWPS;RRY095;4691
MPWPS;RRY095;7188
MPWPS;RRY095;9405
MPWPS;RRY095;11610
MPWPS;RRY100;384
MPWPS;RRY100;3881
MPWPS;RRY100;6525
MPWPS;RRY100;8757
MPWPS;RRY100;10919
MPWPS;RRY131;7108
MPWPS;SJO955;11794
MPWPS;SSY085;1976
MPWPS;SSY085;3755
MPWPS;SSY085;6265
MPWPS;SSY085;8677
MPWPS;SSY085;10733
MPWPS;SSY100;3408
MPWPS;SSY100;5688
MPWPS;SSY100;8260
MPWPS;SSY100;10443
MPWPS;SSY100;12553
MPWPS;SSY121;2104
MPWPS;SSY121;3961
MPWPS;SSY121;6071
MPWPS;SSY121;8377
MPWPS;SSY121;10633
MPWPS;SSY130;2858
MPWPS;SSY130;4825
MPWPS;SSY130;6980
MPWPS;SSY130;9521
MPWPS;SSY130;11542
MPWPS;SSY200;1617
MPWPS;SSY200;5117
MPWPS;SSY200;7628
MPWPS;SSY200;9669
MPWPS;SSY200;12129
MPWPS;TIF030;1964
MPWPS;TIF030;3743
MPWPS;TIF030;6257
MPWPS;TIF030;8669
MPWPS;TIF030;10725
MPWPS;EME102;14553
MPWPS;EME102;16632
MPWPS;EME102;18773
MPWPS;EME102;21365
MPWPS;EME110;13148
MPWPS;EME110;15382
MPWPS;EME110;19808
MPWPS;EME110;22584
MPWPS;FKA196;13380
MPWPS;FKA196;15666
MPWPS;FKA196;17811
MPWPS;FKA196;20026
MPWPS;FKA196;22302
MPWPS;MCC046;14599
MPWPS;MCC046;16658
MPWPS;MCC046;19149
MPWPS;MCC046;21383
MPWPS;MCC055;13018
MPWPS;MCC055;15262
MPWPS;MCC055;17935
MPWPS;MCC055;22234
MPWPS;MCC100;14069
MPWPS;MCC100;16341
MPWPS;MCC100;18009
MPWPS;MCC121;13827
MPWPS;MCC121;15849
MPWPS;MCC121;18157
MPWPS;MCC121;20859
MPWPS;MCC125;13911
MPWPS;MCC125;16245
MPWPS;MCC125;18387
MPWPS;MCC125;20545
MPWPS;MCC140;15171
MPWPS;MCC141;17427
MPWPS;MCC142;19692
MPWPS;MCC142;21887
MPWPS;MCC150;15169
MPWPS;MCC150;17243
MPWPS;MCC150;19584
MPWPS;MCC150;21951
MPWPS;MKM105;13793
MPWPS;MKM105;15939
MPWPS;MKM105;18559
MPWPS;MKM105;20389
MPWPS;MKM135;13286
MPWPS;MKM135;15588
MPWPS;RRY016;13855
MPWPS;RRY016;16113
MPWPS;RRY016;18273
MPWPS;RRY016;20397
MPWPS;RRY025;13232
MPWPS;RRY025;15482
MPWPS;RRY025;17897
MPWPS;RRY025;20092
MPWPS;RRY025;22360
MPWPS;RRY036;13354
MPWPS;RRY036;15644
MPWPS;RRY036;17621
MPWPS;RRY036;19752
MPWPS;RRY036;22536
MPWPS;RRY056;16878
MPWPS;RRY057;19177
MPWPS;RRY057;21277
MPWPS;RRY070;16149
MPWPS;RRY070;20475
MPWPS;RRY080;14749
MPWPS;RRY080;17237
MPWPS;RRY080;19242
MPWPS;RRY080;21911
MPWPS;RRY095;13753
MPWPS;RRY095;15977
MPWPS;RRY095;18463
MPWPS;RRY095;20645
MPWPS;RRY100;13102
MPWPS;RRY100;15490
MPWPS;RRY100;17625
MPWPS;RRY100;19758
MPWPS;RRY100;22544
MPWPS;RRY131;13807
MPWPS;RRY131;18605
MPWPS;RRY131;20745
MPWPS;SJO955;13999
MPWPS;SJO955;16309
MPWPS;SJO955;18213
MPWPS;SJO955;20931
MPWPS;SSY085;12996
MPWPS;SSY085;15508
MPWPS;SSY085;17705
MPWPS;SSY085;19896
MPWPS;SSY085;22392
MPWPS;SSY100;14803
MPWPS;SSY100;17011
MPWPS;SSY100;19300
MPWPS;SSY100;21981
MPWPS;SSY121;13316
MPWPS;SSY121;15618
MPWPS;SSY121;17779
MPWPS;SSY121;19992
MPWPS;SSY121;22496
MPWPS;SSY130;13947
MPWPS;SSY130;16019
MPWPS;SSY130;18225
MPWPS;SSY130;20307
MPWPS;SSY200;14561
MPWPS;SSY200;16840
MPWPS;SSY200;18845
MPWPS;SSY200;21065
MPWPS;TIF030;13294
MPWPS;TIF300;16363
MPWPS;TIF300;18567
MPWPS;TIF300;20437
