name;ans_freq;report_id
EME102 Active microwave circuits 2013/2014 LP3-LP3;18 (85,71%);1383
EME102 Active microwave circuits 2014/2015 LP3-LP3;9 (64,29%);5315
EME102 Active microwave circuits 2015/2016 LP3-LP3;16 (69,57%);7592
EME102 Active microwave circuits 2016/2017 LP3-LP3;14 (56,00%);9999
EME102 Active microwave circuits 2017/2018 LP3-LP3;7 (50,00%);12117
EME110 Design of monolithic microwave integrated circuits (MMIC) 2013/2014 LP1-LP1;3 (42,86%);2280
EME110 Design of monolithic microwave integrated circuits (MMIC) 2014/2015 LP1-LP1;8 (72,73%);4155
EME110 Design of monolithic microwave integrated circuits (MMIC) 2015/2016 LP1-LP1;3 (37,50%);6359
EME110 Design of monolithic microwave integrated circuits (MMIC) 2016/2017 LP1-LP1;7 (53,85%);8393
EME110 Design of monolithic microwave integrated circuits (MMIC) 2017/2018 LP1-LP1;12 (60,00%);10975
FKA196 Fundamentals of micro- and nanotechnology 2013/2014 LP1-LP1;21 (53,85%);2270
FKA196 Fundamentals of micro- and nanotechnology 2014/2015 LP1-LP1;25 (69,44%);4145
FKA196 Fundamentals of micro- and nanotechnology 2015/2016 LP1-LP1;35 (56,45%);6349
FKA196 Fundamentals of micro- and nanotechnology 2016/2017 LP1-LP1;28 (54,90%);8863
FKA196 Fundamentals of micro- and nanotechnology 2017/2018 LP1-LP1;27 (64,29%);10903
MCC045 Fundamentals of photonics 2013/2014 LP3-LP3;15 (68,18%);1771
MCC045 Fundamentals of photonics 2014/2015 LP3-LP3;9 (42,86%);5405
MCC045 Fundamentals of photonics 2015/2016 LP3-LP3;18 (52,94%);7582
MCC045 Fundamentals of photonics 2016/2017 LP3-LP3;15 (57,69%);9641
MCC045 Fundamentals of photonics 2017/2018 LP3-LP3;16 (55,17%);12211
MCC052 Laser engineering 2013/2014 LP4-LP4;9 (81,82%);3172
MCC052 Laser engineering 2014/2015 LP4-LP4;10 (71,43%);6047
MCC052 Laser engineering 2015/2016 LP4-LP4;9 (52,94%);8216
MCC052 Laser engineering 2016/2017 LP4-LP4;3 (42,86%);10225
MCC053 Laser engineering 2017/2018 LP4-LP4;5 (50,00%);12857
MCC055 Opto electronics 2014/2015 LP1-LP1;9 (75,00%);3865
MCC055 Optoelectronics 2013/2014 LP1-LP1;5 (62,50%);2156
MCC055 Optoelectronics 2015/2016 LP1-LP1;7 (70,00%);6511
MCC055 Optoelectronics 2016/2017 LP1-LP1;6 (60,00%);8743
MCC055 Optoelectronics 2017/2018 LP1-LP1;4 (57,14%);10769
MCC100 Fiber optical communication 2013/2014 LP2-LP2;3 (42,86%);2918
MCC100 Fiber optical communication 2014/2015 LP2-LP2;3 (42,86%);4583
MCC100 Fiber optical communication 2015/2016 LP2-LP2;5 (71,43%);6756
MCC100 Fiber optical communication 2016/2017 LP2-LP2;5 (41,67%);9137
MCC100 Fiber optical communication 2017/2018 LP2-LP2;6 (46,15%);11216
MCC121 Microwave engineering 2013/2014 LP2-LP2;16 (55,17%);2572
MCC121 Microwave engineering 2014/2015 LP2-LP2;13 (56,52%);4729
MCC121 Microwave engineering 2015/2016 LP2-LP2;15 (45,45%);6626
MCC121 Microwave engineering 2016/2017 LP2-LP2;16 (59,26%);9055
MCC121 Microwave engineering 2017/2018 LP2-LP2;13 (50,00%);11704
MCC125 Wireless link project 2013/2014 LP2-LP2;8 (80,00%);2816
MCC125 Wireless link project 2014/2015 LP2-LP2;21 (87,50%);4503
MCC125 Wireless link project 2015/2016 LP2-LP2;10 (66,67%);6692
MCC125 Wireless link project 2016/2017 LP2-LP2;19 (86,36%);9577
MCC125 Wireless link project 2017/2018 LP2-LP2;16 (69,57%);11234
MKM105 Introduction to microsystems packaging 2013/2014 LP2-LP2;8 (88,89%);2430
MKM105 Introduction to microsystems packaging 2014/2015 LP2-LP2;9 (81,82%);4751
MKM105 Introduction to microsystems packaging 2015/2016 LP2-LP2;10 (62,50%);7074
MKM105 Introduction to microsystems packaging 2016/2017 LP2-LP2;5 (33,33%);9013
MKM105 Introduction to microsystems packaging 2017/2018 LP2-LP2;4 (36,36%);11666
MKM135 Semiconductor devices 2014/2015 LP1-LP1;3 (60,00%);4157
MKM135 Semiconductor devices 2016/2017 LP1-LP1;3 (60,00%);8395
MKM135 Semiconductor devices 2017/2018 LP1-LP1;7 (87,50%);10977
RRY016 Space science and techniques 2013/2014 LP2-LP2;14 (56,00%);2798
RRY016 Space science and techniques 2014/2015 LP2-LP2;14 (58,33%);4485
RRY016 Space science and techniques 2015/2016 LP2-LP2;14 (48,28%);6678
RRY016 Space science and techniques 2016/2017 LP2-LP2;11 (45,83%);9089
RRY016 Space science and techniques 2017/2018 LP2-LP2;18 (52,94%);11732
RRY025 Image processing 2013/2014 LP1-LP1;30 (65,22%);2188
RRY025 Image processing 2014/2015 LP1-LP1;46 (67,65%);3893
RRY025 Image processing 2015/2016 LP1-LP1;44 (80,00%);6101
RRY025 Image processing 2016/2017 LP1-LP1;38 (73,08%);8527
RRY025 Image processing 2017/2018 LP1-LP1;45 (60,81%);11071
RRY036 Electromagnetic waves and components 2013/2014 LP1-LP1;14 (56,00%);220
RRY036 Electromagnetic waves and components 2014/2015 LP1-LP1;14 (63,64%);4065
RRY036 Electromagnetic waves and components 2015/2016 LP1-LP1;17 (65,38%);6551
RRY036 Electromagnetic waves and components 2016/2017 LP1-LP1;16 (53,33%);8829
RRY036 Electromagnetic waves and components 2017/2018 LP1-LP1;15 (55,56%);10873
RRY055 Remote sensing 2013/2014 LP3-LP3;4 (40,00%);1737
RRY055 Remote sensing 2014/2015 LP3-LP3;6 (54,55%);5377
RRY055 Remote sensing 2017/2018 LP3-LP3;8 (53,33%);11889
RRY070 Millimeter wave and THz technology 2014/2015 LP2-LP2;6 (66,67%);4353
RRY070 Millimeter wave and THz technology 2016/2017 LP2-LP2;4 (66,67%);9317
RRY080 Radar systems and applications 2013/2014 LP4-LP4;18 (62,07%);3562
RRY080 Radar systems and applications 2014/2015 LP4-LP4;7 (35,00%);5776
RRY080 Radar systems and applications 2015/2016 LP4-LP4;10 (45,45%);7954
RRY080 Radar systems and applications 2016/2017 LP4-LP4;10 (34,48%);10341
RRY080 Radar systems and applications 2017/2018 LP4-LP4;15 (51,72%);12479
RRY095 Satellite positioning 2013/2014 LP2-LP2;12 (70,59%);800
RRY095 Satellite positioning 2014/2015 LP2-LP2;12 (54,55%);4691
RRY095 Satellite positioning 2015/2016 LP2-LP2;13 (59,09%);7188
RRY095 Satellite positioning 2016/2017 LP2-LP2;6 (37,50%);9405
RRY095 Satellite positioning 2017/2018 LP2-LP2;8 (42,11%);11610
RRY100 Satellite communications 2013/2014 LP1-LP1;5 (50,00%);384
RRY100 Satellite communications 2014/2015 LP1-LP1;6 (26,09%);3881
RRY100 Satellite communications 2015/2016 LP1-LP1;11 (64,71%);6525
RRY100 Satellite communications 2016/2017 LP1-LP1;7 (46,67%);8757
RRY100 Satellite communications 2017/2018 LP1-LP1;9 (50,00%);10919
RRY131 Radioastronomical techniques and interferometry 2015/2016 LP2-LP2;3 (50,00%);7108
SJO955 Juridik för ingenjörer, arkitekter med flera i Chalmers utbildningsprogram 2017/2018 LP2-LP2;10 (47,62%);11794
SSY085 Wireless and photonics system engineering 2013/2014 LP1-LP1;14 (50,00%);1976
SSY085 Wireless and photonics system engineering 2014/2015 LP1-LP1;15 (68,18%);3755
SSY085 Wireless and photonics system engineering 2015/2016 LP1-LP1;22 (57,89%);6265
SSY085 Wireless and photonics system engineering 2016/2017 LP1-LP1;17 (58,62%);8677
SSY085 Wireless and photonics system engineering 2017/2018 LP1-LP1;22 (64,71%);10733
SSY100 Antenna engineering 2013/2014 LP4-LP4;22 (66,67%);3408
SSY100 Antenna engineering 2014/2015 LP4-LP4;14 (46,67%);5688
SSY100 Antenna engineering 2015/2016 LP4-LP4;14 (45,16%);8260
SSY100 Antenna engineering 2016/2017 LP4-LP4;11 (39,29%);10443
SSY100 Antenna engineering 2017/2018 LP4-LP4;9 (39,13%);12553
SSY121 Introduction to communication engineering 2013/2014 LP1-LP1;42 (93,33%);2104
SSY121 Introduction to communication engineering 2014/2015 LP1-LP1;38 (92,68%);3961
SSY121 Introduction to communication engineering 2015/2016 LP1-LP1;59 (92,19%);6071
SSY121 Introduction to communication engineering 2016/2017 LP1-LP1;45 (90,00%);8377
SSY121 Introduction to communication engineering 2017/2018 LP1-LP1;57 (90,48%);10633
SSY130 Applied signal processing 2013/2014 LP2-LP2;81 (56,25%);2858
SSY130 Applied signal processing 2014/2015 LP2-LP2;84 (56,00%);4825
SSY130 Applied signal processing 2015/2016 LP2-LP2;80 (49,08%);6980
SSY130 Applied signal processing 2016/2017 LP2-LP2;81 (45,51%);9521
SSY130 Applied signal processing 2017/2018 LP2-LP2;78 (39,80%);11542
SSY200 Computational electromagnetics 2013/2014 LP3-LP3;9 (60,00%);1617
SSY200 Computational electromagnetics 2014/2015 LP3-LP3;6 (50,00%);5117
SSY200 Computational electromagnetics 2015/2016 LP3-LP3;7 (50,00%);7628
SSY200 Computational electromagnetics 2016/2017 LP3-LP3;4 (36,36%);9669
SSY200 Computational electromagnetics 2017/2018 LP3-LP3;8 (44,44%);12129
TIF030 Modern imaging, spectroscopy and diffraction techniques 2013/2014 LP1-LP1;28 (62,22%);1964
TIF030 Modern imaging, spectroscopy and diffraction techniques 2014/2015 LP1-LP1;28 (71,79%);3743
TIF030 Modern imaging, spectroscopy and diffraction techniques 2015/2016 LP1-LP1;24 (72,73%);6257
TIF030 Modern imaging, spectroscopy and diffraction techniques 2016/2017 LP1-LP1;19 (59,38%);8669
TIF030 Modern imaging, spectroscopy and diffraction techniques 2017/2018 LP1-LP1;23 (56,10%);10725
EME102 Active microwave circuits 2018/2019 LP3-LP3;7 (58,33%);14553
EME102 Active microwave circuits 2019/2020 LP3-LP3;6 (50,00%);16632
EME102 Active microwave circuits 2020/2021 LP3-LP3;8 (53,33%);18773
EME102 Active microwave circuits 2021/2022 LP3-LP3;8 (53,33%);21365
EME110 Design of monolithic microwave integrated circuits (MMIC) 2018/2019 LP1-LP1;7 (70,00%);13148
EME110 Design of monolithic microwave integrated circuits (MMIC) 2019/2020 LP1-LP1;7 (77,78%);15382
EME110 Design of monolithic microwave integrated circuits (MMIC) 2021/2022 LP1-LP1;9 (75,00%);19808
EME110 Design of monolithic microwave integrated circuits (MMIC) 2022/2023 LP1-LP1;4 (40,00%);22584
FKA196 Fundamentals of micro- and nanotechnology 2018/2019 LP1-LP1;17 (48,57%);13380
FKA196 Fundamentals of micro- and nanotechnology 2019/2020 LP1-LP1;12 (50,00%);15666
FKA196 Fundamentals of micro- and nanotechnology 2020/2021 LP1-LP1;16 (44,44%);17811
FKA196 Fundamentals of micro- and nanotechnology 2021/2022 LP1-LP1;18 (56,25%);20026
FKA196 Fundamentals of micro- and nanotechnology 2022/2023 LP1-LP1;16 (39,02%);22302
MCC046 Photonics and lasers 2018/2019 LP3-LP3;14 (40,00%);14599
MCC046 Photonics and lasers 2019/2020 LP3-LP3;9 (42,86%);16658
MCC046 Photonics and lasers 2020/2021 LP3-LP3;12 (42,86%);19149
MCC046 Photonics and lasers 2021/2022 LP3-LP3;11 (55,00%);21383
MCC055 Optoelectronics 2018/2019 LP1-LP1;8 (72,73%);13018
MCC055 Optoelectronics 2019/2020 LP1-LP1;4 (66,67%);15262
MCC055 Optoelectronics 2020/2021 LP1-LP1;3 (60,00%);17935
MCC055 Optoelectronics 2022/2023 LP1-LP1;3 (75,00%);22234
MCC100 Fiber optical communication 2018/2019 LP2-LP2;10 (62,50%);14069
MCC100 Fiber optical communication 2019/2020 LP2-LP2;5 (41,67%);16341
MCC100 Fiber optical communication 2020/2021 LP2-LP2;6 (66,67%);18009
MCC121 Microwave engineering 2018/2019 LP2-LP2;15 (60,00%);13827
MCC121 Microwave engineering 2019/2020 LP2-LP2;6 (37,50%);15849
MCC121 Microwave engineering 2020/2021 LP2-LP2;10 (35,71%);18157
MCC121 Microwave engineering 2021/2022 LP2-LP2;13 (54,17%);20859
MCC125 Wireless link project 2018/2019 LP2-LP2;13 (59,09%);13911
MCC125 Wireless link project 2019/2020 LP2-LP2;9 (50,00%);16245
MCC125 Wireless link project 2020/2021 LP2-LP2;8 (40,00%);18387
MCC125 Wireless link project 2021/2022 LP2-LP2;12 (70,59%);20545
MCC140 Integrated photonics 2018/2019 LP4-LP4;3 (33,33%);15171
MCC141 Integrated photonics 2019/2020 LP4-LP4;3 (50,00%);17427
MCC142 Integrated photonics 2020/2021 LP4-LP4;5 (45,45%);19692
MCC142 Integrated photonics 2021/2022 LP4-LP4;6 (66,67%);21887
