name;ans_freq;report_id
BOM015 Project management 2013/2014 LP1-LP1;73 (48,99%);2134
BOM015 Project management 2014/2015 LP1-LP1;53 (44,92%);3821
BOM016 Project management 2015/2016 LP1-LP1;59 (49,58%);6571
BOM017 Project management 2016/2017 LP1-LP1;59 (44,36%);8869
BOM017 Project management 2017/2018 LP1-LP1;55 (45,83%);10923
BOM030 Leadership and communication 2013/2014 LP3-LP3;26 (42,62%);1725
BOM030 Leadership and communication 2014/2015 LP3-LP3;22 (43,14%);5363
BOM030 Leadership and communication 2015/2016 LP3-LP3;24 (48,98%);7530
BOM030 Leadership and communication 2016/2017 LP3-LP3;23 (38,98%);9773
BOM030 Leadership and communication 2017/2018 LP3-LP3;22 (36,07%);12127
BOM050 Organisational project management 2013/2014 LP2-LP2;20 (45,45%);2962
BOM050 Organisational project management 2014/2015 LP2-LP2;11 (32,35%);4621
BOM050 Organisational project management 2015/2016 LP2-LP2;18 (38,30%);6794
BOM050 Organisational project management 2016/2017 LP2-LP2;20 (46,51%);9223
BOM050 Organisational project management 2017/2018 LP2-LP2;13 (27,66%);11288
BOM055 International projects 2013/2014 LP4-LP4;27 (45,76%);3554
BOM055 International projects 2014/2015 LP4-LP4;20 (35,09%);5772
BOM055 International projects 2015/2016 LP4-LP4;36 (64,29%);7910
BOM055 International projects 2016/2017 LP4-LP4;15 (28,85%);10287
BOM055 International projects 2017/2018 LP4-LP4;16 (34,04%);12437
BOM070 Strategic management 2013/2014 LP3-LP3;25 (31,25%);1549
BOM070 Strategic management 2014/2015 LP3-LP3;16 (31,37%);5035
BOM070 Strategic management 2015/2016 LP3-LP3;25 (43,86%);7488
BOM070 Strategic management 2016/2017 LP3-LP3;35 (44,30%);9849
BOM070 Strategic management 2017/2018 LP3-LP3;21 (34,43%);11953
BOM090 Knowledge and learning in project organisations 2013/2014 LP4-LP4;16 (35,56%);3524
BOM090 Knowledge and learning in project organisations 2014/2015 LP4-LP4;14 (33,33%);5960
BOM090 Knowledge and learning in project organisations 2015/2016 LP4-LP4;23 (50,00%);8130
BOM090 Knowledge and learning in project organisations 2016/2017 LP4-LP4;13 (21,67%);10539
BOM090 Knowledge and learning in project organisations 2017/2018 LP4-LP4;14 (25,00%);12675
BOM135 Real estate finance and economics 2017/2018 LP1-LP1;19 (38,00%);10863
ENM130 Managing stakeholders for sustainable development 2017/2018 LP2-LP2;28 (37,33%);11598
IBY015 Service management for construction and facilities 2017/2018 LP2-LP2;6 (21,43%);11654
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
ITR585 Management of physical distribution 2017/2018 LP3-LP3;14 (41,18%);11989
LBT431 Financial and Management Accounting 2013/2014 LP2-LP2;24 (33,80%);2656
LBT431 Financial and Management Accounting 2014/2015 LP2-LP2;20 (29,41%);4365
LBT431 Financial and management accounting 2015/2016 LP2-LP2;23 (31,51%);6934
LBT431 Financial and management accounting 2016/2017 LP2-LP2;50 (41,67%);9329
LBT431 Financial and management accounting 2017/2018 LP2-LP2;31 (29,52%);11360
LBT451 Project psychology 2013/2014 LP1-LP1;24 (58,54%);1962
LBT451 Project psychology 2014/2015 LP1-LP1;18 (46,15%);3741
LBT451 Project psychology 2015/2016 LP1-LP1;21 (53,85%);6255
LBT451 Project psychology 2016/2017 LP1-LP1;22 (48,89%);8667
LBT451 Project psychology 2017/2018 LP1-LP1;20 (47,62%);10723
TEK230 Lean production 2016/2017 LP1-LP1;65 (79,27%);8372
TEK231 Lean management 2017/2018 LP1-LP1;53 (69,74%);10639
TEK261 Business marketing and purchasing 2016/2017 LP2-LP2;28 (27,72%);9335
TEK261 Business marketing and purchasing 2017/2018 LP2-LP2;23 (28,05%);11362
TEK280 Strategy creation and change 2016/2017 LP1-LP1;40 (44,94%);8671
TEK280 Strategy creation and change 2017/2018 LP1-LP1;34 (42,50%);10961
TEK285 Logistics and supply chain management 2016/2017 LP2-LP2;20 (42,55%);9129
TEK320 ICT economics and policy 2016/2017 LP2-LP2;20 (20,83%);9157
TEK320 ICT economics and policy 2017/2018 LP2-LP2;23 (23,71%);11230
TEK430 Change management and improvement processes 2017/2018 LP1-LP1;61 (78,21%);10635
VMI035 Environmental management 2017/2018 LP3-LP3;9 (24,32%);11985
BOM135 Real estate finance and economics 2018/2019 LP1-LP1;17 (34,69%);13094
ENM130 Managing stakeholders for sustainable development 2018/2019 LP2-LP2;16 (31,37%);13741
IBY015 Service management for construction and facilities 2018/2019 LP2-LP2;13 (37,14%);13903
IEK312 Quality management 2018/2019 LP1-LP1;22 (33,85%);13212
TEK231 Lean management 2018/2019 LP1-LP1;63 (79,75%);12946
TEK261 Business marketing and purchasing 2018/2019 LP2-LP2;19 (26,76%);13929
TEK280 Strategy creation and change 2018/2019 LP1-LP1;39 (44,83%);13138
TEK320 ICT economics and policy 2018/2019 LP2-LP2;21 (24,14%);13495
TEK430 Change management and improvement processes 2018/2019 LP1-LP1;63 (88,73%);13460
