name;ans_freq;report_id
CIU207 Lärande och ledarskap i praktiken 1 2015/2016 LP2-LP2;11 (57,89%);7250
CIU207 Lärande och ledarskap i praktiken 1 2016/2017 LP2-LP2;13 (100,00%);9431
CIU207 Lärande och ledarskap i praktiken 1 2017/2018 LP2-LP2;18 (94,74%);11482
CIU212 Lärande och ledarskap i praktiken 2 2016/2017 LP1-LP1;13 (86,67%);8787
CIU212 Lärande och ledarskap i praktiken 2 2017/2018 LP1-LP1;10 (76,92%);10845
CIU215 Naturvetenskapligt och tekniskt lärande 1 2015/2016 LP3-LP3;9 (50,00%);7726
CIU215 Naturvetenskapligt och tekniskt lärande 1 2016/2017 LP3-LP3;11 (78,57%);9979
CIU216 Naturvetenskapligt och tekniskt lärande 1 2017/2018 LP3-LP3;18 (90,00%);12315
CIU220 Utbildningens uppgifter och ramar 2015/2016 LP1-LP1;13 (65,00%);6545
CIU220 Utbildningens uppgifter och ramar 2016/2017 LP1-LP1;7 (50,00%);8823
CIU220 Utbildningens uppgifter och ramar 2017/2018 LP1-LP1;17 (85,00%);10871
CIU225 Leda individ och grupp 2015/2016 LP2-LP2;9 (40,91%);7210
CIU226 Leda individ och grupp 2016/2017 LP2-LP2;13 (72,22%);9539
CIU226 Leda individ och grupp 2017/2018 LP2-LP2;22 (78,57%);11434
CIU255 Naturvetenskapligt och tekniskt lärande 2 2016/2017 LP1-LP1;12 (80,00%);8547
CIU256 Naturvetenskapligt och tekniskt lärande 2 2017/2018 LP1-LP1;9 (69,23%);11145
CIU260 Utvecklingsprojekt i praktiken 2015/2016 LP4-LP4;11 (61,11%);7900
CIU260 Utvecklingsprojekt i praktiken 2016/2017 LP4-LP4;9 (64,29%);10501
CIU260 Utvecklingsprojekt i praktiken 2017/2018 LP4-LP4;15 (78,95%);12645
MVE365 Problemlösning och lärande 2015/2016 LP3-LP3;8 (40,00%);7546
MVE365 Problemlösning och lärande 2016/2017 LP3-LP3;11 (68,75%);9611
MVE365 Problemlösning och lärande 2017/2018 LP3-LP3;18 (94,74%);12041
MVE375 Matematik, undervisning och bedömning 2015/2016 LP1-LP1;14 (73,68%);6367
MVE375 Matematik, undervisning och bedömning 2016/2017 LP1-LP1;6 (46,15%);8401
MVE375 Matematik, undervisning och bedömning 2017/2018 LP1-LP1;18 (94,74%);10979
MVE380 Analysera lärande 2015/2016 LP4-LP4;8 (44,44%);8292
MVE380 Analysera lärande 2016/2017 LP4-LP4;8 (61,54%);10519
MVE380 Analysera lärande 2017/2018 LP4-LP4;15 (65,22%);12603
MVE391 Lärande och ledarskap i praktiken - breddning 2016/2017 LP2-LP2;6 (37,50%);9545
MVE391 Lärande och ledarskap i praktiken - breddning 2017/2018 LP2-LP2;5 (38,46%);11570
TEK452 Learning and leading in dysfunctional organizations 2016/2017 LP2-LP2;13 (40,63%);9549
TEK452 Learning and leading in dysfunctional organizations 2017/2018 LP2-LP2;11 (35,48%);11574
CIU207 Lärande och ledarskap i praktiken 1 2018/2019 LP2-LP2;17 (60,71%);13681
CIU207 Lärande och ledarskap i praktiken 1 2019/2020 LP2-LP2;12 (63,16%);15919
CIU207 Lärande och ledarskap i praktiken 1 2020/2021 LP2-LP2;18 (48,65%);18297
CIU207 Lärande och ledarskap i praktiken 1 2021/2022 LP2-LP2;11 (50,00%);20413
CIU212 Lärande och ledarskap i praktiken 2 2018/2019 LP1-LP1;16 (80,00%);13076
CIU212 Lärande och ledarskap i praktiken 2 2019/2020 LP1-LP1;16 (66,67%);15332
CIU212 Lärande och ledarskap i praktiken 2 2020/2021 LP1-LP1;10 (58,82%);17579
CIU212 Lärande och ledarskap i praktiken 2 2021/2022 LP1-LP1;16 (57,14%);20196
CIU212 Lärande och ledarskap i praktiken 2 2022/2023 LP1-LP1;7 (41,18%);22220
CIU216 Naturvetenskapligt och tekniskt lärande 1 2018/2019 LP3-LP3;16 (64,00%);14523
CIU220 Utbildningens uppgifter och ramar 2018/2019 LP1-LP1;22 (75,86%);13100
CIU220 Utbildningens uppgifter och ramar 2019/2020 LP1-LP1;13 (68,42%);15354
CIU220 Utbildningens uppgifter och ramar 2020/2021 LP1-LP1;16 (48,48%);17473
CIU220 Utbildningens uppgifter och ramar 2021/2022 LP1-LP1;12 (57,14%);20046
CIU221 Utbildningens uppgifter och ramar 2022/2023 LP1-LP1;7 (33,33%);22730
CIU226 Leda individ och grupp 2018/2019 LP2-LP2;19 (65,52%);13641
CIU226 Leda individ och grupp 2019/2020 LP2-LP2;14 (66,67%);15897
CIU226 Leda individ och grupp 2020/2021 LP2-LP2;15 (46,88%);18467
CIU226 Leda individ och grupp 2021/2022 LP2-LP2;8 (40,00%);20659
CIU256 Naturvetenskapligt och tekniskt lärande 2 2018/2019 LP1-LP1;17 (85,00%);13258
CIU260 Utvecklingsprojekt i praktiken 2018/2019 LP4-LP4;18 (72,00%);14883
CIU260 Utvecklingsprojekt i praktiken 2019/2020 LP4-LP4;7 (43,75%);17159
CIU260 Utvecklingsprojekt i praktiken 2020/2021 LP4-LP4;12 (40,00%);19628
CIU260 Utvecklingsprojekt i praktiken 2021/2022 LP4-LP4;4 (22,22%);22047
CLS035 Naturvetenskapligt och tekniskt lärande 2019/2020 LP3-LP3;10 (58,82%);16874
CLS035 Naturvetenskapligt och tekniskt lärande 2020/2021 LP3-LP3;13 (40,63%);18757
CLS035 Naturvetenskapligt och tekniskt lärande 2021/2022 LP3-LP3;5 (26,32%);21351
CLS040 Humanvetenskapliga perspektiv på naturvetenskap och teknik 2019/2020 LP1-LP1;16 (66,67%);15734
CLS040 Humanvetenskapliga perspektiv på naturvetenskap och teknik 2020/2021 LP1-LP1;11 (73,33%);17507
CLS040 Humanvetenskapliga perspektiv på naturvetenskap och teknik 2021/2022 LP1-LP1;15 (48,39%);20078
CLS040 Humanvetenskapliga perspektiv på naturvetenskap och teknik 2022/2023 LP1-LP1;9 (47,37%);22354
MVE365 Problemlösning och lärande 2018/2019 LP3-LP3;18 (66,67%);14493
MVE365 Problemlösning och lärande 2019/2020 LP3-LP3;10 (58,82%);16570
MVE365 Problemlösning och lärande 2020/2021 LP3-LP3;17 (48,57%);19003
MVE365 Problemlösning och lärande 2021/2022 LP3-LP3;6 (30,00%);21465
MVE375 Matematik, undervisning och bedömning 2018/2019 LP1-LP1;26 (89,66%);13150
MVE375 Matematik, undervisning och bedömning 2019/2020 LP1-LP1;14 (73,68%);15486
MVE375 Matematik, undervisning och bedömning 2020/2021 LP1-LP1;23 (62,16%);17901
MVE375 Matematik, undervisning och bedömning 2021/2022 LP1-LP1;12 (54,55%);20094
MVE375 Matematik, undervisning och bedömning 2022/2023 LP1-LP1;12 (57,14%);22362
MVE380 Modeller för förståelse 2018/2019 LP4-LP4;18 (69,23%);14823
MVE380 Modeller för förståelse 2019/2020 LP4-LP4;12 (75,00%);16954
MVE380 Modeller för förståelse 2020/2021 LP4-LP4;15 (44,12%);19460
MVE380 Modeller för förståelse 2021/2022 LP4-LP4;5 (23,81%);21811
MVE391 Lärande och ledarskap i praktiken - breddning 2018/2019 LP2-LP2;14 (66,67%);13717
MVE391 Lärande och ledarskap i praktiken - breddning 2019/2020 LP2-LP2;17 (70,83%);16067
MVE391 Lärande och ledarskap i praktiken - breddning 2020/2021 LP2-LP2;9 (56,25%);18063
MVE391 Lärande och ledarskap i praktiken - breddning 2021/2022 LP2-LP2;15 (53,57%);20719
TEK452 Learning and leading in dysfunctional organizations 2018/2019 LP2-LP2;18 (54,55%);13719
TEK452 Learning and leading in dysfunctional organizations 2019/2020 LP2-LP2;16 (61,54%);16111
TEK452 Lärande och ledande i dysfunktionella organisationer 2020/2021 LP2-LP2;11 (55,00%);18601
TEK452 Lärande och ledande i dysfunktionella organisationer 2021/2022 LP2-LP2;14 (48,28%);20741
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
FKA196 Fundamentals of micro- and nanotechnology 2013/2014 LP1-LP1;21 (53,85%);2270
FKA196 Fundamentals of micro- and nanotechnology 2014/2015 LP1-LP1;25 (69,44%);4145
FKA196 Fundamentals of micro- and nanotechnology 2015/2016 LP1-LP1;35 (56,45%);6349
FKA196 Fundamentals of micro- and nanotechnology 2016/2017 LP1-LP1;28 (54,90%);8863
FKA196 Fundamentals of micro- and nanotechnology 2017/2018 LP1-LP1;27 (64,29%);10903
FMI040 Semiconductor materials physics 2013/2014 LP4-LP4;8 (44,44%);3282
FMI040 Semiconductor materials physics 2014/2015 LP4-LP4;5 (33,33%);5596
FMI040 Semiconductor materials physics 2015/2016 LP4-LP4;10 (52,63%);8034
FMI040 Semiconductor materials physics 2016/2017 LP4-LP4;11 (52,38%);10397
FMI040 Semiconductor materials physics 2017/2018 LP4-LP4;8 (36,36%);12521
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
KBT095 Corrosion 2013/2014 LP3-LP3;27 (51,92%);1625
KBT095 Corrosion 2014/2015 LP3-LP3;30 (68,18%);5125
KBT095 Corrosion 2015/2016 LP3-LP3;15 (50,00%);7324
KBT095 Corrosion 2016/2017 LP3-LP3;9 (36,00%);9699
KBT095 Corrosion 2017/2018 LP3-LP3;20 (47,62%);12257
KKE013 Ceramics engineering 2013/2014 LP3-LP3;9 (47,37%);1505
